Klimakennwert,Jahreszeit,Landkreis Name,Landkreis Kennziffer (Kreisschlüssel),Median der Änderungen,Minimum,Maximum,Einheit,HYRAS Beobachtungen 1971-2000,Experteneinschätzung zur Belastbarkeit 
Niederschlag,ganzes Jahr,Region um  Wuppertal,05124_05122_05120_05158_05954_05374,3.6,-10.6,19.1,%, 1110.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Saalfeld-Rudolstadt,16073,7.5,-4.2,18.9,%, 701.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Sonneberg,16072,3.5,-6.6,20.7,%, 1022.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Weimarer Land,16071,6.8,-3.7,18.5,%, 587.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ilm-Kreis,16070,6.0,-4.8,18.5,%, 742.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Altenburger Land,16077,7.7,-1.3,20.2,%, 606.7,Zunahme 
Niederschlag,ganzes Jahr,Greiz,16076,7.8,-2.4,18.8,%, 632.9,Zunahme 
Niederschlag,ganzes Jahr,Saale-Orla-Kreis,16075,7.1,-3.2,19.8,%, 686.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Saale-Holzland-Kreis,16074,7.6,-4.1,18.5,%, 612.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Bottrop,05512_05119_05513_05113_05170_05562,3.6,-9.6,18.4,%, 801.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Dessau-Rolau ,15001_15091_15082,8.0,-1.7,21.3,%, 541.7,Zunahme 
Niederschlag,ganzes Jahr,Region um  Augsburg,09761_09772_09771,6.7,-3.1,20.7,%, 851.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Jena ,16053_16074_16071_16055,7.1,-3.8,18.6,%, 599.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Ingolstadt ,09161_09176_09185_09186,6.7,-3.1,20.6,%, 755.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ostprignitz-Ruppin,12068,6.7,-3.9,17.9,%, 551.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Odenwaldkreis,06437,4.1,-8.3,20.6,%, 964.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Hochtaunuskreis,06434,4.7,-5.5,14.8,%, 791.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Main-Kinzig-Kreis,06435,4.6,-6.7,23.3,%, 845.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Darmstadt-Dieburg,06432,4.7,-3.0,23.7,%, 744.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Groß-Gerau,06433,7.2,-5.3,26.3,%, 606.3,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Bergstraße,06431,4.6,-6.5,25.0,%, 854.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Barnim,12060,7.3,-3.0,17.7,%, 571.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Dahme-Spreewald,12061,8.0,-1.6,19.0,%, 549.8,Zunahme 
Niederschlag,ganzes Jahr,Elbe-Elster,12062,8.0,-0.5,18.0,%, 556.8,Zunahme 
Niederschlag,ganzes Jahr,Havelland,12063,6.5,-3.3,18.9,%, 530.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Märkisch-Oderland,12064,8.5,-2.3,19.3,%, 530.1,Zunahme 
Niederschlag,ganzes Jahr,Oberhavel,12065,6.8,-2.4,18.6,%, 559.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Oberspreewald-Lausitz,12066,7.8,-1.9,17.7,%, 573.9,Zunahme 
Niederschlag,ganzes Jahr,Rheingau-Taunus-Kreis,06439,5.3,-5.3,16.1,%, 704.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Nürnberg,09564_09563_09574_09565_09573_09572_09576_09562,6.0,-5.8,20.9,%, 746.4,Tendenz zur Zunahme 
