### Viehbestand nach Bundesländern und Besatzdichte;;;;;;;;;;;;;;;;;;;;;
### Quelle: Statistisches Bundesamt, Fachserie 3, Reihe 2.1.3, 2020, https://www.statistischebibliothek.de/mir/receive/DESerie_mods_00000027;;;;;;;;;;;;;;;;;;;;;
###;;;;;;;;;;;;;;;;;;;;;
;Insgesamt;;;Unter 1,0 GV/ha;;;1,0-1,5 GV/ha;;;1,5-2,0 GV/ha;;;2,0-2,5 GV/ha;;;2,5-5,0 GV/ha;;;5,0 und mehr GV/ha;;
;Betriebe;Viehbestand;landwirtschaftlich genutzte Fläche;Betriebe;Viehbestand;landwirtschaftlich genutzte Fläche;Betriebe;Viehbestand;landwirtschaftlich genutzte Fläche;Betriebe;Viehbestand;landwirtschaftlich genutzte Fläche;Betriebe;Viehbestand;landwirtschaftlich genutzte Fläche;Betriebe;Viehbestand;landwirtschaftlich genutzte Fläche;Betriebe;Viehbestand;landwirtschaftlich genutzte Fläche
;Anzahl;GV;ha;Anzahl;GV;ha;Anzahl;GV;ha;Anzahl;GV;ha;Anzahl;GV;ha;Anzahl;GV;ha;Anzahl;GV;ha
Deutschland;168833;12016049;11365975;85584;2993567;6882274;31292;2325920;1878608;23346;2401420;1385877;12113;1523125;689398;10086;1482346;472607;6412;1289670;57211
Baden-Württemberg;21757;942605;1003141;13515;299036;612834;4225;259627;210544;2210;195650;114190;919;99622;45232;556;59089;19632;332;29581;710
Bayern;56143;2608043;2273991;26338;512122;1059586;12145;669894;538797;9693;712023;411814;4624;399565;181670;2509;236340;79936;834;78098;2189
Berlin;28;946;1645;17;423;1382;4;143;107;2;;;2;;;1;;;2;;
Brandenburg;3492;488154;865474;2685;301337;786347;321;55481;47202;155;38243;21981;73;12375;5834;93;10646;3254;165;70071;858
Bremen;103;7587;6772;52;1369;2803;27;2766;2238;16;2098;1198;2;;;5;627;219;1;;
Hamburg;169;7074;9223;101;3709;7086;31;1475;1235;17;;;8;486;222;8;;;4;159;22
Hessen;10221;411548;563109;7618;195354;420312;1558;111596;92144;584;57953;34126;188;22479;10194;177;17667;5900;96;6499;433
Mecklenburg-Vorpommern;2853;495566;750506;1966;231642;630256;317;89072;72525;156;53232;31161;61;6906;3216;113;40414;11209;240;74300;2139
Niedersachsen;25431;2930734;1885741;9561;314839;745551;4317;408798;324597;4395;631446;361545;2710;493104;222510;2880;635493;196613;1568;447054;34925
Nordrhein-Westfalen;23603;1725424;1083347;8858;213966;425088;4326;288887;231372;3503;342410;196779;2177;253207;113932;2530;335257;107752;2209;291697;8425
Rheinland-Pfalz;5963;278470;386302;4270;130478;288724;926;75103;61978;407;45438;26689;124;12940;5903;128;8801;2756;108;5711;251
Saarland;750;36861;59431;608;22774;49546;82;9598;7739;31;2813;1708;6;;;17;1195;347;6;;
Sachsen;4498;430971;655077;3131;255738;573262;614;73109;61324;235;23582;13659;105;9361;4165;182;5948;1687;231;63232;980
Sachsen-Anhalt;2292;402474;560546;1617;173471;496719;193;45347;37578;85;17115;10088;72;15651;6969;91;20806;6113;234;130084;3078
Schleswig-Holstein;8937;941807;741308;3358;142137;303124;1880;198844;159204;1753;267321;153647;1000;193940;87936;704;102573;34714;242;36993;2683
