AGS,Name,animalcount_bydensity_Insgesamt_2010,animalcount_bydensity_Insgesamt_2016,animalcount_bydensity_Insgesamt_2020,animalcount_bydensity_davon_auf_unter_2_0_GV_ha_2010,animalcount_bydensity_davon_auf_unter_2_0_GV_ha_2016,animalcount_bydensity_davon_auf_unter_2_0_GV_ha_2020,animalcount_bydensity_davon_Ökolandbau_2010,animalcount_bydensity_davon_Ökolandbau_2016,animalcount_bydensity_davon_Ökolandbau_2020,animalcount_bydensity_Unter_1_0_GV_ha_2010,animalcount_bydensity_Unter_1_0_GV_ha_2016,animalcount_bydensity_Unter_1_0_GV_ha_2020,animalcount_bydensity_1_0-1_5_GV_ha_2010,animalcount_bydensity_1_0-1_5_GV_ha_2016,animalcount_bydensity_1_0-1_5_GV_ha_2020,animalcount_bydensity_1_5-2_0_GV_ha_2010,animalcount_bydensity_1_5-2_0_GV_ha_2016,animalcount_bydensity_1_5-2_0_GV_ha_2020,animalcount_bydensity_2_0-2_5_GV_ha_2010,animalcount_bydensity_2_0-2_5_GV_ha_2016,animalcount_bydensity_2_0-2_5_GV_ha_2020,animalcount_bydensity_2_5-5_0_GV_ha_2010,animalcount_bydensity_2_5-5_0_GV_ha_2016,animalcount_bydensity_2_5-5_0_GV_ha_2020,animalcount_bydensity_5_0_und_mehr_GV_ha_2010,animalcount_bydensity_5_0_und_mehr_GV_ha_2016,animalcount_bydensity_5_0_und_mehr_GV_ha_2020
0,Deutschland,12988177.0,12954359.0,12016049.0,9157237.0,8093430.0,7720907.0,,634884.0,779815.0,3504693.0,3209307.0,2993567.0,2875311.0,2432090.0,2325920.0,2777233.0,2452033.0,2401420.0,1683960.0,1776998.0,1523125.0,1370766.0,1756516.0,1482346.0,400277.0,1327230.0,1289670.0
1,Schleswig-Holstein,1068516.0,1015024.0,941807.0,688116.0,606934.0,608302.0,,22753.0,37980.0,141822.0,141397.0,142137.0,234602.0,194624.0,198844.0,311692.0,270913.0,267321.0,234133.0,228472.0,193940.0,121554.0,143179.0,102573.0,19113.0,36438.0,36993.0
2,Hamburg,7524.0,7302.0,7074.0,6536.0,6244.0,,,401.0,405.0,3854.0,3653.0,3709.0,2135.0,1831.0,1475.0,547.0,760.0,,607.0,598.0,486.0,242.0,,,140.0,,159.0
3,Niedersachsen,2892963.0,3170580.0,2930734.0,1567969.0,1326308.0,1355083.0,,47420.0,61077.0,349930.0,321320.0,314839.0,495708.0,388259.0,408798.0,722331.0,616729.0,631446.0,524723.0,577292.0,493104.0,534096.0,743434.0,635493.0,184454.0,523545.0,447054.0
4,Bremen,8831.0,8566.0,7587.0,7493.0,6588.0,6233.0,,1100.0,1114.0,1482.0,1114.0,1369.0,4017.0,2961.0,2766.0,1994.0,2513.0,2098.0,,1389.0,,,588.0,627.0,,,
5,Nordrhein-Westfalen,1765571.0,1835480.0,1725424.0,943727.0,845103.0,845263.0,,43789.0,57160.0,206203.0,190508.0,213966.0,336758.0,298873.0,288887.0,400766.0,355722.0,342410.0,324478.0,311590.0,253207.0,403390.0,401459.0,335257.0,62718.0,277142.0,291697.0
6,Hessen,469750.0,440880.0,411548.0,434401.0,389546.0,364903.0,,51746.0,63006.0,222112.0,205812.0,195354.0,149715.0,119068.0,111596.0,62574.0,64666.0,57953.0,19596.0,24416.0,22479.0,11958.0,21057.0,17667.0,2151.0,5860.0,6499.0
7,Rheinland-Pfalz,336371.0,306501.0,278470.0,311886.0,271228.0,251019.0,,25824.0,30825.0,162796.0,139059.0,130478.0,101569.0,84051.0,75103.0,47521.0,48118.0,45438.0,11236.0,16214.0,12940.0,6469.0,11487.0,8801.0,1608.0,7570.0,5711.0
8,Baden-Württemberg,1053620.0,1002741.0,942605.0,903934.0,799433.0,754313.0,,80736.0,95793.0,345110.0,309358.0,299036.0,327659.0,281333.0,259627.0,231165.0,208742.0,195650.0,96479.0,104204.0,99622.0,44632.0,69124.0,59089.0,3961.0,29980.0,29581.0
9,Bayern,2972338.0,2818180.0,2608043.0,2331593.0,2012972.0,1894039.0,,187855.0,239869.0,586639.0,532806.0,512122.0,867983.0,725000.0,669894.0,876971.0,755166.0,712023.0,418505.0,454691.0,399565.0,187185.0,274476.0,236340.0,15944.0,76041.0,78098.0
10,Saarland,45514.0,42566.0,36861.0,43342.0,40346.0,35185.0,,6618.0,6458.0,29647.0,26171.0,22774.0,10444.0,10431.0,9598.0,3251.0,3744.0,2813.0,915.0,,,694.0,600.0,1195.0,173.0,,
11,Berlin,975.0,1001.0,946.0,702.0,711.0,,,109.0,122.0,459.0,382.0,423.0,172.0,246.0,143.0,71.0,83.0,,,,,,,,,,
12,Brandenburg,562219.0,535512.0,488154.0,477842.0,438729.0,395061.0,,50035.0,54887.0,383132.0,356387.0,301337.0,71615.0,60416.0,55481.0,23095.0,21926.0,38243.0,8400.0,16671.0,12375.0,12027.0,11716.0,10646.0,10363.0,68397.0,70071.0
