,Jahr,variable,value
0,2020,Insgesamt,2608043.0
1,2016,Insgesamt,2818180.0
2,2010,Insgesamt,2972338.0
3,2020,davon_Ökolandbau,239869.0
4,2016,davon_Ökolandbau,187855.0
5,2010,davon_Ökolandbau,
6,2020,Unter_1_0_GV_ha,512122.0
7,2016,Unter_1_0_GV_ha,532806.0
8,2010,Unter_1_0_GV_ha,586639.0
9,2020,1_0-1_5_GV_ha,669894.0
10,2016,1_0-1_5_GV_ha,725000.0
11,2010,1_0-1_5_GV_ha,867983.0
12,2020,1_5-2_0_GV_ha,712023.0
13,2016,1_5-2_0_GV_ha,755166.0
14,2010,1_5-2_0_GV_ha,876971.0
15,2020,2_0-2_5_GV_ha,399565.0
16,2016,2_0-2_5_GV_ha,454691.0
17,2010,2_0-2_5_GV_ha,418505.0
18,2020,2_5-5_0_GV_ha,236340.0
19,2016,2_5-5_0_GV_ha,274476.0
20,2010,2_5-5_0_GV_ha,187185.0
21,2020,5_0_und_mehr_GV_ha,78098.0
22,2016,5_0_und_mehr_GV_ha,76041.0
23,2010,5_0_und_mehr_GV_ha,15944.0
24,2020,davon_auf_unter_2_0_GV_ha,1894039.0
25,2016,davon_auf_unter_2_0_GV_ha,2012972.0
26,2010,davon_auf_unter_2_0_GV_ha,2331593.0
