"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"10";0,03;0
"20";1,48;1,99
"30";1,96;1,52
"40";1,38;1,84
"50";1,88;2,49
"60";2,15;3,03
"70";2,7;3,15
"80";3,63;5
"90";4,85;6,06
"100";4,98;6,51
"110";5,69;6,63
"120";4,86;7,29
"130";5,77;6,98
"140";5,92;7,18
"150";5,18;6,11
"160";5,01;5,05
"170";5,61;4,56
"180";4,63;4,88
"190";3,83;3,19
"200";4,32;3,26
"210";4,3;2,42
"220";2,57;2,25
"230";2,68;1,36
"240";2,26;1,04
"250";2,19;0,93
"260";1,5;0,83
"270";1,39;0,75
"280";1,29;0,52
"290";0,99;0,65
"300";1,11;0,59
"310";0,8;0,33
"320";0,47;0,25
"330";0,39;0,35
"340";0,53;0,4
"350";0,23;0,12
"360";0,39;0,11
"370";0,13;0,04
"380";0,24;0,09
"390";0,16;0,1
"400";0,14;0,02
"410";0,08;0,02
"420";0,08;0
"430";0,06;0,02
"440";0,01;0,02
"450";0,05;0,03
"460";0,03;0
"470";0,01;0
"490";0;0,03
"510";0,01;0
