"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";2,48;2,68
"30";2,37;1,52
"40";1,37;2,78
"50";2,34;1,31
"60";3,38;3,18
"70";2,86;3,18
"80";5,45;3,71
"90";4,81;5,95
"100";6,61;6,63
"110";6,62;7,88
"120";7,62;9,08
"130";6,48;8,75
"140";5,02;8,28
"150";5,74;6,35
"160";6,18;6,82
"170";4,47;3,81
"180";3,57;3,52
"190";3,57;3,17
"200";3,37;2,33
"210";3,72;1,9
"220";2,27;2
"230";2,17;1,66
"240";1,09;0,91
"250";1,69;0,17
"260";1,08;0,63
"270";0,66;0,21
"280";0,86;0,62
"290";0,78;0,49
"300";0,33;0,02
"310";0,56;0,19
"320";0,16;0
"330";0,16;0,12
"340";0,07;0,13
"350";0,09;0
