"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";2,5;2,59
"30";2,03;1,55
"40";2,05;2,05
"50";2,27;2,67
"60";2,97;3,37
"70";4,02;4,81
"80";4,92;6,01
"90";5,77;7,48
"100";6,1;8
"110";6,32;8,48
"120";6,54;8,16
"130";6,42;7,78
"140";6,55;6,67
"150";6,06;5,95
"160";5,34;4,96
"170";4,72;3,89
"180";4,33;3,27
"190";3,52;2,52
"200";3,06;1,84
"210";2,57;1,6
"220";2,23;1,2
"230";1,87;1,02
"240";1,48;0,78
"250";1,33;0,68
"260";1,09;0,51
"270";0,84;0,39
"280";0,76;0,34
"290";0,56;0,41
"300";0,51;0,22
"310";0,39;0,22
"320";0,25;0,16
"330";0,24;0,12
"340";0,2;0,19
"350";0,19;0,09
