"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";2,17;2,18
"30";1,62;1,28
"40";1,61;1,56
"50";1,69;2,11
"60";2,84;3,09
"70";3,44;3,89
"80";4,11;4,8
"90";5,04;6,32
"100";5,95;7
"110";5,97;7,97
"120";6,64;7,54
"130";6,35;8,54
"140";7,33;7,31
"150";7,02;7,5
"160";6,09;5,87
"170";5,26;4,65
"180";4,39;3,25
"190";3,57;2,93
"200";3,36;2,46
"210";3,04;2,42
"220";2,09;1,22
"230";2,03;1,2
"240";1,62;0,94
"250";1,33;0,88
"260";1,12;0,68
"270";1,07;0,37
"280";0,79;0,41
"290";0,56;0,37
"300";0,62;0,28
"310";0,28;0,29
"320";0,28;0,25
"330";0,23;0,07
"340";0,27;0,16
"350";0,22;0,2
