"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";3,61;2,39
"30";2,48;3,29
"40";2,97;2,43
"50";1,88;5,06
"60";3,63;2,16
"70";4,09;6,18
"80";5,58;6,7
"90";7,4;9,86
"100";7,1;8,66
"110";5,37;9,17
"120";5,6;7,18
"130";7,31;7,1
"140";7,46;4,44
"150";6,53;4,61
"160";2,82;3,27
"170";4,15;3,02
"180";2,91;2,68
"190";3,24;2,43
"200";2,17;0,66
"210";2,21;1,82
"220";2,02;0,38
"230";1,98;1,36
"240";1,48;1,07
"250";1,15;0,45
"260";1,17;0,32
"270";0,89;0,09
"280";0,76;0,06
"290";0,3;1,89
"300";0,4;0,12
"310";0,41;0
"320";0,24;0
"330";0,21;0
"340";0,41;1,14
"350";0,05;0
