"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";2,38;2,33
"30";1,82;1,36
"40";2;1,92
"50";2,24;2,12
"60";2,71;2,96
"70";3,57;4,39
"80";4,68;5,54
"90";5,51;6,86
"100";5,95;7,42
"110";6,41;8,28
"120";6,68;7,86
"130";6,39;8,22
"140";6,43;7,05
"150";6,01;6,2
"160";5,52;5,57
"170";4,94;4,64
"180";4,2;3,6
"190";3,6;2,88
"200";3,19;2,25
"210";2,82;1,91
"220";2,26;1,35
"230";1,97;1,13
"240";1,61;0,74
"250";1,5;0,73
"260";1,19;0,53
"270";0,99;0,45
"280";0,73;0,37
"290";0,55;0,32
"300";0,65;0,25
"310";0,45;0,2
"320";0,35;0,16
"330";0,27;0,16
"340";0,2;0,14
"350";0,22;0,09
