"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";2,05;2,28
"30";1,03;1,06
"40";1,02;1,03
"50";1,48;1,32
"60";2,41;3,28
"70";2,59;4,36
"80";3,54;3,45
"90";4,06;8
"100";7,16;5,56
"110";6,44;8,84
"120";7,55;11,84
"130";7,25;9,83
"140";7,79;7,9
"150";7,03;7,44
"160";6,53;4,92
"170";5,14;3,78
"180";5,33;2,89
"190";3,69;2,98
"200";3,31;2,31
"210";3,12;1,37
"220";1,85;0,97
"230";2,27;1,54
"240";1,41;0,46
"250";1,28;1,45
"260";0,67;0
"270";0,55;0,29
"280";0,92;0
"290";0,68;0,19
"300";0,83;0
"310";0,24;0,36
"320";0,18;0
"330";0,2;0,16
"340";0,24;0
"350";0,19;0,13
