"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";2,56;4,26
"30";2,19;2,08
"40";2,35;2,91
"50";2,14;3,17
"60";2,97;4,91
"70";3,03;5,23
"80";4,55;6,11
"90";4,15;9,09
"100";6,26;9,73
"110";5,16;8,61
"120";6,88;8,78
"130";5,86;6,28
"140";6,38;5,77
"150";6,28;5,71
"160";5,47;3,91
"170";5,26;1,55
"180";3,91;2,23
"190";4,24;1,93
"200";3,91;1,45
"210";2,7;0,93
"220";3,29;0,48
"230";1,92;1,37
"240";1,75;0,63
"250";1,39;0,27
"260";1,5;0,64
"270";0,78;0,44
"280";0,75;0,16
"290";0,57;0,87
"300";0,38;0,13
"310";0,44;0,16
"320";0,33;0,08
"330";0,34;0,07
"340";0,21;0
"350";0,09;0,05
