"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";4,19;4,3
"30";2,29;2,33
"40";3,07;2,73
"50";1,92;3,54
"60";2,72;5,19
"70";4,04;7,69
"80";4,1;8,35
"90";5,97;10,16
"100";6,67;8,47
"110";5,81;7,9
"120";5,87;7,2
"130";6,64;6,51
"140";6,9;5,1
"150";6,25;3,4
"160";5,26;2,86
"170";4,98;2,14
"180";5,15;2,02
"190";2,89;1,84
"200";3,34;1,2
"210";1,8;1,18
"220";1,91;1,04
"230";1,36;0,79
"240";2,07;0,57
"250";0,9;0,29
"260";0,97;0,62
"270";0,66;0,1
"280";0,43;0,55
"290";0,32;0,23
"300";0,49;0,22
"310";0,47;0,45
"320";0,23;0,29
"330";0,08;0,04
"340";0,04;0,7
"350";0,21;0
