"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";2,18;1,56
"30";1,79;1,11
"40";2,07;1,13
"50";1,99;1,45
"60";3,27;2,51
"70";3,35;3,72
"80";4,68;5,29
"90";5,53;6,77
"100";6,24;7,18
"110";6,69;7,97
"120";5,72;9,1
"130";5,49;7,49
"140";6,62;8,11
"150";6,02;7,59
"160";5,38;5,76
"170";4,86;4,92
"180";4,81;4,26
"190";4,48;2,48
"200";3,17;2,15
"210";2,79;2,25
"220";2,28;1,46
"230";2,09;1,07
"240";1,5;1,07
"250";1,35;0,66
"260";1,12;0,58
"270";0,93;0,28
"280";1,1;0,53
"290";0,51;0,31
"300";0,56;0,34
"310";0,46;0,24
"320";0,38;0,14
"330";0,22;0,26
"340";0,15;0,14
"350";0,22;0,11
