"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";2,79;2,31
"30";3,22;2,25
"40";0,83;2
"50";2,05;3,48
"60";2,2;6,85
"70";4,67;8,3
"80";5,76;8,97
"90";6,81;8,99
"100";6,44;7,89
"110";7,53;6,98
"120";6,54;9,44
"130";6,8;6,27
"140";6,36;4,83
"150";6,9;4,21
"160";5,25;2,08
"170";4,33;1,3
"180";2,52;3,24
"190";3,29;1,32
"200";3,76;0,83
"210";2,52;0,95
"220";2,32;1,26
"230";1,65;0,82
"240";1,35;1,23
"250";0,75;0,62
"260";0,56;0,17
"270";0,6;0,13
"280";0,8;0,77
"290";0,43;1,04
"300";0,08;0,17
"310";0,38;0,47
"320";0;0,54
"330";0,23;0,14
"340";0,13;0,17
"350";0,17;0
