AGS,Name,newbuilding_renewables_2016,newbuilding_renewables_2017,newbuilding_renewables_2018,newbuilding_renewables_2019
1001,"Flensburg, Stadt",7.92,7.69,11.42,3.13
1002,"Kiel, Stadt",5.0,13.89,16.44,18.99
1003,"Lübeck, Stadt",17.97,16.15,23.71,12.41
1004,"Neumünster, Stadt",0.0,11.76,16.36,24.53
1051,Dithmarschen,30.7,33.18,37.23,23.87
1053,Herzogtum Lauenburg,17.46,30.65,24.36,17.65
1054,Nordfriesland,36.96,48.5,52.89,44.39
1055,Ostholstein,16.39,24.66,28.61,30.2
1056,Pinneberg,19.12,26.42,25.29,21.37
1057,Plön,18.12,42.74,37.24,44.86
1058,Rendsburg-Eckernförde,18.22,25.35,28.71,28.87
1059,Schleswig-Flensburg,26.23,33.08,32.44,35.33
1060,Segeberg,15.45,25.33,24.73,20.42
1061,Steinburg,15.38,32.53,29.44,25.24
1062,Stormarn,23.41,31.62,34.62,31.67
2000,"Hamburg, Stadt",17.59,21.12,20.62,17.05
3101,"Braunschweig, Stadt",15.83,32.14,27.35,30.61
3102,"Salzgitter, Stadt",17.24,26.32,17.02,32.73
3103,"Wolfsburg, Stadt",37.65,34.36,48.05,19.23
3151,Gifhorn,20.72,28.85,36.95,35.6
3153,Goslar,32.08,31.03,50.0,41.3
3154,Helmstedt,31.22,32.77,33.97,45.88
3155,Northeim,33.65,41.24,53.73,58.65
3157,Peine,25.34,33.62,36.13,33.56
3158,Wolfenbüttel,25.0,28.92,40.31,40.14
3159,Göttingen,35.99,45.31,45.69,40.54
3241,Region Hannover,26.32,26.5,28.89,37.67
3251,Diepholz,10.82,19.84,26.29,29.25
3252,Hameln-Pyrmont,37.65,51.09,37.5,43.3
3254,Hildesheim,31.67,38.36,36.62,36.83
3255,Holzminden,63.64,66.67,50.0,57.89
3256,Nienburg (Weser),16.02,22.75,17.89,24.64
3257,Schaumburg,23.57,33.77,36.57,49.79
3351,Celle,27.03,23.67,32.58,38.2
3352,Cuxhaven,13.86,18.99,20.22,21.41
3353,Harburg,29.42,31.73,38.13,33.44
3354,Lüchow-Dannenberg,42.03,73.08,47.83,50.0
3355,Lüneburg,21.5,24.39,27.2,17.24
3356,Osterholz,12.56,15.3,20.73,16.38
3357,Rotenburg (Wümme),12.67,18.91,25.92,23.58
3358,Heidekreis,20.21,20.66,30.49,28.13
3359,Stade,19.73,20.86,28.73,23.84
3360,Uelzen,26.36,32.65,27.38,35.43
3361,Verden,17.53,20.92,24.68,22.41
3401,"Delmenhorst, Stadt",19.18,14.04,13.7,19.4
3402,"Emden, Stadt",0.0,2.33,8.33,0.0
3403,"Oldenburg (Oldenburg), Stadt",9.29,17.2,8.09,5.67
3404,"Osnabrück, Stadt",15.76,21.5,21.9,22.22
3405,"Wilhelmshaven, Stadt",11.11,14.04,2.04,19.35
3451,Ammerland,6.02,8.99,13.31,9.47
3452,Aurich,3.35,5.35,5.64,7.51
3453,Cloppenburg,6.29,10.08,7.97,9.82
3454,Emsland,7.5,9.15,10.69,10.98
3455,Friesland,6.27,10.25,10.3,12.71
3456,Grafschaft Bentheim,7.27,13.53,18.12,15.14
3457,Leer,3.96,8.38,8.18,10.53
3458,Oldenburg,9.57,13.24,18.1,12.14
3459,Osnabrück,14.29,23.16,26.65,24.57
3460,Vechta,7.07,10.95,13.52,9.55
3461,Wesermarsch,7.64,12.84,21.19,13.25
3462,Wittmund,6.67,12.72,10.19,11.49
4011,"Bremen, Stadt",3.69,5.67,5.25,6.4
4012,"Bremerhaven, Stadt",4.26,6.59,11.22,3.39
5111,"Düsseldorf, Stadt",27.37,18.52,29.5,27.43
5112,"Duisburg, Stadt",31.65,41.6,42.62,45.26
5113,"Essen, Stadt",25.0,48.35,34.52,28.57
5114,"Krefeld, Stadt",34.74,55.38,59.29,68.57
5116,"Mönchengladbach, Stadt",28.77,42.74,53.17,63.04
5117,"Mülheim an der Ruhr, Stadt",28.13,22.76,54.4,43.0
5119,"Oberhausen, Stadt",15.11,26.61,25.41,57.59
5120,"Remscheid, Stadt",29.23,44.83,54.37,36.36
5122,"Solingen, Stadt",40.74,39.83,40.0,34.58
