,ort,kWh pro m² und Jahr,Durchschnitt Mehrfamilienhaus,Durchschnitt Ein/Zweifamilienhaus,variable,value
559,Niedersachsen,20,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,2.79
560,Niedersachsen,30,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,2.15
561,Niedersachsen,40,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,2.07
562,Niedersachsen,50,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,2.17
563,Niedersachsen,60,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,3.02
564,Niedersachsen,70,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,4.25
565,Niedersachsen,80,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,4.49
566,Niedersachsen,90,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,5.21
567,Niedersachsen,100,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,5.44
568,Niedersachsen,110,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,5.83
569,Niedersachsen,120,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,6.14
570,Niedersachsen,130,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,6.43
571,Niedersachsen,140,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,6.42
572,Niedersachsen,150,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,5.53
573,Niedersachsen,160,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,5.77
574,Niedersachsen,170,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,4.65
575,Niedersachsen,180,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,4.65
576,Niedersachsen,190,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,3.7
577,Niedersachsen,200,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,3.23
578,Niedersachsen,210,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,2.75
579,Niedersachsen,220,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,2.47
580,Niedersachsen,230,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,2.02
581,Niedersachsen,240,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,1.69
582,Niedersachsen,250,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,1.4
583,Niedersachsen,260,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,1.26
584,Niedersachsen,270,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,0.99
585,Niedersachsen,280,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,0.89
586,Niedersachsen,290,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,0.6
587,Niedersachsen,300,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,0.53
588,Niedersachsen,310,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,0.37
589,Niedersachsen,320,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,0.29
590,Niedersachsen,330,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,0.34
591,Niedersachsen,340,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,0.22
592,Niedersachsen,350,127.15099999999998,140.011,Ein- oder Zweifamilienhaus,0.24
1152,Niedersachsen,20,127.15099999999998,140.011,Mehrfamilienhaus,2.56
1153,Niedersachsen,30,127.15099999999998,140.011,Mehrfamilienhaus,1.51
1154,Niedersachsen,40,127.15099999999998,140.011,Mehrfamilienhaus,1.81
1155,Niedersachsen,50,127.15099999999998,140.011,Mehrfamilienhaus,2.65
1156,Niedersachsen,60,127.15099999999998,140.011,Mehrfamilienhaus,3.05
1157,Niedersachsen,70,127.15099999999998,140.011,Mehrfamilienhaus,4.09
1158,Niedersachsen,80,127.15099999999998,140.011,Mehrfamilienhaus,6.11
1159,Niedersachsen,90,127.15099999999998,140.011,Mehrfamilienhaus,6.79
1160,Niedersachsen,100,127.15099999999998,140.011,Mehrfamilienhaus,7.53
1161,Niedersachsen,110,127.15099999999998,140.011,Mehrfamilienhaus,8.24
1162,Niedersachsen,120,127.15099999999998,140.011,Mehrfamilienhaus,8.14
1163,Niedersachsen,130,127.15099999999998,140.011,Mehrfamilienhaus,7.18
