,Jahr,Insgesamt,davon Ökolandbau,"Unter 1,0 GV/ha","1,0-1,5 GV/ha","1,5-2,0 GV/ha","2,0-2,5 GV/ha","2,5-5,0 GV/ha","5,0 und mehr GV/ha"
Deutschland,2020,12016049,779815,2993567,2325920,2401420,1523125,1482346,1289670
Baden-Württemberg,2020,942605,95793,299036,259627,195650,99622,59089,29581
Bayern,2020,2608043,239869,512122,669894,712023,399565,236340,78098
Berlin,2020,946,122,423,143,,,,
Brandenburg,2020,488154,54887,301337,55481,38243,12375,10646,70071
Bremen,2020,7587,1114,1369,2766,2098,,627,
Hamburg,2020,7074,405,3709,1475,,486,,159
Hessen,2020,411548,63006,195354,111596,57953,22479,17667,6499
Mecklenburg-Vorpommern,2020,495566,69682,231642,89072,53232,6906,40414,74300
Niedersachsen,2020,2930734,61077,314839,408798,631446,493104,635493,447054
Nordrhein-Westfalen,2020,1725424,57160,213966,288887,342410,253207,335257,291697
Rheinland-Pfalz,2020,278470,30825,130478,75103,45438,12940,8801,5711
Saarland,2020,36861,6458,22774,9598,2813,,1195,
Sachsen,2020,430971,23450,255738,73109,23582,9361,5948,63232
Sachsen-Anhalt,2020,402474,20727,173471,45347,17115,15651,20806,130084
Schleswig-Holstein,2020,941807,37980,142137,198844,267321,193940,102573,36993
Thüringen,2020,307783,17259,195173,36179,11027,2451,7154,55798
Deutschland,2016,12954359,634884,3209307,2432090,2452033,1776998,1756516,1327230
Baden-Württemberg,2016,1002741,80736,309358,281333,208742,104204,69124,29980
Bayern,2016,2818180,187855,532806,725000,755166,454691,274476,76041
Berlin,2016,1001,109,382,246,83,,,
Brandenburg,2016,535512,50035,356387,60416,21926,16671,11716,68397
Bremen,2016,8566,1100,1114,2961,2513,1389,588,
Hamburg,2016,7302,401,3653,1831,760,598,,
Hessen,2016,440880,51746,205812,119068,64666,24416,21057,5860
Mecklenburg-Vorpommern,2016,537856,69717,270787,89608,49868,21449,32705,73439
Niedersachsen,2016,3170580,47420,321320,388259,616729,577292,743434,523545
Nordrhein-Westfalen,2016,1835480,43789,190508,298873,355722,311590,401459,277142
Rheinland-Pfalz,2016,306501,25824,139059,84051,48118,16214,11487,7570
Saarland,2016,42566,6618,26171,10431,3744,,600,
Sachsen,2016,462920,16539,287331,82530,17340,7715,7647,60357
Sachsen-Anhalt,2016,424301,14946,201442,46791,25638,5914,30214,114302
Schleswig-Holstein,2016,1015024,22753,141397,194624,270913,228472,143179,36438
Thüringen,2016,344949,15297,221779,46067,10104,4792,8399,53809
Deutschland,2010,12988177,,3504693,2875311,2777233,1683960,1370766,400277
Baden-Württemberg,2010,1053620,,345110,327659,231165,96479,44632,3961
Bayern,2010,2972338,,586639,867983,876971,418505,187185,15944
Berlin,2010,975,,459,172,71,,,
Brandenburg,2010,562219,,383132,71615,23095,8400,12027,10363
Bremen,2010,8831,,1482,4017,1994,,,
Hamburg,2010,7524,,3854,2135,547,607,242,140
Hessen,2010,469750,,222112,149715,62574,19596,11958,2151
Mecklenburg-Vorpommern,2010,540888,,298856,101430,33960,15241,17578,31870
Niedersachsen,2010,2892963,,349930,495708,722331,524723,534096,184454
Nordrhein-Westfalen,2010,1765571,,206203,336758,400766,324478,403390,62718
Rheinland-Pfalz,2010,336371,,162796,101569,47521,11236,6469,1608
Saarland,2010,45514,,29647,10444,3251,915,694,173
Sachsen,2010,485902,,300925,79945,20631,7786,6424,19903
Sachsen-Anhalt,2010,413672,,223827,50260,24749,15786,20461,33266
Schleswig-Holstein,2010,1068516,,141822,234602,311692,234133,121554,19113
Thüringen,2010,363520,,247899,41299,15915,4970,3627,14537
