Jahr;AGS;Name;Viehbestand 2016
01.03.2016;0;Deutschland;12954359
01.03.2016;1;  Schleswig-Holstein;1015024
01.03.2016;1001;      Flensburg, kreisfreie Stadt;195
01.03.2016;1002;      Kiel, Landeshauptstadt, kreisfreie Stadt;1601
01.03.2016;1003;      L�beck, Hansestadt, kreisfreie Stadt;2752
01.03.2016;1004;      Neum�nster, kreisfreie Stadt;1919
01.03.2016;1051;      Dithmarschen, Landkreis;111849
01.03.2016;1053;      Herzogtum Lauenburg, Landkreis;37724
01.03.2016;1054;      Nordfriesland, Landkreis;179912
01.03.2016;1055;      Ostholstein, Landkreis;34062
01.03.2016;1056;      Pinneberg, Landkreis;39975
01.03.2016;1057;      Pl�n, Landkreis;48847
01.03.2016;1058;      Rendsburg-Eckernf�rde, Landkreis;161864
01.03.2016;1059;      Schleswig-Flensburg, Landkreis;182506
01.03.2016;1060;      Segeberg, Landkreis;75461
01.03.2016;1061;      Steinburg, Landkreis;101175
01.03.2016;1062;      Stormarn, Landkreis;35182
01.03.2016;2;  Hamburg;7302
01.03.2016;3;  Niedersachsen;3170580
01.03.2016;31;    Braunschweig, Stat. Region;90531
01.03.2016;3101;      Braunschweig, kreisfreie Stadt;1316
01.03.2016;3102;      Salzgitter, kreisfreie Stadt;741
01.03.2016;3103;      Wolfsburg, kreisfreie Stadt;1115
01.03.2016;3151;      Gifhorn, Landkreis;23524
01.03.2016;3152;      G�ttingen, Landkreis;19744
01.03.2016;3153;      Goslar, Landkreis;5416
01.03.2016;3154;      Helmstedt, Landkreis;3634
01.03.2016;3155;      Northeim, Landkreis;21952
01.03.2016;3156;      Osterode am Harz, Landkreis;5024
01.03.2016;3157;      Peine, Landkreis;5298
01.03.2016;3158;      Wolfenb�ttel, Landkreis;2765
01.03.2016;3159;      G�ttingen, Landkreis;-
01.03.2016;32;    Hannover, Stat. Region;313910
01.03.2016;3241;      Region Hannover, Landkreis;39465
01.03.2016;3241001;      Hannover, Landeshauptstadt;.
01.03.2016;3251;      Diepholz, Landkreis;151012
01.03.2016;3252;      Hameln-Pyrmont, Landkreis;13692
01.03.2016;3254;      Hildesheim, Landkreis;9628
01.03.2016;3255;      Holzminden, Landkreis;12454
01.03.2016;3256;      Nienburg (Weser), Landkreis;71668
01.03.2016;3257;      Schaumburg, Landkreis;15992
01.03.2016;33;    L�neburg, Stat. Region;820107
01.03.2016;3351;      Celle, Landkreis;30838
01.03.2016;3352;      Cuxhaven, Landkreis;225436
01.03.2016;3353;      Harburg, Landkreis;40636
01.03.2016;3354;      L�chow-Dannenberg, Landkreis;22422
01.03.2016;3355;      L�neburg, Landkreis;29774
01.03.2016;3356;      Osterholz, Landkreis;56432
01.03.2016;3357;      Rotenburg (W�mme), Landkreis;181770
01.03.2016;3358;      Heidekreis, Landkreis;49171
01.03.2016;3359;      Stade, Landkreis;107660
01.03.2016;3360;      Uelzen, Landkreis;21492
01.03.2016;3361;      Verden, Landkreis;54477
01.03.2016;34;    Weser-Ems, Stat. Region;1946032
01.03.2016;3401;      Delmenhorst, kreisfreie Stadt;4111
01.03.2016;3402;      Emden, kreisfreie Stadt;5819
01.03.2016;3403;      Oldenburg (Oldenburg), kreisfreie Stadt;3152
01.03.2016;3404;      Osnabr�ck, kreisfreie Stadt;3738
01.03.2016;3405;      Wilhelmshaven, kreisfreie Stadt;5072
01.03.2016;3451;      Ammerland, Landkreis;74230
01.03.2016;3452;      Aurich, Landkreis;108867
01.03.2016;3453;      Cloppenburg, Landkreis;291547
01.03.2016;3454;      Emsland, Landkreis;381837
01.03.2016;3455;      Friesland, Landkreis;74333
01.03.2016;3456;      Grafschaft Bentheim, Landkreis;148895
01.03.2016;3457;      Leer, Landkreis;118599
01.03.2016;3458;      Oldenburg, Landkreis;110474
01.03.2016;3459;      Osnabr�ck, Landkreis;218511
01.03.2016;3460;      Vechta, Landkreis;234830
01.03.2016;3461;      Wesermarsch, Landkreis;98789
01.03.2016;3462;      Wittmund, Landkreis;63225
01.03.2016;4;  Bremen;8566
01.03.2016;4011;      Bremen, kreisfreie Stadt;.
01.03.2016;4012;      Bremerhaven, kreisfreie Stadt;.
01.03.2016;5;  Nordrhein-Westfalen;1835480
01.03.2016;51;    D�sseldorf, Regierungsbezirk;274257
01.03.2016;5111;      D�sseldorf, kreisfreie Stadt;1370
01.03.2016;5112;      Duisburg, kreisfreie Stadt;1224
01.03.2016;5113;      Essen, kreisfreie Stadt;1950
01.03.2016;5114;      Krefeld, kreisfreie Stadt;2303
01.03.2016;5116;      M�nchengladbach, kreisfreie Stadt;2597
01.03.2016;5117;      M�lheim an der Ruhr, kreisfreie Stadt;1006
01.03.2016;5119;      Oberhausen, kreisfreie Stadt;.
01.03.2016;5120;      Remscheid, kreisfreie Stadt;.
01.03.2016;5122;      Solingen, kreisfreie Stadt;1038
01.03.2016;5124;      Wuppertal, kreisfreie Stadt;2591
01.03.2016;5154;      Kleve, Kreis;135256
01.03.2016;5158;      Mettmann, Kreis;6037
01.03.2016;5162;      Rhein-Kreis Neuss;8060
01.03.2016;5166;      Viersen, Kreis;36019
01.03.2016;5170;      Wesel, Kreis;72276
01.03.2016;53;    K�ln, Regierungsbezirk;193280
01.03.2016;5314;      Bonn, kreisfreie Stadt;533
01.03.2016;5315;      K�ln, kreisfreie Stadt;588
01.03.2016;5316;      Leverkusen, kreisfreie Stadt;1533
01.03.2016;5334;      St�dteregion Aachen (einschl. Stadt Aachen);24543
01.03.2016;5334002;      Aachen, krfr. Stadt;.
01.03.2016;5354;      Aachen, Kreis;-
01.03.2016;5358;      D�ren, Kreis;13274
01.03.2016;5362;      Rhein-Erft-Kreis;4762
01.03.2016;5366;      Euskirchen, Kreis;30601
01.03.2016;5370;      Heinsberg, Kreis;31227
01.03.2016;5374;      Oberbergischer Kreis;39380
01.03.2016;5378;      Rheinisch-Bergischer Kreis;14387
01.03.2016;5382;      Rhein-Sieg-Kreis;32453
01.03.2016;55;    M�nster, Regierungsbezirk;791946
01.03.2016;5512;      Bottrop, kreisfreie Stadt;6884
01.03.2016;5513;      Gelsenkirchen, kreisfreie Stadt;1516
01.03.2016;5515;      M�nster, kreisfreie Stadt;18081
01.03.2016;5554;      Borken, Kreis;229159
01.03.2016;5558;      Coesfeld, Kreis;146226
01.03.2016;5562;      Recklinghausen, Kreis;40650
01.03.2016;5566;      Steinfurt, Kreis;197566
01.03.2016;5570;      Warendorf, Kreis;151865
01.03.2016;57;    Detmold, Regierungsbezirk;328443
01.03.2016;5711;      Bielefeld, kreisfreie Stadt;4295
01.03.2016;5754;      G�tersloh, Kreis;78070
01.03.2016;5758;      Herford, Kreis;14784
01.03.2016;5762;      H�xter, Kreis;57385
01.03.2016;5766;      Lippe, Kreis;28262
01.03.2016;5770;      Minden-L�bbecke, Kreis;66688
01.03.2016;5774;      Paderborn, Kreis;78958
01.03.2016;59;    Arnsberg, Regierungsbezirk;247555
01.03.2016;5911;      Bochum, kreisfreie Stadt;772
01.03.2016;5913;      Dortmund, kreisfreie Stadt;2154
01.03.2016;5914;      Hagen, kreisfreie Stadt;1680
01.03.2016;5915;      Hamm, kreisfreie Stadt;12407
01.03.2016;5916;      Herne, kreisfreie Stadt;591
01.03.2016;5954;      Ennepe-Ruhr-Kreis;11626
01.03.2016;5958;      Hochsauerlandkreis;60693
01.03.2016;5962;      M�rkischer Kreis;29209
01.03.2016;5966;      Olpe, Kreis;16175
01.03.2016;5970;      Siegen-Wittgenstein, Kreis;14376
01.03.2016;5974;      Soest, Kreis;70927
01.03.2016;5978;      Unna, Kreis;26944
01.03.2016;6;  Hessen;440880
01.03.2016;64;    Darmstadt, Regierungsbezirk;106313
01.03.2016;6411;      Darmstadt, kreisfreie Stadt;.
01.03.2016;6412;      Frankfurt am Main, kreisfreie Stadt;841
01.03.2016;6413;      Offenbach am Main, kreisfreie Stadt;.
01.03.2016;6414;      Wiesbaden, Landeshauptstadt, kreisfreie Stadt;1530
01.03.2016;6431;      Bergstra�e, Landkreis;12433
01.03.2016;6432;      Darmstadt-Dieburg, Landkreis;11115
01.03.2016;6433;      Gro�-Gerau, Landkreis;3070
01.03.2016;6434;      Hochtaunuskreis;4396
01.03.2016;6435;      Main-Kinzig-Kreis;27492
01.03.2016;6436;      Main-Taunus-Kreis;1787
01.03.2016;6437;      Odenwaldkreis;16519
01.03.2016;6438;      Offenbach, Landkreis;3011
01.03.2016;6439;      Rheingau-Taunus-Kreis;4501
01.03.2016;6440;      Wetteraukreis;19294
01.03.2016;65;    Gie�en, Regierungsbezirk;115250
01.03.2016;6531;      Gie�en, Landkreis;.
01.03.2016;6532;      Lahn-Dill-Kreis;.
01.03.2016;6533;      Limburg-Weilburg, Landkreis;15026
01.03.2016;6534;      Marburg-Biedenkopf, Landkreis;27264
01.03.2016;6535;      Vogelsbergkreis;47464
01.03.2016;66;    Kassel, Regierungsbezirk;219317
01.03.2016;6611;      Kassel, kreisfreie Stadt;260
01.03.2016;6631;      Fulda, Landkreis;56611
01.03.2016;6632;      Hersfeld-Rotenburg, Landkreis;22546
01.03.2016;6633;      Kassel, Landkreis;24591
01.03.2016;6634;      Schwalm-Eder-Kreis;41560
01.03.2016;6635;      Waldeck-Frankenberg, Landkreis;55264
01.03.2016;6636;      Werra-Mei�ner-Kreis;18484
01.03.2016;7;  Rheinland-Pfalz;306501
01.03.2016;71;    Koblenz, Stat. Region;112968
01.03.2016;7111;      Koblenz, kreisfreie Stadt;368
01.03.2016;7131;      Ahrweiler, Landkreis;9665
01.03.2016;7132;      Altenkirchen (Westerwald), Landkreis;14350
01.03.2016;7133;      Bad Kreuznach, Landkreis;7095
01.03.2016;7134;      Birkenfeld, Landkreis;10493
01.03.2016;7135;      Cochem-Zell, Landkreis;6144
01.03.2016;7137;      Mayen-Koblenz, Landkreis;11289
01.03.2016;7138;      Neuwied, Landkreis;11134
01.03.2016;7140;      Rhein-Hunsr�ck-Kreis;13572
01.03.2016;7141;      Rhein-Lahn-Kreis;10497
01.03.2016;7143;      Westerwaldkreis;18362
01.03.2016;72;    Trier, Stat. Region;141854
