AGS;Name;Landwirtschaftlich genutzte Flaeche 2016
0;Deutschland;16658928
1;  Schleswig-Holstein;990403
1001;      Flensburg, kreisfreie Stadt;145
1002;      Kiel, Landeshauptstadt, kreisfreie Stadt;2196
1003;      L�beck, Hansestadt, kreisfreie Stadt;5335
1004;      Neum�nster, kreisfreie Stadt;1672
1051;      Dithmarschen, Landkreis;100610
1053;      Herzogtum Lauenburg, Landkreis;69330
1054;      Nordfriesland, Landkreis;141740
1055;      Ostholstein, Landkreis;89365
1056;      Pinneberg, Landkreis;35658
1057;      Pl�n, Landkreis;68767
1058;      Rendsburg-Eckernf�rde, Landkreis;138682
1059;      Schleswig-Flensburg, Landkreis;145051
1060;      Segeberg, Landkreis;76023
1061;      Steinburg, Landkreis;68362
1062;      Stormarn, Landkreis;47467
2;  Hamburg;14637
3;  Niedersachsen;2598164
31;    Braunschweig, Stat. Region;388606
3101;      Braunschweig, kreisfreie Stadt;6905
3102;      Salzgitter, kreisfreie Stadt;10684
3103;      Wolfsburg, kreisfreie Stadt;8320
3151;      Gifhorn, Landkreis;77568
3152;      G�ttingen, Landkreis;57461
3153;      Goslar, Landkreis;27510
3154;      Helmstedt, Landkreis;41344
3155;      Northeim, Landkreis;56617
3156;      Osterode am Harz, Landkreis;15514
3157;      Peine, Landkreis;35763
3158;      Wolfenb�ttel, Landkreis;50920
3159;      G�ttingen, Landkreis;-
32;    Hannover, Stat. Region;493472
3241;      Region Hannover, Landkreis;115858
3241001;      Hannover, Landeshauptstadt;.
3251;      Diepholz, Landkreis;129528
3252;      Hameln-Pyrmont, Landkreis;39229
3254;      Hildesheim, Landkreis;67905
3255;      Holzminden, Landkreis;25566
3256;      Nienburg (Weser), Landkreis;81809
3257;      Schaumburg, Landkreis;33577
33;    L�neburg, Stat. Region;802212
3351;      Celle, Landkreis;52227
3352;      Cuxhaven, Landkreis;136258
3353;      Harburg, Landkreis;54922
3354;      L�chow-Dannenberg, Landkreis;60650
3355;      L�neburg, Landkreis;62195
3356;      Osterholz, Landkreis;39610
3357;      Rotenburg (W�mme), Landkreis;126042
3358;      Heidekreis, Landkreis;69453
3359;      Stade, Landkreis;80219
3360;      Uelzen, Landkreis;74506
3361;      Verden, Landkreis;46131
34;    Weser-Ems, Stat. Region;913874
3401;      Delmenhorst, kreisfreie Stadt;2674
3402;      Emden, kreisfreie Stadt;4786
3403;      Oldenburg (Oldenburg), kreisfreie Stadt;2457
3404;      Osnabr�ck, kreisfreie Stadt;3370
3405;      Wilhelmshaven, kreisfreie Stadt;3504
3451;      Ammerland, Landkreis;42654
3452;      Aurich, Landkreis;82643
3453;      Cloppenburg, Landkreis;95505
3454;      Emsland, Landkreis;162521
3455;      Friesland, Landkreis;43888
3456;      Grafschaft Bentheim, Landkreis;58296
3457;      Leer, Landkreis;67200
3458;      Oldenburg, Landkreis;63862
3459;      Osnabr�ck, Landkreis;117136
3460;      Vechta, Landkreis;64521
3461;      Wesermarsch, Landkreis;56615
3462;      Wittmund, Landkreis;42240
4;  Bremen;8052
4011;      Bremen, kreisfreie Stadt;7756
4012;      Bremerhaven, kreisfreie Stadt;297
5;  Nordrhein-Westfalen;1440539
51;    D�sseldorf, Regierungsbezirk;213760
5111;      D�sseldorf, kreisfreie Stadt;3056
5112;      Duisburg, kreisfreie Stadt;3058
5113;      Essen, kreisfreie Stadt;2980
5114;      Krefeld, kreisfreie Stadt;3886
5116;      M�nchengladbach, kreisfreie Stadt;5707
5117;      M�lheim an der Ruhr, kreisfreie Stadt;1567
5119;      Oberhausen, kreisfreie Stadt;492
5120;      Remscheid, kreisfreie Stadt;1343
5122;      Solingen, kreisfreie Stadt;1322
5124;      Wuppertal, kreisfreie Stadt;2545
5154;      Kleve, Kreis;72133
5158;      Mettmann, Kreis;12003
5162;      Rhein-Kreis Neuss;28030
5166;      Viersen, Kreis;27786
5170;      Wesel, Kreis;47851
53;    K�ln, Regierungsbezirk;288524
5314;      Bonn, kreisfreie Stadt;1016
5315;      K�ln, kreisfreie Stadt;7978
5316;      Leverkusen, kreisfreie Stadt;2145
5334;      St�dteregion Aachen (einschl. Stadt Aachen);24205
5334002;      Aachen, krfr. Stadt;.
5354;      Aachen, Kreis;-
5358;      D�ren, Kreis;48900
5362;      Rhein-Erft-Kreis;32793
5366;      Euskirchen, Kreis;50155
5370;      Heinsberg, Kreis;36569
5374;      Oberbergischer Kreis;29308
5378;      Rheinisch-Bergischer Kreis;11959
5382;      Rhein-Sieg-Kreis;43495
55;    M�nster, Regierungsbezirk;382168
5512;      Bottrop, kreisfreie Stadt;3819
5513;      Gelsenkirchen, kreisfreie Stadt;1076
5515;      M�nster, kreisfreie Stadt;12661
5554;      Borken, Kreis;86124
5558;      Coesfeld, Kreis;69345
5562;      Recklinghausen, Kreis;24537
5566;      Steinfurt, Kreis;99376
5570;      Warendorf, Kreis;85231
57;    Detmold, Regierungsbezirk;316090
5711;      Bielefeld, kreisfreie Stadt;6947
5754;      G�tersloh, Kreis;50723
5758;      Herford, Kreis;20050
5762;      H�xter, Kreis;64832
5766;      Lippe, Kreis;52525
5770;      Minden-L�bbecke, Kreis;64507
5774;      Paderborn, Kreis;56506
59;    Arnsberg, Regierungsbezirk;239998
5911;      Bochum, kreisfreie Stadt;1889
5913;      Dortmund, kreisfreie Stadt;5093
5914;      Hagen, kreisfreie Stadt;1846
5915;      Hamm, kreisfreie Stadt;11199
5916;      Herne, kreisfreie Stadt;482
5954;      Ennepe-Ruhr-Kreis;11061
5958;      Hochsauerlandkreis;55352
5962;      M�rkischer Kreis;24894
5966;      Olpe, Kreis;14290
5970;      Siegen-Wittgenstein, Kreis;16306
5974;      Soest, Kreis;72923
5978;      Unna, Kreis;24662
6;  Hessen;767332
64;    Darmstadt, Regierungsbezirk;236010
6411;      Darmstadt, kreisfreie Stadt;1696
6412;      Frankfurt am Main, kreisfreie Stadt;4192
6413;      Offenbach am Main, kreisfreie Stadt;261
6414;      Wiesbaden, Landeshauptstadt, kreisfreie Stadt;5486
6431;      Bergstra�e, Landkreis;22985
6432;      Darmstadt-Dieburg, Landkreis;25921
6433;      Gro�-Gerau, Landkreis;16064
6434;      Hochtaunuskreis;12147
6435;      Main-Kinzig-Kreis;45041
6436;      Main-Taunus-Kreis;7763
6437;      Odenwaldkreis;16694
6438;      Offenbach, Landkreis;6142
6439;      Rheingau-Taunus-Kreis;19109
6440;      Wetteraukreis;52508
65;    Gie�en, Regierungsbezirk;206881
6531;      Gie�en, Landkreis;34898
6532;      Lahn-Dill-Kreis;25667
6533;      Limburg-Weilburg, Landkreis;32076
6534;      Marburg-Biedenkopf, Landkreis;49223
6535;      Vogelsbergkreis;65017
66;    Kassel, Regierungsbezirk;324442
6611;      Kassel, kreisfreie Stadt;765
6631;      Fulda, Landkreis;61807
6632;      Hersfeld-Rotenburg, Landkreis;36153
6633;      Kassel, Landkreis;49516
6634;      Schwalm-Eder-Kreis;69259
6635;      Waldeck-Frankenberg, Landkreis;68039
6636;      Werra-Mei�ner-Kreis;38903
7;  Rheinland-Pfalz;698763
71;    Koblenz, Stat. Region;254526
7111;      Koblenz, kreisfreie Stadt;1972
7131;      Ahrweiler, Landkreis;18829
7132;      Altenkirchen (Westerwald), Landkreis;16236
7133;      Bad Kreuznach, Landkreis;32300
7134;      Birkenfeld, Landkreis;20065
7135;      Cochem-Zell, Landkreis;22295
7137;      Mayen-Koblenz, Landkreis;36265
7138;      Neuwied, Landkreis;16287
7140;      Rhein-Hunsr�ck-Kreis;37301
7141;      Rhein-Lahn-Kreis;26679
7143;      Westerwaldkreis;26296
72;    Trier, Stat. Region;179098
7211;      Trier, kreisfreie Stadt;1860
7231;      Bernkastel-Wittlich, Landkreis;34098
7232;      Eifelkreis Bitburg-Pr�m;78482
7233;      Vulkaneifel, Landkreis;31368
7235;      Trier-Saarburg, Landkreis;33289
73;    Rheinhessen-Pfalz, Stat. Region;265140
7311;      Frankenthal (Pfalz), kreisfreie Stadt;2243
7312;      Kaiserslautern, kreisfreie Stadt;1183
7313;      Landau in der Pfalz, kreisfreie Stadt;2018
7314;      Ludwigshafen am Rhein, kreisfreie Stadt;1548
7315;      Mainz, kreisfreie Stadt;4961
7316;      Neustadt an der Weinstra�e, kreisfreie Stadt;3330
7317;      Pirmasens, kreisfreie Stadt;1105
7318;      Speyer, kreisfreie Stadt;571
7319;      Worms, kreisfreie Stadt;7089
7320;      Zweibr�cken, kreisfreie Stadt;2999
7331;      Alzey-Worms, Landkreis;40018
7332;      Bad D�rkheim, Landkreis;16461
7333;      Donnersbergkreis;32724
7334;      Germersheim, Landkreis;16704
7335;      Kaiserslautern, Landkreis;17241
7336;      Kusel, Landkreis;24311
7337;      S�dliche Weinstra�e, Landkreis;22791
7338;      Rhein-Pfalz-Kreis;16248
7339;      Mainz-Bingen, Landkreis;32642
7340;      S�dwestpfalz, Landkreis;18953
8;  Baden-W�rttemberg, Land;1415980
81;    Stuttgart, Regierungsbezirk;465780
8111;      Stuttgart, Landeshauptstadt, Stadtkreis;2511
8115;      B�blingen, Landkreis;22448
8116;      Esslingen, Landkreis;19908
8117;      G�ppingen, Landkreis;28124
8118;      Ludwigsburg, Landkreis;32389
8119;      Rems-Murr-Kreis, Landkreis;25643
8121;      Heilbronn, Universit�tsstadt, Stadtkreis;4118
8125;      Heilbronn, Landkreis;53934
8126;      Hohenlohekreis, Landkreis;41838
8127;      Schw�bisch Hall, Landkreis;76105
8128;      Main-Tauber-Kreis, Landkreis;68459
8135;      Heidenheim, Landkreis;26413
8136;      Ostalbkreis, Landkreis;63891
82;    Karlsruhe, Regierungsbezirk;204379
8211;      Baden-Baden, Stadtkreis;1584
8212;      Karlsruhe, Stadtkreis;2597
8215;      Karlsruhe, Landkreis;38432
8216;      Rastatt, Landkreis;14724
8221;      Heidelberg, Stadtkreis;1824
8222;      Mannheim, Stadtkreis;2915
8225;      Neckar-Odenwald-Kreis, Landkreis;46102
8226;      Rhein-Neckar-Kreis, Landkreis;38774
8231;      Pforzheim, Stadtkreis;970
8235;      Calw, Landkreis;17877
8236;      Enzkreis, Landkreis;19613
8237;      Freudenstadt, Landkreis;18967
83;    Freiburg, Regierungsbezirk;318213
8311;      Freiburg im Breisgau, Stadtkreis;3449
8315;      Breisgau-Hochschwarzwald, Landkreis;49323
8316;      Emmendingen, Landkreis;22196
8317;      Ortenaukreis, Landkreis;56010
8325;      Rottweil, Landkreis;30064
8326;      Schwarzwald-Baar-Kreis, Landkreis;38379
8327;      Tuttlingen, Landkreis;24236
8335;      Konstanz, Landkreis;33372
8336;      L�rrach, Landkreis;23158
8337;      Waldshut, Landkreis;38026
84;    T�bingen, Regierungsbezirk;427608
