,AGS,Name,Bundesland,Landwirtschaft_Flaeche,Tierzahl_GV,GV_pro_Flaeche,agriculture_rank,agriculture_third
0,0,Deutschland,Deutschland,16595024.0,12016049.0,0.724075421644464,0.0,
1,1,Schleswig-Holstein,Schleswig-Holstein,982753.0,941807.0,0.9583354108305953,14.0,unteren Drittel
2,2,Hamburg,Hamburg,14563.0,7074.0,0.48575156217812265,7.0,mittleren Drittel
3,3,Niedersachsen,Niedersachsen,2571337.0,2930734.0,1.139770477382,15.0,unteren Drittel
4,4,Bremen,Bremen,7923.0,7587.0,0.9575918212798182,13.0,unteren Drittel
5,5,Nordrhein-Westfalen,Nordrhein-Westfalen,1473157.0,1725424.0,1.171242440554537,16.0,unteren Drittel
6,6,Hessen,Hessen,764705.0,411548.0,0.5381787748216632,10.0,mittleren Drittel
7,7,Rheinland-Pfalz,Rheinland-Pfalz,698763.0,306501.0,0.43863369983814254,5.0,oberen Drittel
8,8,Baden-Württemberg,Baden-Württemberg,1408063.0,942605.0,0.6694338250490213,11.0,mittleren Drittel
9,9,Bayern,Bayern,3107697.0,2608043.0,0.8392204902858934,12.0,unteren Drittel
10,10,Saarland,Saarland,74024.0,36861.0,0.4979601210418243,8.0,mittleren Drittel
11,11,Berlin,Berlin,1864.0,946.0,0.5075107296137339,9.0,mittleren Drittel
12,12,Brandenburg,Brandenburg,1310361.0,488154.0,0.3725339810937597,3.0,oberen Drittel
13,13,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,1343521.0,495566.0,0.36885616227807383,2.0,oberen Drittel
14,14,Sachsen,Sachsen,898375.0,430971.0,0.479722832892723,6.0,mittleren Drittel
15,15,Sachsen-Anhalt,Sachsen-Anhalt,1162702.0,402474.0,0.3461540446305244,1.0,oberen Drittel
16,16,Thüringen,Thüringen,774830.0,307783.0,0.3972264883910019,4.0,oberen Drittel
17,1001,Flensburg,Schleswig-Holstein,244.0,171.0,0.7008196721311475,255.0,mittleren Drittel
18,1002,Kiel,Schleswig-Holstein,2014.0,1553.0,0.7711022840119166,272.0,unteren Drittel
19,1003,Lübeck,Schleswig-Holstein,5386.0,2848.0,0.5287783141477905,193.0,mittleren Drittel
20,1004,Neumünster,Schleswig-Holstein,1487.0,1662.0,1.11768661735037,331.0,unteren Drittel
21,1051,Dithmarschen,Schleswig-Holstein,100554.0,104009.0,1.0343596475525587,316.0,unteren Drittel
22,1053,Herzogtum Lauenburg,Schleswig-Holstein,66829.0,33485.0,0.5010549312424247,175.0,mittleren Drittel
23,1054,Nordfriesland,Schleswig-Holstein,140852.0,170091.0,1.2075866867350127,343.0,unteren Drittel
24,1055,Ostholstein,Schleswig-Holstein,87360.0,32755.0,0.37494276556776557,117.0,oberen Drittel
25,1056,Pinneberg,Schleswig-Holstein,35082.0,36700.0,1.046120517644376,319.0,unteren Drittel
26,1057,Plön,Schleswig-Holstein,70574.0,45409.0,0.643423923824638,236.0,mittleren Drittel
27,1058,Rendsburg-Eckernförde,Schleswig-Holstein,138065.0,149038.0,1.0794770579075073,324.0,unteren Drittel
28,1059,Schleswig-Flensburg,Schleswig-Holstein,143366.0,166159.0,1.1589846965110278,339.0,unteren Drittel
