"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";2,24;2,23
"30";2,25;1,4
"40";2,09;1,97
"50";2,68;2,55
"60";3,26;2,97
"70";4,12;4,31
"80";5,15;5,25
"90";5,87;6,97
"100";6,05;7,84
"110";6,6;8,66
"120";6,71;8,31
"130";6,55;8,7
"140";6,6;6,73
"150";6,22;5,62
"160";5,51;5,97
"170";4;4,33
"180";4,58;3,67
"190";3,4;2,22
"200";2,69;1,89
"210";2,04;1,6
"220";2,2;1,78
"230";1,82;0,88
"240";1,32;0,71
"250";1,27;0,75
"260";1,03;0,52
"270";0,63;0,47
"280";0,87;0,22
"290";0,67;0,52
"300";0,45;0,17
"310";0,39;0,15
"320";0,19;0,17
"330";0,21;0,14
"340";0,23;0,23
"350";0,11;0,09
