"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";1,89;2,88
"30";1,95;1,34
"40";1,53;1,63
"50";1,91;1,89
"60";2,38;1,74
"70";2,86;2,27
"80";3,72;3,89
"90";6,31;6,05
"100";4,84;7,76
"110";6,43;9,53
"120";5,66;9,41
"130";6,21;7,88
"140";6,19;9,66
"150";5,38;7,33
"160";4,92;5,84
"170";4,84;4,71
"180";5,08;3,73
"190";4,54;3,13
"200";4,17;2,11
"210";2,7;1,34
"220";2,55;1,07
"230";2,54;1,04
"240";2,69;0,7
"250";1,8;0,53
"260";1,4;0,58
"270";1,26;0,45
"280";0,95;0,48
"290";1,14;0,21
"300";0,7;0,21
"310";0,32;0,08
"320";0,37;0,17
"330";0,32;0,2
"340";0,29;0,11
"350";0,21;0,06
