"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";2,91;3,89
"30";3,36;1,74
"40";1,95;2,56
"50";2,5;4,25
"60";2,63;4,64
"70";3,63;5,94
"80";4,48;5,29
"90";5,32;8,73
"100";5,82;8,78
"110";6,58;8,1
"120";5,64;6,84
"130";6,62;7,13
"140";5,94;5,88
"150";6,33;6,18
"160";4,49;3,69
"170";4,68;2,81
"180";4,74;2,93
"190";3,28;1,98
"200";3,13;1,57
"210";2,56;1,32
"220";2,32;0,84
"230";1,79;0,45
"240";2,02;0,32
"250";1,54;0,28
"260";0,82;0,66
"270";1,1;0,82
"280";0,48;0
"290";0,61;1,08
"300";0,7;0,16
"310";0,78;0,39
"320";0,39;0,08
"330";0,2;0,17
"340";0,37;0,13
"350";0,3;0,35
