"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";2,67;1,95
"30";1,66;1
"40";2,21;1,43
"50";1,65;1,77
"60";1,04;1,93
"70";2,76;3,39
"80";3,19;5,65
"90";4,03;6,51
"100";3,92;8,93
"110";4,91;10,37
"120";6,13;9,25
"130";4,69;8,96
"140";6,04;7,74
"150";5,29;6,53
"160";5,19;4,86
"170";5,76;3,94
"180";5,05;3,39
"190";3,97;2,27
"200";4,1;2,22
"210";3,42;1,65
"220";2,93;1,12
"230";3,31;0,97
"240";2,7;0,93
"250";2,84;0,43
"260";2,3;0,59
"270";1,75;0,51
"280";1,77;0,53
"290";1,18;0,24
"300";1,05;0,3
"310";0,72;0,18
"320";0,42;0,11
"330";0,67;0,08
"340";0,3;0,13
"350";0,34;0,11
