"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";2,79;2,56
"30";2,15;1,51
"40";2,07;1,81
"50";2,17;2,65
"60";3,02;3,05
"70";4,25;4,09
"80";4,49;6,11
"90";5,21;6,79
"100";5,44;7,53
"110";5,83;8,24
"120";6,14;8,14
"130";6,43;7,18
"140";6,42;6,81
"150";5,53;6,62
"160";5,77;5,57
"170";4,65;4,3
"180";4,65;3,9
"190";3,7;2,74
"200";3,23;1,99
"210";2,75;1,69
"220";2,47;1,26
"230";2,02;0,97
"240";1,69;0,95
"250";1,4;0,67
"260";1,26;0,59
"270";0,99;0,29
"280";0,89;0,41
"290";0,6;0,3
"300";0,53;0,42
"310";0,37;0,36
"320";0,29;0,12
"330";0,34;0,14
"340";0,22;0,12
"350";0,24;0,11
