"kWh pro m² und Jahr";"Ein- oder Zweifamilienhaus";"Mehrfamilienhaus"
"20";2,07;2,26
"30";1,78;1,42
"40";2,15;1,91
"50";2,57;2,26
"60";2,84;3,42
"70";3,81;4,38
"80";6,07;6,89
"90";6,12;8,05
"100";6,97;10,52
"110";7,13;9,67
"120";7,21;9,12
"130";7;7,33
"140";6,9;6,65
"150";5,55;5,81
"160";4,85;4,8
"170";4,63;3,32
"180";4,38;2,77
"190";3,27;2,19
"200";2,51;1,31
"210";2,64;1,12
"220";1,63;0,85
"230";1,59;1
"240";1,18;0,7
"250";1,14;0,52
"260";0,82;0,33
"270";0,59;0,26
"280";0,68;0,36
"290";0,58;0,17
"300";0,41;0,06
"310";0,34;0,21
"320";0,21;0,1
"330";0,15;0,12
"340";0,09;0
"350";0,15;0,13
