AGS,Name,buildings_heating_2002,buildings_heating_2003,buildings_heating_2004,buildings_heating_2005,buildings_heating_2006,buildings_heating_2007,buildings_heating_2008,buildings_heating_2009,buildings_heating_2010,buildings_heating_2011,buildings_heating_2012,buildings_heating_2013,buildings_heating_2014,buildings_heating_2015,buildings_heating_2016,buildings_heating_2017,buildings_heating_2018,buildings_heating_2019,buildings_heating_2020
0,Deutschland,150.84,147.75,144.36,141.83,138.5,137.12,133.07,130.25,120.29,131.91,126.31,120.58,128.4,124.33,122.86,121.85,126.64,124.51,128.34
1,Schleswig-Holstein,165.51,156.88,149.41,147.44,145.95,141.06,136.96,132.27,124.63,135.78,129.1,125.67,132.16,127.02,126.54,125.3,127.29,126.0,129.76
2,Hamburg,171.08,172.84,167.16,166.8,160.5,154.84,147.19,146.12,134.56,149.35,144.41,137.16,144.55,141.68,133.57,132.67,138.91,138.14,141.22
3,Niedersachsen,155.9,151.88,149.14,146.14,143.25,139.79,135.56,133.8,122.35,133.97,129.2,123.67,130.47,126.19,125.74,125.82,126.65,126.71,130.12
4,Bremen,154.03,158.62,143.47,142.46,147.58,142.61,136.08,129.94,123.98,130.84,125.87,125.52,138.66,126.98,125.4,127.31,127.9,125.78,124.85
5,Nordrhein-Westfalen,154.65,154.18,148.5,148.56,143.87,141.19,135.65,133.63,124.28,135.54,130.28,121.87,130.11,123.72,123.79,124.33,126.78,125.72,130.29
6,Hessen,154.04,150.37,148.17,146.22,143.02,141.59,136.65,133.59,121.92,133.7,128.33,123.13,129.51,128.05,126.16,122.36,127.95,124.72,128.03
7,Rheinland-Pfalz,146.97,148.05,141.18,141.17,138.48,136.65,132.24,130.44,119.12,132.43,124.9,117.64,128.87,122.35,121.66,121.75,126.72,123.13,129.72
8,Baden-Württemberg,149.45,142.22,142.87,138.66,134.6,135.45,129.77,128.68,117.88,129.67,123.18,117.01,127.35,123.57,120.85,118.41,126.25,121.6,126.83
9,Bayern,145.76,142.64,139.65,134.47,129.84,130.52,126.67,124.48,114.63,125.3,120.67,115.0,122.46,120.84,117.92,115.94,124.46,119.96,122.61
10,Saarland,158.81,156.72,149.17,149.64,148.6,146.2,139.44,138.14,127.84,141.44,133.3,124.19,139.91,128.96,126.58,129.0,137.71,135.62,142.87
11,Berlin,152.23,152.86,142.21,140.5,140.33,134.83,134.76,134.46,124.98,140.03,133.01,128.47,126.99,125.51,120.4,122.48,123.52,124.52,125.42
12,Brandenburg,145.56,142.85,141.79,139.46,136.2,133.83,134.3,129.37,123.18,135.34,128.12,125.71,130.97,122.45,124.81,124.41,128.6,127.88,144.32
13,Mecklenburg-Vorpommern,152.01,139.6,135.89,134.72,135.09,136.7,135.88,126.27,119.29,129.63,121.1,121.71,122.75,125.13,122.5,122.89,126.02,130.94,125.07
14,Sachsen,141.72,138.53,136.6,135.55,132.34,129.59,130.9,125.6,115.61,128.5,122.55,119.0,126.1,122.48,122.91,119.8,125.93,123.83,122.1
15,Sachsen-Anhalt,142.97,143.14,143.53,140.52,139.07,140.56,136.04,131.26,123.09,134.09,130.65,125.44,134.36,128.91,125.76,123.39,126.91,128.01,131.93
16,Thüringen,136.75,140.35,137.1,131.87,131.82,133.44,133.23,123.8,114.18,126.02,121.79,117.01,123.27,122.79,119.16,121.96,124.8,124.69,124.52
