,AGS,Name,Bundesland,buildings_anteil_erneuerbare_2016,buildings_anteil_erneuerbare_2020,buildings_rank,buildings_third,buildings_heating_2002,buildings_heating_2020
0,0,Deutschland,Deutschland,29.271486694573515,37.25011871754416,0,,150.84,128.34
1,1,Schleswig-Holstein,Schleswig-Holstein,17.315705128205128,26.78206136900078,11,mittleren Drittel,165.51,129.76
2,2,Hamburg,Hamburg,7.976156684643769,5.8654674193857055,16,schlechtesten Drittel,171.08,141.22
3,3,Niedersachsen,Niedersachsen,15.535672786428073,20.774875890351822,13,schlechtesten Drittel,155.9,130.12
4,4,Bremen,Bremen,4.9273531269741,6.030855539971951,15,schlechtesten Drittel,154.03,124.85
5,5,Nordrhein-Westfalen,Nordrhein-Westfalen,27.602737901829705,40.593871098114725,7,mittleren Drittel,154.65,130.29
6,6,Hessen,Hessen,28.7104,35.1314197734521,8,mittleren Drittel,154.04,128.03
7,7,Rheinland-Pfalz,Rheinland-Pfalz,36.15475255302436,52.370872142252324,3,besten Drittel,146.97,129.72
8,8,Baden-Württemberg,Baden-Württemberg,46.13644803024677,55.38487556019054,2,besten Drittel,149.45,126.83
9,9,Bayern,Bayern,39.04600607846322,48.63149618091958,5,besten Drittel,145.76,122.61
10,10,Saarland,Saarland,37.29619565217392,57.3004542504867,1,besten Drittel,158.81,142.87
11,11,Berlin,Berlin,8.765882005318623,6.285631810637221,14,schlechtesten Drittel,152.23,125.42
12,12,Brandenburg,Brandenburg,23.66463826910074,30.87947882736156,9,mittleren Drittel,145.56,144.32
13,13,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,18.80535998183057,23.298616065059203,12,schlechtesten Drittel,152.01,125.07
14,14,Sachsen,Sachsen,31.82597231377719,29.672182987245705,10,mittleren Drittel,141.72,122.1
15,15,Sachsen-Anhalt,Sachsen-Anhalt,39.46308724832215,50.30193236714976,4,besten Drittel,142.97,131.93
16,16,Thüringen,Thüringen,34.42016806722689,41.64440486791332,6,mittleren Drittel,136.75,124.52
17,1001,Flensburg,Schleswig-Holstein,2.846975088967972,1.3636363636363638,399,schlechtesten Drittel,165.51,129.76
18,1002,Kiel,Schleswig-Holstein,16.19433198380567,4.059040590405903,394,schlechtesten Drittel,165.51,129.76
19,1003,Lübeck,Schleswig-Holstein,17.38095238095238,7.032967032967032,389,schlechtesten Drittel,165.51,129.76
20,1004,Neumünster,Schleswig-Holstein,0.0,20.0,345,schlechtesten Drittel,165.51,129.76
21,1051,Dithmarschen,Schleswig-Holstein,24.343675417661096,37.9110251450677,252,mittleren Drittel,165.51,129.76
22,1053,Herzogtum Lauenburg,Schleswig-Holstein,17.1960569550931,24.28285523682455,328,schlechtesten Drittel,165.51,129.76
23,1054,Nordfriesland,Schleswig-Holstein,26.839126919967665,46.23069936421435,194,mittleren Drittel,165.51,129.76
24,1055,Ostholstein,Schleswig-Holstein,15.081405312767782,28.688524590163937,306,schlechtesten Drittel,165.51,129.76
25,1056,Pinneberg,Schleswig-Holstein,16.318273769386384,27.638888888888893,314,schlechtesten Drittel,165.51,129.76
26,1057,Plön,Schleswig-Holstein,22.325581395348834,30.971659919028344,291,schlechtesten Drittel,165.51,129.76
27,1058,Rendsburg-Eckernförde,Schleswig-Holstein,16.306156405990016,41.48527528809219,230,mittleren Drittel,165.51,129.76
28,1059,Schleswig-Flensburg,Schleswig-Holstein,21.087786259541975,38.186157517899765,249,mittleren Drittel,165.51,129.76
29,1060,Segeberg,Schleswig-Holstein,10.299003322259134,16.09442060085837,358,schlechtesten Drittel,165.51,129.76
30,1061,Steinburg,Schleswig-Holstein,17.183098591549292,32.21476510067114,286,schlechtesten Drittel,165.51,129.76
31,1062,Stormarn,Schleswig-Holstein,19.662058371735792,27.783669141039233,312,schlechtesten Drittel,165.51,129.76
32,3101,Braunschweig,Niedersachsen,10.49562682215743,13.285714285714285,368,schlechtesten Drittel,155.9,130.12
33,3102,Salzgitter,Niedersachsen,13.88888888888889,15.966386554621849,360,schlechtesten Drittel,155.9,130.12
34,3103,Wolfsburg,Niedersachsen,48.58490566037736,9.72017673048601,378,schlechtesten Drittel,155.9,130.12
35,3151,Gifhorn,Niedersachsen,19.758672699849168,30.317848410757943,297,schlechtesten Drittel,155.9,130.12
36,3153,Goslar,Niedersachsen,43.56435643564356,39.47368421052632,242,mittleren Drittel,155.9,130.12
37,3154,Helmstedt,Niedersachsen,29.20353982300885,35.661764705882355,270,schlechtesten Drittel,155.9,130.12
38,3155,Northeim,Niedersachsen,30.76923076923077,55.48780487804877,129,besten Drittel,155.9,130.12
39,3157,Peine,Niedersachsen,25.11415525114155,41.968911917098445,227,mittleren Drittel,155.9,130.12
40,3158,Wolfenbüttel,Niedersachsen,18.84057971014493,29.20962199312715,301,schlechtesten Drittel,155.9,130.12
41,3159,Göttingen,Niedersachsen,39.17710196779965,46.584938704028026,193,mittleren Drittel,155.9,130.12
42,3241,Region Hannover,Niedersachsen,21.085409252669038,18.859485650391356,348,schlechtesten Drittel,155.9,130.12
43,3251,Diepholz,Niedersachsen,12.409812409812407,26.086956521739133,321,schlechtesten Drittel,155.9,130.12
44,3252,Hameln-Pyrmont,Niedersachsen,37.86407766990291,42.142857142857146,224,mittleren Drittel,155.9,130.12
45,3254,Hildesheim,Niedersachsen,21.21212121212121,30.0,298,schlechtesten Drittel,155.9,130.12
46,3255,Holzminden,Niedersachsen,68.51851851851852,63.63636363636364,68,besten Drittel,155.9,130.12
47,3256,Nienburg (Weser),Niedersachsen,17.10914454277286,23.041474654377886,337,schlechtesten Drittel,155.9,130.12
48,3257,Schaumburg,Niedersachsen,24.897959183673464,57.02917771883288,117,besten Drittel,155.9,130.12
