,ort,kWh pro m² und Jahr,Durchschnitt Mehrfamilienhaus,Durchschnitt Ein/Zweifamilienhaus,variable,value
0,Bundesweit,20,124.116,137.476,Ein- oder Zweifamilienhaus,2.5
1,Bundesweit,30,124.116,137.476,Ein- oder Zweifamilienhaus,2.03
2,Bundesweit,40,124.116,137.476,Ein- oder Zweifamilienhaus,2.05
3,Bundesweit,50,124.116,137.476,Ein- oder Zweifamilienhaus,2.27
4,Bundesweit,60,124.116,137.476,Ein- oder Zweifamilienhaus,2.97
5,Bundesweit,70,124.116,137.476,Ein- oder Zweifamilienhaus,4.02
6,Bundesweit,80,124.116,137.476,Ein- oder Zweifamilienhaus,4.92
7,Bundesweit,90,124.116,137.476,Ein- oder Zweifamilienhaus,5.77
8,Bundesweit,100,124.116,137.476,Ein- oder Zweifamilienhaus,6.1
9,Bundesweit,110,124.116,137.476,Ein- oder Zweifamilienhaus,6.32
10,Bundesweit,120,124.116,137.476,Ein- oder Zweifamilienhaus,6.54
11,Bundesweit,130,124.116,137.476,Ein- oder Zweifamilienhaus,6.42
12,Bundesweit,140,124.116,137.476,Ein- oder Zweifamilienhaus,6.55
13,Bundesweit,150,124.116,137.476,Ein- oder Zweifamilienhaus,6.06
14,Bundesweit,160,124.116,137.476,Ein- oder Zweifamilienhaus,5.34
15,Bundesweit,170,124.116,137.476,Ein- oder Zweifamilienhaus,4.72
16,Bundesweit,180,124.116,137.476,Ein- oder Zweifamilienhaus,4.33
17,Bundesweit,190,124.116,137.476,Ein- oder Zweifamilienhaus,3.52
18,Bundesweit,200,124.116,137.476,Ein- oder Zweifamilienhaus,3.06
19,Bundesweit,210,124.116,137.476,Ein- oder Zweifamilienhaus,2.57
20,Bundesweit,220,124.116,137.476,Ein- oder Zweifamilienhaus,2.23
21,Bundesweit,230,124.116,137.476,Ein- oder Zweifamilienhaus,1.87
22,Bundesweit,240,124.116,137.476,Ein- oder Zweifamilienhaus,1.48
23,Bundesweit,250,124.116,137.476,Ein- oder Zweifamilienhaus,1.33
24,Bundesweit,260,124.116,137.476,Ein- oder Zweifamilienhaus,1.09
25,Bundesweit,270,124.116,137.476,Ein- oder Zweifamilienhaus,0.84
26,Bundesweit,280,124.116,137.476,Ein- oder Zweifamilienhaus,0.76
27,Bundesweit,290,124.116,137.476,Ein- oder Zweifamilienhaus,0.56
28,Bundesweit,300,124.116,137.476,Ein- oder Zweifamilienhaus,0.51
29,Bundesweit,310,124.116,137.476,Ein- oder Zweifamilienhaus,0.39
30,Bundesweit,320,124.116,137.476,Ein- oder Zweifamilienhaus,0.25
31,Bundesweit,330,124.116,137.476,Ein- oder Zweifamilienhaus,0.24
32,Bundesweit,340,124.116,137.476,Ein- oder Zweifamilienhaus,0.2
33,Bundesweit,350,124.116,137.476,Ein- oder Zweifamilienhaus,0.19
34,Baden-Wuerttemberg,20,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,2.24
35,Baden-Wuerttemberg,30,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,2.25
36,Baden-Wuerttemberg,40,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,2.09
37,Baden-Wuerttemberg,50,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,2.68
38,Baden-Wuerttemberg,60,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,3.26
39,Baden-Wuerttemberg,70,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,4.12
40,Baden-Wuerttemberg,80,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,5.15
41,Baden-Wuerttemberg,90,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,5.87
42,Baden-Wuerttemberg,100,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,6.05
43,Baden-Wuerttemberg,110,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,6.6
44,Baden-Wuerttemberg,120,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,6.71
45,Baden-Wuerttemberg,130,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,6.55
46,Baden-Wuerttemberg,140,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,6.6
47,Baden-Wuerttemberg,150,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,6.22
48,Baden-Wuerttemberg,160,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,5.51
49,Baden-Wuerttemberg,170,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,4.0
50,Baden-Wuerttemberg,180,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,4.58
51,Baden-Wuerttemberg,190,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,3.4
52,Baden-Wuerttemberg,200,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,2.69
53,Baden-Wuerttemberg,210,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,2.04
54,Baden-Wuerttemberg,220,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,2.2
55,Baden-Wuerttemberg,230,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,1.82
56,Baden-Wuerttemberg,240,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,1.32
57,Baden-Wuerttemberg,250,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,1.27
58,Baden-Wuerttemberg,260,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,1.03
59,Baden-Wuerttemberg,270,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,0.63
60,Baden-Wuerttemberg,280,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,0.87
61,Baden-Wuerttemberg,290,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,0.67
62,Baden-Wuerttemberg,300,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,0.45
63,Baden-Wuerttemberg,310,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,0.39
64,Baden-Wuerttemberg,320,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,0.19
65,Baden-Wuerttemberg,330,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,0.21
66,Baden-Wuerttemberg,340,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,0.23
67,Baden-Wuerttemberg,350,126.92000000000002,135.127,Ein- oder Zweifamilienhaus,0.11
68,Bayern,10,138.278,157.761,Ein- oder Zweifamilienhaus,0.03
69,Bayern,20,138.278,157.761,Ein- oder Zweifamilienhaus,1.48
70,Bayern,30,138.278,157.761,Ein- oder Zweifamilienhaus,1.96
71,Bayern,40,138.278,157.761,Ein- oder Zweifamilienhaus,1.38
72,Bayern,50,138.278,157.761,Ein- oder Zweifamilienhaus,1.88
73,Bayern,60,138.278,157.761,Ein- oder Zweifamilienhaus,2.15
74,Bayern,70,138.278,157.761,Ein- oder Zweifamilienhaus,2.7
75,Bayern,80,138.278,157.761,Ein- oder Zweifamilienhaus,3.63
76,Bayern,90,138.278,157.761,Ein- oder Zweifamilienhaus,4.85
77,Bayern,100,138.278,157.761,Ein- oder Zweifamilienhaus,4.98
78,Bayern,110,138.278,157.761,Ein- oder Zweifamilienhaus,5.69
79,Bayern,120,138.278,157.761,Ein- oder Zweifamilienhaus,4.86
