Kennziffer;Raumeinheit;Aggregat;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie
;;;2016;2017;2018;2019;2017;2018;2019
"01001";"Flensburg, Stadt";"kreisfreie Stadt";"7,92";"7,69";"11,42";"3,13";"2,27";"3,39";"4,99"
"01002";"Kiel, Stadt";"kreisfreie Stadt";"5,00";"13,89";"16,44";"18,99";"9,38";"5,23";"7,32"
"01003";"Lübeck, Stadt";"kreisfreie Stadt";"17,97";"16,15";"23,71";"12,41";"5,66";"7,36";"2,47"
"01004";"Neumünster, Stadt";"kreisfreie Stadt";"0,00";"11,76";"16,36";"24,53";"5,88";"5,36";"37,13"
"01051";"Dithmarschen";"Landkreis";"30,70";"33,18";"37,23";"23,87";"34,26";"44,71";"25,83"
"01053";"Herzogtum Lauenburg";"Landkreis";"17,46";"30,65";"24,36";"17,65";"21,53";"18,84";"6,26"
"01054";"Nordfriesland";"Landkreis";"36,96";"48,50";"52,89";"44,39";"46,24";"43,14";"39,27"
"01055";"Ostholstein";"Landkreis";"16,39";"24,66";"28,61";"30,20";"16,00";"27,10";"23,30"
"01056";"Pinneberg";"Landkreis";"19,12";"26,42";"25,29";"21,37";"25,49";"22,66";"24,46"
"01057";"Plön";"Landkreis";"18,12";"42,74";"37,24";"44,86";"36,12";"31,82";"40,33"
"01058";"Rendsburg-Eckernförde";"Landkreis";"18,22";"25,35";"28,71";"28,87";"18,60";"17,70";"30,80"
"01059";"Schleswig-Flensburg";"Landkreis";"26,23";"33,08";"32,44";"35,33";"29,99";"25,51";"35,37"
"01060";"Segeberg";"Landkreis";"15,45";"25,33";"24,73";"20,42";"18,89";"16,54";"17,82"
"01061";"Steinburg";"Landkreis";"15,38";"32,53";"29,44";"25,24";"28,80";"35,42";"26,13"
"01062";"Stormarn";"Landkreis";"23,41";"31,62";"34,62";"31,67";"22,60";"28,18";"23,29"
"02000";"Hamburg, Stadt";"kreisfreie Stadt";"17,59";"21,12";"20,62";"17,05";"8,06";"9,14";"7,25"
"03101";"Braunschweig, Stadt";"kreisfreie Stadt";"15,83";"32,14";"27,35";"30,61";"9,45";"13,76";"47,06"
"03102";"Salzgitter, Stadt";"kreisfreie Stadt";"17,24";"26,32";"17,02";"32,73";"17,80";"12,70";"16,82"
"03103";"Wolfsburg, Stadt";"kreisfreie Stadt";"37,65";"34,36";"48,05";"19,23";"17,51";"19,03";"3,77"
"03151";"Gifhorn";"Landkreis";"20,72";"28,85";"36,95";"35,60";"23,41";"27,84";"26,66"
"03153";"Goslar";"Landkreis";"32,08";"31,03";"50,00";"41,30";"30,00";"45,28";"43,48"
"03154";"Helmstedt";"Landkreis";"31,22";"32,77";"33,97";"45,88";"25,11";"25,71";"44,18"
"03155";"Northeim";"Landkreis";"33,65";"41,24";"53,73";"58,65";"33,17";"48,21";"40,08"
"03157";"Peine";"Landkreis";"25,34";"33,62";"36,13";"33,56";"33,66";"25,94";"30,37"
"03158";"Wolfenbüttel";"Landkreis";"25,00";"28,92";"40,31";"40,14";"26,82";"23,81";"28,85"
"03159";"Göttingen";"Landkreis";"35,99";"45,31";"45,69";"40,54";"33,85";"39,49";"26,72"
"03241";"Region Hannover";"Landkreis";"26,32";"26,50";"28,89";"37,67";"21,12";"23,17";"27,33"
"03251";"Diepholz";"Landkreis";"10,82";"19,84";"26,29";"29,25";"18,34";"26,37";"21,69"
"03252";"Hameln-Pyrmont";"Landkreis";"37,65";"51,09";"37,50";"43,30";"37,50";"37,00";"26,14"
"03254";"Hildesheim";"Landkreis";"31,67";"38,36";"36,62";"36,83";"25,58";"26,19";"32,89"
"03255";"Holzminden";"Landkreis";"63,64";"66,67";"50,00";"57,89";"63,64";"35,48";"68,63"
"03256";"Nienburg (Weser)";"Landkreis";"16,02";"22,75";"17,89";"24,64";"22,12";"15,24";"21,88"
"03257";"Schaumburg";"Landkreis";"23,57";"33,77";"36,57";"49,79";"28,23";"36,10";"44,63"
