Jahr,Zeilenname,Zeile,Wasserkraft,Windkraft,Solarenergie,Biomasse,"Klärgas,Deponiegas",Sonstige erneuerbare Energien,Summe
2020,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,65940,475569,178185,692083,454568,105453,1971798
2019,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,71030,453219,167011,670399,445543,97251,1904453
2018,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,64707,395824,164823,634186,449382,93198,1802120
2017,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,72540,380102,141845,642589,476561,83822,1797459
2016,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,73966,288248,137153,627164,469404,80310,1676245
2015,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,68317,285143,139415,621918,454668,74323,1643784
2014,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,70513,206486,129803,604039,439277,68421,1518539
2013,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,82792.8,186148.8,111636,645783.445198714,410517.535325217,61777.4744,1498656.05492393
2012,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,78318,182412,94968,587288.46444,382286.5501,59536.08,1384809.09454
2011,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,63622.8,175978.8,69624,679372.006,430920.558958545,42987.2,1462505.36495854
