Jahr,Energiebilanz der Bundesrepublik 2020,Zeile,Steinkohle,Braunkohle,Mineralöle und Mineralöl Produkte,Gase,Gesamt Erneuerbare Energieträger,Stromaustauschsaldo,Kernenergie,Sonstige Energieträger,Summe
2020,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,895778.114,957741.584,4086816.243,3144335.962,1971798,-67982.4,702349.091,204074,11894910.594
2019,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,1084226,1162958,4511394,3221866,1904453,-117605,818952,218297,12804543
2018,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,1428156,1480539,4451801,3098631,1802120,-175446,829136,214105,13129043
2017,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,1502051,1507296,4671315,3166586,1797459,-188852,832623,234513,13522990
2016,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,1693073,1510693,4566079,3067552,1676245,-181890,923276,235586,13490618
2015,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,1728706,1565495,4491499,2780634,1643784,-173817,1001297,223911,13261510
2014,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,1759260,1573962,4492772,2671682,1518539,-121993,1059583,225782,13179587
2013,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,1839516,1628719,4627899,3073548,1498656,-115899,1061345,207824,13821608
2012,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,1725320,1644547,4526545,2933220,1384809,-83121,1085011,230726,13447059
2011,PRIMÄRENERGIEVERBRAUCH IM INLAND,8,1714525,1564323,4524525,2923374,1462506,-22576,1177858,254801,13599334
