,AGS,Name,Bundesland,energy_Erneuerbare_Anteil,energy_Geheim_Anteil,energy_Anteil_Erneuerbar_Bundesland,energy_rank,energy_third
0,0,Deutschland,Deutschland,4.099327161623109,0.0,16.576820686610365,,
1,1,Schleswig-Holstein,Schleswig-Holstein,0.0,22.72196139610731,29.882406354957983,2.0,besten Drittel
2,2,Hamburg,Hamburg,0.0332923190377922,32.48846795734707,5.639383633428056,16.0,schlechtesten Drittel
3,3,Niedersachsen,Niedersachsen,1.9137688534946904,36.57504289821713,22.5073068583383,4.0,besten Drittel
4,4,Bremen,Bremen,0.0,75.19004679044443,7.684383539212137,13.0,schlechtesten Drittel
5,5,Nordrhein-Westfalen,Nordrhein-Westfalen,1.757968264558321,0.0,5.823424514576431,15.0,schlechtesten Drittel
6,6,Hessen,Hessen,4.369993921472165,0.0,11.01317943296178,11.0,mittleren Drittel
7,7,Rheinland-Pfalz,Rheinland-Pfalz,1.6418347835108835,0.0,14.531998306057318,9.0,mittleren Drittel
8,8,Baden-Württemberg,Baden-Württemberg,8.903675239582938,0.0,14.170586274783476,10.0,mittleren Drittel
9,9,Bayern,Bayern,0.0,20.8987018990441,20.126032366825232,6.0,mittleren Drittel
10,10,Saarland,Saarland,0.5306628926361198,0.0,4.069593898904002,17.0,
11,11,Berlin,Berlin,0.0,5.724661903400972,6.109197068391507,14.0,schlechtesten Drittel
12,12,Brandenburg,Brandenburg,10.237775389162277,0.0,20.83669699016272,5.0,besten Drittel
13,13,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,19.40252372053944,0.0,41.47017072990391,1.0,besten Drittel
14,14,Sachsen,Sachsen,3.6251510352426233,0.0,9.977344977620067,12.0,schlechtesten Drittel
15,15,Sachsen-Anhalt,Sachsen-Anhalt,7.963332785074313,20.27892053153945,19.124589145214323,7.0,mittleren Drittel
16,16,Thüringen,Thüringen,18.109446844857647,0.0,23.429498788794746,3.0,besten Drittel
17,1001,Flensburg,Schleswig-Holstein,0.0,58.0111798316828,29.882406354957983,2.0,besten Drittel
18,1002,Kiel,Schleswig-Holstein,0.0,100.0,29.882406354957983,2.0,besten Drittel
19,1003,Lübeck,Schleswig-Holstein,0.0,2.0327353551475484,29.882406354957983,2.0,besten Drittel
20,1004,Neumünster,Schleswig-Holstein,0.0,0.1348879214523897,29.882406354957983,2.0,besten Drittel
21,1051,Dithmarschen,Schleswig-Holstein,0.0,37.139414466548665,29.882406354957983,2.0,besten Drittel
22,1053,Herzogtum Lauenburg,Schleswig-Holstein,0.0,25.39813050839915,29.882406354957983,2.0,besten Drittel
23,1054,Nordfriesland,Schleswig-Holstein,0.0,3.14298163262556,29.882406354957983,2.0,besten Drittel
24,1055,Ostholstein,Schleswig-Holstein,0.0,8.492672138939335,29.882406354957983,2.0,besten Drittel
25,1056,Pinneberg,Schleswig-Holstein,0.0,6.427961563195701,29.882406354957983,2.0,besten Drittel
26,1057,Plön,Schleswig-Holstein,0.0,1.1111149168205123,29.882406354957983,2.0,besten Drittel
27,1058,Rendsburg-Eckernförde,Schleswig-Holstein,0.0,11.740605917329008,29.882406354957983,2.0,besten Drittel
28,1059,Schleswig-Flensburg,Schleswig-Holstein,1.638226772852147,13.409037247325688,29.882406354957983,2.0,besten Drittel
29,1060,Segeberg,Schleswig-Holstein,0.0,9.152698118194342,29.882406354957983,2.0,besten Drittel
30,1061,Steinburg,Schleswig-Holstein,0.0,100.0,29.882406354957983,2.0,besten Drittel
31,1062,Stormarn,Schleswig-Holstein,0.0,1.6890592358190433,29.882406354957983,2.0,besten Drittel
32,3101,Braunschweig,Niedersachsen,0.0,1.4115791723593616,22.5073068583383,4.0,besten Drittel
33,3102,Salzgitter,Niedersachsen,0.0,100.0,22.5073068583383,4.0,besten Drittel
34,3103,Wolfsburg,Niedersachsen,0.0,100.0,22.5073068583383,4.0,besten Drittel
35,3151,Gifhorn,Niedersachsen,0.0,2.983880767718646,22.5073068583383,4.0,besten Drittel
36,3153,Goslar,Niedersachsen,0.0,32.21096610378049,22.5073068583383,4.0,besten Drittel
37,3154,Helmstedt,Niedersachsen,0.0,1.800004047051645,22.5073068583383,4.0,besten Drittel
