,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,2.1 Primärenergieverbrauch nach Energieträgern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Energieträger,Einheit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,
,,, Primärenergieverbrauch nach Energieträgern in PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steinkohle,PJ,2306.17200,2329.96900,2195.86900,2138.62400,2139.90300,2059.64200,2089.91800,2065.03300,2058.96400,1967.25100,2021.36000,1948.64600,1926.71300,2009.71100,1909.16100,1807.57100,1964.27800,2017.05500,1800.16500,1496.34700,1714.44000,1714.52500,1725.32000,1839.51600,1759.26000,1728.70600,1693.07300,1502.05100,1428.15600,1084.22600,897.49500,,,,,,,,,,,,,,,,,,,,,,
,Braunkohle,PJ,3200.71400,2506.97400,2176.24000,1982.66300,1861.23900,1734.45600,1687.84500,1595.42900,1514.00500,1472.77600,1550.11800,1633.04000,1662.93900,1639.23700,1647.94200,1595.74700,1575.57400,1612.77800,1554.34600,1507.10600,1511.78000,1564.32300,1644.54700,1628.71900,1573.96200,1565.49500,1510.69300,1507.29600,1480.53900,1162.95800,957.65900,,,,,,,,,,,,,,,,,,,,,,
,Mineralöle,PJ,5227.59100,5546.95600,5628.14000,5745.75900,5692.37300,5688.92600,5808.30100,5753.11400,5775.16700,5598.53800,5498.56600,5577.00200,5381.23600,5286.30900,5214.09100,5165.79000,5120.72600,4625.91500,4903.52000,4635.29600,4683.57000,4524.52500,4526.54500,4627.89900,4492.77200,4491.49900,4566.07900,4671.31500,4451.80100,4511.39400,4086.81600,,,,,,,,,,,,,,,,,,,,,,
,Gase,PJ,2303.94900,2421.95300,2398.13900,2536.12500,2580.42100,2811.98000,3144.99900,3005.31600,3031.18400,3022.10600,2995.56900,3158.27500,3156.98300,3193.99300,3209.25600,3260.79300,3326.48700,3201.30000,3230.80000,3046.58700,3180.89200,2923.37400,2933.22000,3073.54800,2671.68200,2780.63400,3067.55200,3166.58600,3098.63100,3221.86600,3147.46700,,,,,,,,,,,,,,,,,,,,,,
,"Erdgas, Erdölgas",PJ,2292.77900,2409.09400,2381.85700,2520.40800,2566.53800,2798.54500,3131.67600,2991.72100,3019.14100,3010.28700,2985.28500,3148.13500,3143.26000,3181.39100,3197.55800,3250.11800,3312.24800,3190.90300,3222.02300,3039.48400,3170.56500,2910.98600,2919.96200,3059.07600,2660.22100,2770.33000,3055.85100,3158.58500,3090.62600,3214.18900,3136.05000,,,,,,,,,,,,,,,,,,,,,,
,Erneuerbare Energien,PJ,196.42400,197.33500,207.18900,227.83600,252.75200,274.71200,269.81600,344.45200,379.17100,403.38200,416.57400,432.21400,455.47600,560.83400,650.12700,769.37700,938.56300,1116.53400,1147.02500,1201.03200,1413.19500,1462.50600,1384.80900,1498.65600,1518.53900,1643.78400,1676.24500,1797.45900,1802.12000,1904.45300,1961.13900,,,,,,,,,,,,,,,,,,,,,,
,Sonstige Energieträger,PJ,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,56.46200,51.38800,43.41500,138.40400,164.61400,210.99500,156.65000,159.03200,201.64600,224.12000,243.29400,254.80100,230.72600,207.82400,225.78200,223.91100,235.58600,234.51300,214.10500,218.29700,214.30400,,,,,,,,,,,,,,,,,,,,,,
