Land;Jahr;Anm;Insgesamt;"Kl�rgas, Deponiegas";Wasserkraft;Windkraft;Solarenergie;"Biomasse 1)";"Sonstige erneuerbare Energien 2)";Stand
Baden-W�rttemberg;1990;;28213;1932;14113;0;0;12168;0;
Baden-W�rttemberg;1991;;28554;2036;13428;0;0;13090;0;
Baden-W�rttemberg;1992;;29219;2238;15268;0;0;11713;0;
Baden-W�rttemberg;1993;;30326;3164;15197;0;0;11965;0;
Baden-W�rttemberg;1994;;32098;2995;16401;0;0;12702;0;
Baden-W�rttemberg;1995;;31473;3098;17041;0;0;11334;0;
Baden-W�rttemberg;1996;;30216;3734;14587;0;0;11895;0;
Baden-W�rttemberg;1997;;33641;3725;16136;0;0;13780;0;
Baden-W�rttemberg;1998;;32823;4253;13283;67;0;14183;1037;
Baden-W�rttemberg;1999;;35553;4007;15588;137;0;14784;1037;
Baden-W�rttemberg;2000;;43039;4424;21141;192;0;16048;1234;
Baden-W�rttemberg;2001;;48943;6662;18480;400;0;22167;1234;
Baden-W�rttemberg;2002;;42475;4504;18488;744;0;17505;1234;
Baden-W�rttemberg;2003;;71560;3462;14103;844;1610;50331;1210;31.03.2009
Baden-W�rttemberg;2004;;80391;3703;15935;1103;2006;56412;1232;31.03.2009
Baden-W�rttemberg;2005;;97860;3785;17677;1123;2462;71555;1258;31.03.2009
Baden-W�rttemberg;2006;;125943;3547;18671;1424;3393;97644;1264;20.08.2009
Baden-W�rttemberg;2007;;138862;3673;18941;2110;4382;108169;1587;31.08.2009
Baden-W�rttemberg;2008;;141628;3413;16887;2212;5757;110246;3113;15.04.2011
Baden-W�rttemberg;2009;;144194;3199;16093;1962;8231;111506;3203;18.04.2011
Baden-W�rttemberg;2010;;163147.17151567602;3255;18477;1949;10945;124914.171515676;3607;30.07.2013
Baden-W�rttemberg;2011;;149271;2888;15856;2121;16237;108078;4091;12.11.2013
Baden-W�rttemberg;2012;;168533.65689999997;2739.8425;17802.4073;2397.8998;19555.938;120430.6719;5606.8974;16.03.2015
Baden-W�rttemberg;2013;;171161.02999999997;2917.09;20217.25;2399.76;19650.32;119823.31;6153.3;18.03.2016
Baden-W�rttemberg;2014;;171959.90000000002;3013.41;17289.98;2443.45;22278.57;120164.17;6770.32;13.02.2017
Baden-W�rttemberg;2015;;174537.83200540952;3065.743725915283;15481.186554076;2992.674312;23453.820212;122229.93522286288;7314.47197855537;31.01.2018
Baden-W�rttemberg;2016;;183392.95095285316;2999.775704350319;17459.0945111961;4444.678872;22971.686682;127458.79164543233;8058.923537874371;01.02.2019
Baden-W�rttemberg;2017;;185475.95932592955;3031.529380684932;15824.3369144025;7133.693976;23968.030776;126462.78526815787;9055.58301068424;05.03.2020
Baden-W�rttemberg;2018;;195759.28693056054;3030.312711428571;15005.085084;9291.66864875948;25471.3806;133074.73831889167;9886.101567480851;09.03.2021
Baden-W�rttemberg;2019;p);199506.71286208538;2998.043562857143;16261.447506799;10471.9135135135;25564.3107474525;133406.5552588082;10804.442272655;11.03.2021
Baden-W�rttemberg;2020;;;;;;;;;
Bayern;1990;;61349.83756896769;2539;38707.2;0;0;20103.63756896769;0;04.02.2021
Bayern;1991;;56973.7689521922;2793;35349.3606138107;0;0;18831.4083383815;0;04.02.2021
Bayern;1992;;63259.38127513779;2888;41464.8;0;0;18906.58127513779;0;04.02.2021
Bayern;1993;;65039.9201371678;2831;43596;0;0;18612.9201371678;0;04.02.2021
Bayern;1994;;68275.4;2673;44114.4;0;0;21488;0;04.02.2021
Bayern;1995;;108068.6;3125;47205;0;0;55027.6;2711;04.02.2021
Bayern;1996;;105929.4;3487;42858;0;0;56243.4;3341;12.10.2016
Bayern;1997;;106513.57587164649;3646;41903;0;0;56762.8;4201.77587164649;12.10.2016
Bayern;1998;;110107.01117379172;3089.8293737917243;44372.3544;270;586.4;60628.42739999999;1160;12.10.2016
Bayern;1999;;120086.73153518279;2573.8098499933203;49907.56896;330;1001.4;65023.95272518948;1250;27.09.2001
Bayern;2000;;129444.86387730992;2874.74733330991;50917.81104;412;1255.3;72658.005504;1327;08.12.2002
Bayern;2001;;133220.66827140778;2882.09650340778;51034.463568;485;1387;75694.1082;1738;28.11.2003
Bayern;2002;;145946.97346059722;2854.96698059724;57166.72848;473.2704;2942.9304;80744.07720000001;1765;10.01.2005
Bayern;2003;;138729.98598372898;2946.69370372898;43074.44928;606.6432;2988.0502;87256.88960000001;1857.2599999999998;29.11.2006
