Land;Jahr;Anm;Insgesamt;Steinkohle;Braunkohle;"Mineral�le und Mineral�l produkte";Gase;"Erneuerbare Energietr�ger";Stromaustauschsaldo;Kernenergie;"Andere Energietr�ger";Stand
Baden-W�rttemberg;1990;;1429676;188734;5340;655003;185624;28213;10303;351024;5435;
Baden-W�rttemberg;1991;;1514777;194749;5923;699708;199555;28554;10678;370623;4987;
Baden-W�rttemberg;1992;;1528019;181301;5170;705464;201968;29219;9263;390061;5573;
Baden-W�rttemberg;1993;;1551559;178379;5292;721825;211775;30326;13720;384419;5823;
Baden-W�rttemberg;1994;;1514465;162678;5112;680846;201302;32098;9748;417446;5235;
Baden-W�rttemberg;1995;;1555861;190934;4027;680115;228087;31473;6192;410464;4569;
Baden-W�rttemberg;1996;;1622552;200211;4147;701901;250587;30216;875;430501;4114;
Baden-W�rttemberg;1997;;1579913;184229;4173;679800;241638;33641;7564;423776;5092;
Baden-W�rttemberg;1998;;1601213;200029;3208;682876;244557;32823;3830;428012;5878;
Baden-W�rttemberg;1999;;1583922;184088;2785;662664;254619;35553;8136;430045;6032;
Baden-W�rttemberg;2000;;1560553;174893;3344;639309;248556;43039;17388;427686;6338;
Baden-W�rttemberg;2001;;1616065;208471;2945;662545;246049;48943;31936;408747;6429;
Baden-W�rttemberg;2002;;1588200;206606;1997;631599;246112;42475;26126;422739;10546;
Baden-W�rttemberg;2003;;1635563;194825;3094;604538;275506;71560;44868;433466;7706;31.03.2009
Baden-W�rttemberg;2004;;1614521;194234;4229;585194;283431;80391;45479;412854;8709;31.03.2009
Baden-W�rttemberg;2005;;1657113;213530;3722;589816;310067;97860;35247;396574;10297;31.03.2009
Baden-W�rttemberg;2006;;1702956;212263;4421;606326;304218;125943;34820;403409;11556;20.08.2009
Baden-W�rttemberg;2007;;1601892;199868;4462;524035;296265;138862;38442;385679;14279;31.08.2009
Baden-W�rttemberg;2008;;1625572;183590;4087;572854;296724;141628;50857;363908;11924;15.04.2011
Baden-W�rttemberg;2009;;1545594;154097;3860;533521;271185;144194;50270;374969;13498;18.04.2011
Baden-W�rttemberg;2010;;1548074.13076538;167927;4243.27332;523033;273081.685929704;163147.17151567602;55563;345483;15596;30.07.2013
Baden-W�rttemberg;2011;;1434738;159631;5829;508823;254975;149271;61011;281581;13617;12.11.2013
Baden-W�rttemberg;2012;;1392815.2689;164174.3596;5333.8243999999995;495300.8438;241401.0365;168533.65689999997;63760.4041;238967.6727;15343.4709;16.03.2015
Baden-W�rttemberg;2013;;1445477.39;196581.39;4725.93;510545.12000000005;270624.11;171161.02999999997;55267.35;219493.53;17078.91;18.03.2016
Baden-W�rttemberg;2014;;1388732.54;171724.31;4404.57;493829.1300000001;245672.45;171959.90000000002;47451.39;235657.61;18033.190495;13.02.2017
Baden-W�rttemberg;2015;;1418188.63499017;173224.926652;4567.00008333;500910.3339129928;262382.575879414;174537.83200540952;39266.6664279346;245638.090909091;17661.20912;31.01.2018
Baden-W�rttemberg;2016;;1451615.27598475;173085.897586;5319.26969141;517474.7997940395;275908.372731606;183392.95095285316;41634.9434456594;236844.676363636;17954.365419550002;01.02.2019
Baden-W�rttemberg;2017;;1425912.85073692;164258.55392;5643.5590590500005;525363.2273045437;284096.31251871097;185475.95932592955;42299.6357418694;200668.658181818;18106.944685000002;05.03.2020
Baden-W�rttemberg;2018;;1406900.19145775;160832.210544576;7233.821838716909;492200.69737563975;270483.77863849915;195759.28693056054;37556.5326604842;225789.152727273;17044.710742000003;09.03.2021
Baden-W�rttemberg;2019;p);1407893.14565698;111994.58499999999;6544.95957874343;513591.1809239841;276542.39273954136;199506.71286208538;53712.8292929922;229284.076363636;16716.408896;11.03.2021
Baden-W�rttemberg;2020;;;;;;;;;;;
Bayern;1990;;1785107.85223487;96123.4507871182;48348.138407385246;863904.9818592411;270454.531098771;61349.83756896769;-7992.60344168261;448309.090909091;4610.42504597846;04.02.2021
Bayern;1991;;1879723.42612326;99844.0138007671;43003.7224223632;909641.5090636439;285420.897234459;56973.7689521922;-9384.00000000003;489855.909090909;4367.605558921;04.02.2021
Bayern;1992;;1863576.53820515;96646.2802547771;43716.30044843002;900435.9955156951;274838.162891326;63259.38127513779;-4719;484636.363636364;4763.0541834252;04.02.2021
Bayern;1993;;1884424.54179464;98643.2162162162;41975.62162162149;934479.125;277804.112061522;65039.9201371678;2046.6;459480;4955.94675811186;04.02.2021
Bayern;1994;;1876089.6;93400;40978.392;920265;270655;68275.4;-2134.8;479520;5130;04.02.2021
Bayern;1995;;1952962;99276;34393.182;903094;296876;108068.6;-8130;510636;8748.4;04.02.2021
Bayern;1996;;2020547;109470;38526.193;934503;318388;105929.4;-6570;511289;9011.6;12.10.2016
Bayern;1997;;2008185.77587165;103846;36527.699994500006;929090;307333;106513.57587164649;-4986;520184;9679.2;12.10.2016
Bayern;1998;;2043130.01474407;102708.5923588632;41569.4534306;959293.0879874997;309700.1416271178;110107.01117379172;-5829.0552;515434.148316;10145.7516;12.10.2016
Bayern;1999;;2027316.75667465;97141.1008519817;36049.557682860366;925516.0745480949;326747.06902739377;120086.73153518279;-8961.0048;519402.111613;11335.3488;27.09.2001
Bayern;2000;;2037323.61733267;96072.2021666088;35300.74841559798;907298.206962;324848.8068257614;129444.86387730992;-8429.0364;540772.362617;12015.7736;08.12.2002
Bayern;2001;;2089719.96204172;79334.29168791609;37964.67693739515;924964.5945600001;346356.570328994;133220.66827140778;2321.02144940084;553990.11065;11568.3388;28.11.2003
Bayern;2002;;2027273.16777856;66933.4541406431;24888.300547840096;876800.6914930001;341133.178564457;145946.97346059722;-5986.06630337423;565204.99901;12351.6392;10.01.2005
Bayern;2003;;2002229.52880912;68300.89829699999;9493.347763530945;864592.5655059998;362099.24353506445;138729.98598372898;-12499.1763034054;558454.117086;13058.545999999998;29.11.2006
Bayern;2004;;2003840.01621897;64307.860968999994;4654.0378382;859150.885272;371004.254465231;145225.3926586419;-705.27271230011;541789.877774;18412.9804;28.09.2019
Bayern;2005;;2008059.38924066;57032.967463;5294.651410286257;846742.409413257;366955.336373695;161614.06838860028;-8030.18678868576;560421.784325;18029.088391999998;26.10.2009
Bayern;2006;;2075051.2143986;51611.716583999994;6056.757849005622;867956.3784289528;384593.688480202;190028.55811960038;-1793.85320131062;557684.9376777;18913.193738;18.11.2009
Bayern;2007;;1977854.78808245;59600.0057644;6585.278069343207;767341.4139576049;366545.526272541;206331.15480136054;-7407.86250359527;560250.8206588;18608.451061999996;30.11.2009
Bayern;2008;;2039701.7644462;58673.965554;6575.221719935142;807865.5191031297;385091.660797292;206977.89295662788;-919.831828133452;555152.8987782;20284.2710491524;29.04.2013
Bayern;2009;;2004322.3842866;53790.155671;6694.574633;777367.5367272628;374994.909119464;214681.9753990594;-18135.7193275632;566947.6484878;27981.303576573035;04.02.2021
Bayern;2010;;2081418.699;51614.612617;8807.476707;784598.5769888003;428416.7938915;269358.82179099997;-7011.3839054;516843.6554791;28789.857747199996;04.02.2021
Bayern;2011;;2037593;52220;9425;758867;412919;288426;9508;477372;28856;07.03.2017
Bayern;2012;;1989896.01724454;56545.334306000004;9109.829146;723741.284350954;409429.464418107;307829.2296983504;-27205.7203511066;476327.02588413;34119.5697921037;30.12.2015
Bayern;2013;;2002800.75;58064.08788;9435.960210000001;741871.423871;385746.6314;319169.620085;-20107.30797;468448.1297;40172.23068;21.21.2015
Bayern;2014;;1931844.931;52445.74522;8484.784642999999;719228.815419;351291.3628;314707.12540160003;-18274.89694;462740.9871;41221.00703;21.11.2018
Bayern;2015;;1934442.827;53000.82225999999;8624.664352;731482.3155754;375496.0512;330370.79217470007;-5988.710091;400236.3738;41220.51764;21.11.2018
Bayern;2016;;1936862.811;49939.13939;10368.892328999998;742274.99130714;396508.8991;346265.68420623004;7179.341243;342574.9997;41750.86320000001;21.11.2018
Bayern;2017;;1945969.972;47440.62652;11568.78656054;741778.71117;412602.79907;359518.41988499;-1622.4769;339739.467;34943.638430000006;21.11.2019
Bayern;2018;;1830783.42;37497.36561;11215.57947684;688118.3062651001;418959.0438;360560.92744056997;46006.00117;245338.4107;23087.785999999996;04.02.2021
Bayern;2019;;1866903.645;35365.820999999996;10830.29048158;729928.4107746;410639.3535;375733.63185013994;34324.62573;244564.9636;25516.5482;14.01.2022
Bayern;2020;;;;;;;;;;;
Berlin;1990;;356207.653228;82829;47961;150757;58873.253228;2251.4;12632.4;0;903.6;10.03.2022
Berlin;1991;;374152.52;92928;31076;167072;69842;2578;9164.52;0;1492;10.03.2022
Berlin;1992;;339349.6068;91427;27226;137920;69001;2522.8;9763.6068;0;1489.2;10.03.2022
Berlin;1993;;357565.0208;92926;26160;156486;68693;2117.2;9944.0208;0;1238.8;10.03.2022
Berlin;1994;;345819.1556;89281;25482;151460;65461;2153.4;10720.1556;0;1261.6;10.03.2022
Berlin;1995;;339262.001397901;83882;18226;152443;68477.0013979012;1837.8;13311;0;1085.2;10.03.2022
Berlin;1996;;347934.64594993;83823;12107;156695;78990.6459499304;1678.8;13657;0;983.2;10.03.2022
Berlin;1997;;325627.997297629;85761;13847;143811;68551.9972976293;1305;11608;0;744;10.03.2022
Berlin;1998;;317928.488678849;84566.364737;12535.268289;137421.321;68108.7058634487;1921.1598374;12241.1304;0;1134.538552;10.03.2022
Berlin;1999;;334726.374023206;81805.275587;12600.702751;138869.099769;84946.9711450055;2140.8879712;13059.6768;0;1303.76;10.03.2022
Berlin;2000;;331517.934060633;83967.54834200001;13072.363503999999;132802.231;85638.9310914332;2454.7493231999997;12060.0468;0;1522.064;10.03.2022
Berlin;2001;;347727.666341666;71817.48938199999;14052.672252;141259.600287;100350.395545266;2242.332075400003;16613.4888;0;1391.688;10.03.2022
Berlin;2002;;322289.382687082;49518.340042;13410.153833999999;130351.43176600001;101923.580418482;2242.5070266;23451.6816;0;1391.688;10.03.2022
Berlin;2003;;317687.055348934;49205.75832;13107.851200000001;127101.5350084;106496.146620534;2367.1286;18166.1328;0;1242.5028;10.03.2022
Berlin;2004;;306615.369720446;43825.071276;13827.185762;118023.492115897;106879.895902549;3211.3866;19577.739564;0;1270.5985;10.03.2022
Berlin;2005;;299067.624091124;47843.87083;13240.381526;114814.72333999;103018.599143134;3713.416052;15544.962;0;891.6712;10.03.2022
Berlin;2006;;304874.916226977;45233.453566000004;12056.174191;120295.5882005831;101504.650469394;5406.7002;19294.038;0;1084.3116;10.03.2022
Berlin;2007;;271331.901339704;43902.137861;12545.800027000001;95197.20992859417;92485.5937881096;6247.365735;19913.8356;0;1039.9584;10.03.2022
Berlin;2008;;287334.524482265;42900.50464;12956.410488000001;107926.06043454798;94798.0118;6398.7361123;19615.5828;0;2738.971;10.03.2022
Berlin;2009;;283301.553979452;38054.237349;13116.049422;99170.97280013781;103253.764821264;8301.72238830359;18289.451844;0;3115.02;10.03.2022
