,Jahr,Steinkohle,Braunkohle,Mineralöle und Mineralöl produkte,Gase,Stromaustauschsaldo,Kernenergie,Andere Energieträger,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse 1),Sonstige erneuerbare Energien 2)
62,1990,82829.0,47961.0,150757.0,58873.253228,12632.4,0.0,903.6,572.0,0.0,0.0,0.0,1679.4,0.0
63,1991,92928.0,31076.0,167072.0,69842.0,9164.52,0.0,1492.0,263.0,0.0,0.0,0.0,2315.0,0.0
64,1992,91427.0,27226.0,137920.0,69001.0,9763.6068,0.0,1489.2,215.0,0.0,0.0,0.0,2307.8,0.0
65,1993,92926.0,26160.0,156486.0,68693.0,9944.0208,0.0,1238.8,215.0,0.0,0.0,0.0,1902.2,0.0
66,1994,89281.0,25482.0,151460.0,65461.0,10720.1556,0.0,1261.6,217.0,0.0,0.0,0.0,1936.4,0.0
67,1995,83882.0,18226.0,152443.0,68477.0013979012,13311.0,0.0,1085.2,193.0,0.0,0.0,0.0,1644.8,0.0
68,1996,83823.0,12107.0,156695.0,78990.6459499304,13657.0,0.0,983.2,165.0,0.0,0.0,0.0,1513.8,0.0
69,1997,85761.0,13847.0,143811.0,68551.9972976293,11608.0,0.0,744.0,141.0,0.0,0.0,0.0,1164.0,0.0
70,1998,84566.364737,12535.268289,137421.321,68108.7058634487,12241.1304,0.0,1134.538552,161.6724,0.0,0.0,0.0,1759.4874374,0.0
71,1999,81805.275587,12600.702751,138869.099769,84946.9711450055,13059.6768,0.0,1303.76,141.0984,0.0,0.0,0.0,1999.7895712,0.0
72,2000,83967.54834200001,13072.363504,132802.231,85638.9310914332,12060.0468,0.0,1522.064,139.4028,0.0,0.0,0.0,2315.3465232,0.0
73,2001,71817.48938199999,14052.672252,141259.600287,100350.395545266,16613.4888,0.0,1391.688,123.134246800003,0.0,0.0,0.0,2119.1978286,0.0
74,2002,49518.340042,13410.153834,130351.431766,101923.580418482,23451.6816,0.0,1391.688,124.2324,0.0,0.0,0.0,2118.2746266,0.0
75,2003,49205.75832,13107.8512,127101.5350084,106496.146620534,18166.1328,0.0,1242.5028,1.6884,0.0,0.0,7.2,2296.2266,62.0136
76,2004,43825.071276,13827.185762,118023.492115897,106879.895902549,19577.739564,0.0,1270.5985,0.0,0.0,0.0,44.1936,3104.0418,63.1512
77,2005,47843.87083,13240.381526,114814.72333999,103018.599143134,15544.962,0.0,891.6712,0.0,0.0,0.0,65.6064,3419.985128,227.824524
78,2006,45233.453566,12056.174191,120295.5882005831,101504.650469394,19294.038,0.0,1084.3116,0.0,0.0,0.0,69.0192,5267.881,69.8
79,2007,43902.137861,12545.800027,95197.20992859417,92485.5937881096,19913.8356,0.0,1039.9584,144.308,0.0,0.0,73.3752,5927.082535,102.6
80,2008,42900.50464,12956.410488,107926.06043454798,94798.0118,19615.5828,0.0,2738.971,146.548,0.0,8.2188,85.752,5914.6173123,243.6
81,2009,38054.237349,13116.049422,99170.9728001378,103253.764821264,18289.451844,0.0,3115.02,136.172,0.0,18.8352,111.276,7784.83918830359,250.6
82,2010,45085.297808,14363.962242,101631.7936136644,113941.701588197,22481.034772,0.0,2089.151925,26.065,0.0,17.2279942868802,159.177492,7093.79259672119,2380.551925
83,2011,38499.004138,12473.208336,92296.22422044098,98430.9354029662,23418.651588,0.0,2234.34155,27.327,0.0,20.972497468098,240.393528,6592.08014861976,2556.33955
84,2012,36266.968188,13085.293506999998,98112.7713523813,96274.1780821307,24027.490336,0.0,2042.4527,26.101,0.0,19.2527853881279,280.302696,7789.47971061868,2445.5527
85,2013,40535.29703,12018.319201,101017.5254004575,98889.518482951,22922.005332,0.0,2285.24843,22.735,0.0,17.9688197621226,279.351216,8287.112545767,2723.78742
86,2014,43245.313974,12274.44067,98976.18719709932,80313.0948547368,23461.84564,0.0,2323.68942,18.31,0.0,21.4707430309174,315.934992,8081.33537046495,2800.78942
87,2015,39810.263,12172.618549,96020.76701156028,79417.7204728783,24300.198908,0.0,2075.91365,24.298,0.0,43.8103919781222,329.9112,10278.8651223611,523.429370660568
88,2016,36894.364,12411.651958000002,97315.1478746905,88557.4769111738,23385.53928,0.0,2337.306725,18.669,0.0,69.8374298827129,328.734,10263.448334528995,540.785264530825
89,2017,37166.84717,6046.699191780001,96234.47056484807,94794.0131218502,22297.601252,0.0,2447.4555,16.516,0.0,100.3464,328.1976,10522.153944259284,602.423994989276
90,2018,30493.983,553.217558615,93864.77500681917,100536.003418255,24566.8716684,0.0,2560.676,13.437,0.0,102.286754191693,423.345,12744.499457679458,644.918881832606
91,2019,20744.094,445.35781876,94044.28813547868,104747.783450527,26389.4152828,0.0,3140.1445,271.253150684931,0.0,106.822549517522,389.9114,13346.1705876232,681.423825742315
92,2020,22229.209,551.107648,72461.84568930061,104811.555017771,20580.5116476,0.0,2481.757,13.4,0.0,100.642762823768,465.9624,13207.892664856696,729.6
