,Jahr,2008.0,2012.0,2016.0,2020.0
1,Steinkohle,168509.713136565,169490.21522349,167132.841647,108414.96968
2,Braunkohle,27133.8790456,27539.13393332353,22490.693623102103,22490.693623102103
3,Mineralöle und Mineralöl produkte,389202.44858048495,353754.4184372791,334931.0015040068,333818.21374299994
4,Gase,407770.93245309097,359418.121841115,411978.4353559,406303.1166
5,Kernenergie,351698.36061045,252249.0295436,218372.3485789,218372.3485789
6,Andere Energieträger,17096.42789301559,13055.83537,15394.85611,15394.85611
7,"Klärgas, Deponiegas",2352.162780135831,2003.848566849315,1865.009,1845.5974286
8,Wasserkraft,1044.0409104,966.412206,962.0784,962.0784
9,Windkraft,38813.7078473781,46369.3978189846,70940.8899059689,134589.0816
10,Solarenergie,1596.000608,11099.622888,12879.792,15731.9492
11,Biomasse 1),113141.82263914816,144091.90662420547,146258.43645997957,141200.26426
12,Sonstige erneuerbare Energien 2),1215.2,1866.89094520737,2606.66838964395,3718.285685
