,Jahr,variable,value
0,1990,Steinkohle,82829.0
1,1991,Steinkohle,92928.0
2,1992,Steinkohle,91427.0
3,1993,Steinkohle,92926.0
4,1994,Steinkohle,89281.0
5,1995,Steinkohle,83882.0
6,1996,Steinkohle,83823.0
7,1997,Steinkohle,85761.0
8,1998,Steinkohle,84566.364737
9,1999,Steinkohle,81805.275587
10,2000,Steinkohle,83967.54834200001
11,2001,Steinkohle,71817.48938199999
12,2002,Steinkohle,49518.340042
13,2003,Steinkohle,49205.75832
14,2004,Steinkohle,43825.071276
15,2005,Steinkohle,47843.87083
16,2006,Steinkohle,45233.453566
17,2007,Steinkohle,43902.137861
18,2008,Steinkohle,42900.50464
19,2009,Steinkohle,38054.237349
20,2010,Steinkohle,45085.297808
21,2011,Steinkohle,38499.004138
22,2012,Steinkohle,36266.968188
23,2013,Steinkohle,40535.29703
24,2014,Steinkohle,43245.313974
25,2015,Steinkohle,39810.263
26,2016,Steinkohle,36894.364
27,2017,Steinkohle,37166.84717
28,2018,Steinkohle,30493.983
29,2019,Steinkohle,20744.094
30,2020,Steinkohle,22229.209
31,1990,Braunkohle,47961.0
32,1991,Braunkohle,31076.0
33,1992,Braunkohle,27226.0
34,1993,Braunkohle,26160.0
35,1994,Braunkohle,25482.0
36,1995,Braunkohle,18226.0
37,1996,Braunkohle,12107.0
38,1997,Braunkohle,13847.0
39,1998,Braunkohle,12535.268289
40,1999,Braunkohle,12600.702751
41,2000,Braunkohle,13072.363504
42,2001,Braunkohle,14052.672252
43,2002,Braunkohle,13410.153834
44,2003,Braunkohle,13107.8512
45,2004,Braunkohle,13827.185762
46,2005,Braunkohle,13240.381526
47,2006,Braunkohle,12056.174191
48,2007,Braunkohle,12545.800027
49,2008,Braunkohle,12956.410488
50,2009,Braunkohle,13116.049422
51,2010,Braunkohle,14363.962242
52,2011,Braunkohle,12473.208336
53,2012,Braunkohle,13085.293506999998
54,2013,Braunkohle,12018.319201
55,2014,Braunkohle,12274.44067
