,AGS,Name,energy_rank,energy_third,mobility_rank,mobility_third,agriculture_rank,agriculture_third,buildings_rank,buildings_third,waste_rank,waste_third,cumulative_rank
385,15084,Burgenlandkreis,7.0,mittleren Drittel,110,besten Drittel,81.0,besten Drittel,12,besten Drittel,112.0,besten Drittel,322.0
174,7311,Frankenthal (Pfalz),8.0,mittleren Drittel,79,besten Drittel,,,243,mittleren Drittel,26.0,besten Drittel,356.0
263,9263,Straubing,6.0,mittleren Drittel,116,besten Drittel,16.0,besten Drittel,190,mittleren Drittel,45.0,besten Drittel,373.0
169,7211,Trier,8.0,mittleren Drittel,30,besten Drittel,73.0,besten Drittel,280,schlechtesten Drittel,30.0,besten Drittel,421.0
390,15089,Salzlandkreis,7.0,mittleren Drittel,93,besten Drittel,35.0,besten Drittel,151,mittleren Drittel,145.0,mittleren Drittel,431.0
340,12051,Brandenburg an der Havel,5.0,besten Drittel,28,besten Drittel,15.0,besten Drittel,292,schlechtesten Drittel,106.0,besten Drittel,446.0
308,9661,Aschaffenburg,6.0,mittleren Drittel,150,mittleren Drittel,126.0,besten Drittel,19,besten Drittel,147.0,mittleren Drittel,448.0
184,7331,Alzey-Worms,8.0,mittleren Drittel,313,schlechtesten Drittel,,,63,besten Drittel,75.0,besten Drittel,459.0
383,15082,Anhalt-Bitterfeld,7.0,mittleren Drittel,135,mittleren Drittel,203.0,mittleren Drittel,42,besten Drittel,76.0,besten Drittel,463.0
163,7135,Cochem-Zell,8.0,mittleren Drittel,351,schlechtesten Drittel,77.0,besten Drittel,10,besten Drittel,23.0,besten Drittel,469.0
138,6433,Groß-Gerau,10.0,mittleren Drittel,95,besten Drittel,32.0,besten Drittel,221,mittleren Drittel,118.0,besten Drittel,476.0
387,15086,Jerichower Land,7.0,mittleren Drittel,176,mittleren Drittel,178.0,mittleren Drittel,81,besten Drittel,44.0,besten Drittel,486.0
158,7111,Koblenz,8.0,mittleren Drittel,94,besten Drittel,36.0,besten Drittel,11,besten Drittel,353.0,schlechtesten Drittel,502.0
319,9679,Landkreis Würzburg,6.0,mittleren Drittel,295,schlechtesten Drittel,75.0,besten Drittel,43,besten Drittel,84.0,besten Drittel,503.0
144,6439,Rheingau-Taunus-Kreis,10.0,mittleren Drittel,302,schlechtesten Drittel,57.0,besten Drittel,66,besten Drittel,80.0,besten Drittel,515.0
164,7137,Mayen-Koblenz,8.0,mittleren Drittel,283,schlechtesten Drittel,85.0,besten Drittel,124,besten Drittel,24.0,besten Drittel,524.0
379,15001,Dessau-Rolau,7.0,mittleren Drittel,63,besten Drittel,45.0,besten Drittel,260,mittleren Drittel,149.0,mittleren Drittel,524.0
210,8216,Rastatt,9.0,mittleren Drittel,307,schlechtesten Drittel,41.0,besten Drittel,137,mittleren Drittel,34.0,besten Drittel,528.0
162,7134,Birkenfeld,8.0,mittleren Drittel,281,schlechtesten Drittel,187.0,mittleren Drittel,46,besten Drittel,8.0,besten Drittel,530.0
186,7333,Donnersbergkreis,8.0,mittleren Drittel,333,schlechtesten Drittel,42.0,besten Drittel,125,besten Drittel,22.0,besten Drittel,530.0
44,3252,Hameln-Pyrmont,4.0,besten Drittel,204,mittleren Drittel,86.0,besten Drittel,224,mittleren Drittel,13.0,besten Drittel,531.0
208,8212,Karlsruhe,9.0,mittleren Drittel,19,besten Drittel,37.0,besten Drittel,264,mittleren Drittel,204.0,mittleren Drittel,533.0
192,7339,Mainz-Bingen,8.0,mittleren Drittel,338,schlechtesten Drittel,10.0,besten Drittel,106,besten Drittel,72.0,besten Drittel,534.0
403,16065,Kyffhäuserkreis,3.0,besten Drittel,159,mittleren Drittel,38.0,besten Drittel,203,mittleren Drittel,133.0,besten Drittel,536.0
397,16055,Weimar,3.0,besten Drittel,29,besten Drittel,20.0,besten Drittel,201,mittleren Drittel,284.0,schlechtesten Drittel,537.0
213,8225,Neckar-Odenwald-Kreis,9.0,mittleren Drittel,323,schlechtesten Drittel,151.0,mittleren Drittel,14,besten Drittel,41.0,besten Drittel,538.0
318,9678,Landkreis Schweinfurt,6.0,mittleren Drittel,356,schlechtesten Drittel,72.0,besten Drittel,30,besten Drittel,78.0,besten Drittel,542.0
137,6432,Darmstadt-Dieburg,10.0,mittleren Drittel,257,mittleren Drittel,145.0,mittleren Drittel,61,besten Drittel,73.0,besten Drittel,546.0
246,9176,Eichstätt,6.0,mittleren Drittel,251,mittleren Drittel,118.0,besten Drittel,58,besten Drittel,113.0,besten Drittel,546.0
173,7235,Trier-Saarburg,8.0,mittleren Drittel,328,schlechtesten Drittel,179.0,mittleren Drittel,4,besten Drittel,30.0,besten Drittel,549.0
220,8315,Breisgau-Hochschwarzwald,9.0,mittleren Drittel,155,mittleren Drittel,170.0,mittleren Drittel,88,besten Drittel,128.0,besten Drittel,550.0
393,16051,Erfurt,3.0,besten Drittel,17,besten Drittel,26.0,besten Drittel,333,schlechtesten Drittel,172.0,mittleren Drittel,551.0
200,8121,Heilbronn,9.0,mittleren Drittel,73,besten Drittel,7.0,besten Drittel,274,schlechtesten Drittel,189.0,mittleren Drittel,552.0
