,AGS,Gerics_Name,Gerics_Bundesland
0,5124,Wuppertal,Nordrhein-Westfalen
1,16073,Saalfeld-Rudolstadt,Thüringen
2,16072,Sonneberg,Thüringen
3,16071,Weimarer Land,Thüringen
4,16070,Ilm-Kreis,Thüringen
5,16077,Altenburger Land,Thüringen
6,16076,Greiz,Thüringen
7,16075,Saale-Orla-Kreis,Thüringen
8,16074,Saale-Holzland-Kreis,Thüringen
9,5512,Bottrop,Nordrhein-Westfalen
10,15001,Dessau-Rolau,Sachsen-Anhalt
11,9761,Augsburg,Bayern
12,16053,Jena,Thüringen
13,9161,Ingolstadt,Bayern
14,12068,Ostprignitz-Ruppin,Brandenburg
15,6437,Odenwaldkreis,Hessen
16,6434,Hochtaunuskreis,Hessen
17,6435,Main-Kinzig-Kreis,Hessen
18,6432,Darmstadt-Dieburg,Hessen
19,6433,Groß-Gerau,Hessen
20,6431,Bergstraße,Hessen
21,12060,Barnim,Brandenburg
22,12061,Dahme-Spreewald,Brandenburg
23,12062,Elbe-Elster,Brandenburg
24,12063,Havelland,Brandenburg
25,12064,Märkisch-Oderland,Brandenburg
26,12065,Oberhavel,Brandenburg
27,12066,Oberspreewald-Lausitz,Brandenburg
28,6439,Rheingau-Taunus-Kreis,Hessen
29,9564,Nürnberg,Bayern
30,8337,Waldshut,Baden-Württemberg
31,8336,Lörrach,Baden-Württemberg
32,8335,Konstanz,Baden-Württemberg
33,13004,Schwerin,Mecklenburg-Vorpommern
34,3405,Wilhelmshaven,Niedersachsen
35,9561,Ansbach,Bayern
36,7111,Koblenz,Rheinland-Pfalz
37,8426,Biberach,Baden-Württemberg
38,8425,Alb-Donau-Kreis,Baden-Württemberg
39,8325,Rottweil,Baden-Württemberg
40,8326,Schwarzwald-Baar-Kreis,Baden-Württemberg
41,8327,Tuttlingen,Baden-Württemberg
42,9462,Bayreuth,Bayern
43,3251,Diepholz,Niedersachsen
44,7137,Mayen-Koblenz,Rheinland-Pfalz
45,3255,Holzminden,Niedersachsen
46,3254,Hildesheim,Niedersachsen
47,3257,Schaumburg,Niedersachsen
48,3256,Nienburg (Weser),Niedersachsen
49,14523,Vogtlandkreis,Sachsen
50,14522,Mittelsachsen,Sachsen
51,14521,Erzgebirgskreis,Sachsen
52,11000,Berlin,Berlin
53,14524,Zwickau,Sachsen
54,9565,Schwabach,Bayern
55,3101,Braunschweig,Niedersachsen
56,9464,Hof,Bayern
57,7312,Kaiserslautern,Rheinland-Pfalz
58,9162,München,Bayern
59,12052,Cottbus,Brandenburg
60,5911,Bochum,Nordrhein-Westfalen
61,14625,Bautzen,Sachsen
62,14626,Görlitz,Sachsen
63,14627,Meißen,Sachsen
64,9361,Amberg,Bayern
65,14628,Sächsische Schweiz-Osterzgebirge,Sachsen
66,8116,Esslingen,Baden-Württemberg
67,8115,Böblingen,Baden-Württemberg
68,16056,Eisenach,Thüringen
69,5358,Düren,Nordrhein-Westfalen
70,7314,Ludwigshafen am Rhein,Rheinland-Pfalz
71,9262,Passau,Bayern
72,15003,Magdeburg,Sachsen-Anhalt
73,9263,Straubing,Bayern
74,9463,Coburg,Bayern
75,5112,Duisburg,Nordrhein-Westfalen
76,4011,Bremen,Bremen
77,3401,Delmenhorst,Niedersachsen
78,12054,Potsdam,Brandenburg
79,3453,Cloppenburg,Niedersachsen
80,3452,Aurich,Niedersachsen
81,3451,Ammerland,Niedersachsen
82,3457,Leer,Niedersachsen
83,3456,Grafschaft Bentheim,Niedersachsen
84,3455,Friesland,Niedersachsen
85,3454,Emsland,Niedersachsen
86,3459,Osnabrück,Niedersachsen
87,3458,Oldenburg,Niedersachsen
88,5558,Coesfeld,Nordrhein-Westfalen
89,12069,Potsdam-Mittelmark,Brandenburg
90,9178,Freising,Bayern
91,9179,Fürstenfeldbruck,Bayern
92,5770,Minden-Lübbecke,Nordrhein-Westfalen
93,9177,Erding,Bayern
94,9174,Dachau,Bayern
95,9175,Ebersberg,Bayern
96,5774,Paderborn,Nordrhein-Westfalen
97,9173,Bad Tölz-Wolfratshausen,Bayern
98,9171,Altötting,Bayern
