AGS,Name,mobility_cartype_density_Insgesamt_1996,mobility_cartype_density_Insgesamt_1997,mobility_cartype_density_Insgesamt_1998,mobility_cartype_density_Insgesamt_1999,mobility_cartype_density_Insgesamt_2000,mobility_cartype_density_Insgesamt_2001,mobility_cartype_density_Insgesamt_2002,mobility_cartype_density_Insgesamt_2003,mobility_cartype_density_Insgesamt_2004,mobility_cartype_density_Insgesamt_2005,mobility_cartype_density_Insgesamt_2006,mobility_cartype_density_Insgesamt_2007,mobility_cartype_density_Insgesamt_2008,mobility_cartype_density_Insgesamt_2009,mobility_cartype_density_Insgesamt_2010,mobility_cartype_density_Insgesamt_2011,mobility_cartype_density_Insgesamt_2012,mobility_cartype_density_Insgesamt_2013,mobility_cartype_density_Insgesamt_2014,mobility_cartype_density_Insgesamt_2015,mobility_cartype_density_Insgesamt_2016,mobility_cartype_density_Insgesamt_2017,mobility_cartype_density_Insgesamt_2018,mobility_cartype_density_Insgesamt_2019,mobility_cartype_density_Insgesamt_2020,mobility_cartype_density_Krafträder_1996,mobility_cartype_density_Krafträder_1997,mobility_cartype_density_Krafträder_1998,mobility_cartype_density_Krafträder_1999,mobility_cartype_density_Krafträder_2000,mobility_cartype_density_Krafträder_2001,mobility_cartype_density_Krafträder_2002,mobility_cartype_density_Krafträder_2003,mobility_cartype_density_Krafträder_2004,mobility_cartype_density_Krafträder_2005,mobility_cartype_density_Krafträder_2006,mobility_cartype_density_Krafträder_2007,mobility_cartype_density_Krafträder_2008,mobility_cartype_density_Krafträder_2009,mobility_cartype_density_Krafträder_2010,mobility_cartype_density_Krafträder_2011,mobility_cartype_density_Krafträder_2012,mobility_cartype_density_Krafträder_2013,mobility_cartype_density_Krafträder_2014,mobility_cartype_density_Krafträder_2015,mobility_cartype_density_Krafträder_2016,mobility_cartype_density_Krafträder_2017,mobility_cartype_density_Krafträder_2018,mobility_cartype_density_Krafträder_2019,mobility_cartype_density_Krafträder_2020,mobility_cartype_density_Lkw_1996,mobility_cartype_density_Lkw_1997,mobility_cartype_density_Lkw_1998,mobility_cartype_density_Lkw_1999,mobility_cartype_density_Lkw_2000,mobility_cartype_density_Lkw_2001,mobility_cartype_density_Lkw_2002,mobility_cartype_density_Lkw_2003,mobility_cartype_density_Lkw_2004,mobility_cartype_density_Lkw_2005,mobility_cartype_density_Lkw_2006,mobility_cartype_density_Lkw_2007,mobility_cartype_density_Lkw_2008,mobility_cartype_density_Lkw_2009,mobility_cartype_density_Lkw_2010,mobility_cartype_density_Lkw_2011,mobility_cartype_density_Lkw_2012,mobility_cartype_density_Lkw_2013,mobility_cartype_density_Lkw_2014,mobility_cartype_density_Lkw_2015,mobility_cartype_density_Lkw_2016,mobility_cartype_density_Lkw_2017,mobility_cartype_density_Lkw_2018,mobility_cartype_density_Lkw_2019,mobility_cartype_density_Lkw_2020,mobility_cartype_density_Pkw_1996,mobility_cartype_density_Pkw_1997,mobility_cartype_density_Pkw_1998,mobility_cartype_density_Pkw_1999,mobility_cartype_density_Pkw_2000,mobility_cartype_density_Pkw_2001,mobility_cartype_density_Pkw_2002,mobility_cartype_density_Pkw_2003,mobility_cartype_density_Pkw_2004,mobility_cartype_density_Pkw_2005,mobility_cartype_density_Pkw_2006,mobility_cartype_density_Pkw_2007,mobility_cartype_density_Pkw_2008,mobility_cartype_density_Pkw_2009,mobility_cartype_density_Pkw_2010,mobility_cartype_density_Pkw_2011,mobility_cartype_density_Pkw_2012,mobility_cartype_density_Pkw_2013,mobility_cartype_density_Pkw_2014,mobility_cartype_density_Pkw_2015,mobility_cartype_density_Pkw_2016,mobility_cartype_density_Pkw_2017,mobility_cartype_density_Pkw_2018,mobility_cartype_density_Pkw_2019,mobility_cartype_density_Pkw_2020,mobility_cartype_density_Zugmaschinen_1996,mobility_cartype_density_Zugmaschinen_1997,mobility_cartype_density_Zugmaschinen_1998,mobility_cartype_density_Zugmaschinen_1999,mobility_cartype_density_Zugmaschinen_2000,mobility_cartype_density_Zugmaschinen_2001,mobility_cartype_density_Zugmaschinen_2002,mobility_cartype_density_Zugmaschinen_2003,mobility_cartype_density_Zugmaschinen_2004,mobility_cartype_density_Zugmaschinen_2005,mobility_cartype_density_Zugmaschinen_2006,mobility_cartype_density_Zugmaschinen_2007,mobility_cartype_density_Zugmaschinen_2008,mobility_cartype_density_Zugmaschinen_2009,mobility_cartype_density_Zugmaschinen_2010,mobility_cartype_density_Zugmaschinen_2011,mobility_cartype_density_Zugmaschinen_2012,mobility_cartype_density_Zugmaschinen_2013,mobility_cartype_density_Zugmaschinen_2014,mobility_cartype_density_Zugmaschinen_2015,mobility_cartype_density_Zugmaschinen_2016,mobility_cartype_density_Zugmaschinen_2017,mobility_cartype_density_Zugmaschinen_2018,mobility_cartype_density_Zugmaschinen_2019,mobility_cartype_density_Zugmaschinen_2020
0,Deutschland,581.1193344713922,590.9032873204493,597.791696725762,605.6611529636496,616.6636720798585,636.6702846783362,645.8453380969528,650.1241808129632,655.5346963762761,661.3413268966574,667.070761157159,675.1743420348068,601.5685329821499,606.372303395003,613.8646555207566,633.6793442876012,642.4834855546835,648.6648218726394,652.320513120983,653.6683162868471,661.6741063100129,671.1763505785698,680.0715877660753,689.0401256820172,699.3965764981796,28.096479153908906,30.883340790107372,33.63314882352308,36.59959611007202,38.640405720722484,41.36908317507641,43.10035247359114,44.308723617143286,45.393120742308966,46.433674181425694,47.40954208220805,48.27544903668531,43.4880431971979,44.724805086979444,46.02430910161247,47.65335580788245,48.53316188245887,49.31414027453109,49.93927340431521,50.44548214530226,51.23792176097102,52.11221746801223,52.67428878180283,53.369911430067255,54.19287258758884,27.451123651635964,27.990157960078154,28.579320131495283,29.390334330430886,30.283028570303216,31.67000502145134,32.09599659206065,31.736507552355263,31.349119813300344,31.200928649465578,31.258943550272654,31.672701387169795,28.32923483320406,28.68720358168113,29.174951213800068,30.39264066407811,31.402612590825072,31.92581398774405,32.38040336124974,32.872777791542326,33.939940587472236,35.17120802621005,36.511295282936494,37.8668695940134,39.39741180542642,493.82239185451544,500.2014139398725,503.75891925170214,507.7285010158102,515.7244253979538,530.9570103624915,537.740590001924,541.0929217706013,545.7268203385398,550.4200581297496,559.926570286067,566.4179294816525,502.2245214515544,505.13485220829546,510.5420074826179,526.6110902936589,533.1054394811687,537.7304472222929,540.0561595852347,540.3438321243544,546.1743356013482,553.2341991351351,559.8052826639057,566.2816700783081,573.8194842354156,23.18875583355552,23.15894101370213,23.154378454865938,23.187176540427483,23.23444794366708,23.553805456988282,23.638908179975257,23.654470778860155,23.663974658006246,23.79890486176914,24.005117615028315,24.33588711413072,23.453411509298586,23.720580228000312,23.973365072405553,24.787141204986064,25.185999170977464,25.415420068351036,25.63825304208427,25.690677548847663,25.950704113985694,26.214197009576406,26.553877353667517,26.902927542728005,27.245314838497265
1,Schleswig-Holstein,602.5333543862745,610.8795551416611,618.566067149014,624.7991286422842,632.6312540751699,651.5013467063732,660.1339886604222,662.5500191097175,667.0116941698835,672.9112762314902,678.4480148921022,684.3037556218375,606.8723405756705,610.9768727487415,619.8851269414687,637.556534604495,647.1227290915368,653.0782629694012,657.188052834753,660.2328879349246,667.3276829453637,678.5299158667614,688.3366382298275,697.3410111603076,706.6023103018852,28.836816488974737,31.69630175953111,34.70969687175644,37.76291508763086,40.18910580512094,42.94019539634319,44.53637075995196,45.774768868056526,46.72824841980231,47.480541485024446,48.29348392910445,49.16872050308507,43.94092285111457,44.99992408264469,46.31228126998979,47.593982869577694,48.18368298800191,48.59275094950026,48.8419789859209,49.20429255952152,49.740347253885076,50.40831248717481,50.696444796721245,50.975059000824096,51.38042684759737,26.997844504580655,27.628785045237155,29.551090234221494,30.671431529106766,31.56040965516401,33.230287324699056,33.91576871635682,33.7315734682738,33.435144727725216,33.190137489189716,33.144171270464824,33.58952101116068,30.50849251656517,30.996879620144863,31.664008123463663,33.00543203250512,34.15248219242902,34.785712129632756,35.28110145877725,35.91020297938164,37.000950059092425,38.544947939682075,40.02607093836046,41.486714009669484,43.1749903379568,509.9867154968488,514.9450039960486,517.65672218613,519.576203292796,523.9563532503322,537.6883436527927,543.8839669136274,545.0937970105248,548.7040257922199,553.7623325508746,566.8299312623357,571.0148084160948,503.51590891449615,505.74729690077106,512.4983284872695,526.8611188231239,534.23888779422,538.9926330498889,542.207961950839,544.2527654043042,549.5706690595109,558.2397664076772,565.9302685251416,572.801317458355,579.677931893331,25.778427031684796,25.445560322919906,25.278220947724506,25.179717528872725,25.152692291561895,25.505937596839654,25.42937049330962,25.37147059104815,25.261952233487463,25.348841313824813,25.531586089320154,25.864417543974653,24.542208548263037,24.772715796847983,24.82518358413963,25.31772501254342,25.636631129319433,25.790895095979874,25.896334122727197,25.891362339849316,25.93057559423802,26.065974328513775,26.306722932759627,26.61812751892107,26.78850860995405
2,Hamburg,470.86510076780485,474.07714178952574,477.2808952943052,476.40718352119245,514.6281433048539,545.7473312391426,549.4936968057723,546.3821512580424,553.602370261063,551.1746491652171,547.0851941246689,539.9262070145694,461.42486315670675,461.1531576621667,460.9039837711481,485.9226615030844,485.4267381356558,486.92352357098434,485.61117001391546,484.4819985140494,485.9835023347941,487.47667411055704,492.8505050296576,498.7697949333416,504.91017977001616,17.69803733754258,19.117972278324263,20.610097471367677,22.440437956632557,23.14106629854867,24.59390058753576,25.829387450066694,26.620409749706326,27.284517791368607,27.550617190488563,27.78845068527667,27.946001110339886,25.41560859996614,26.293748703658615,27.119737042444,28.548114960711494,28.74001310059783,29.071625145590037,29.19517968948106,29.164018511722002,29.017839881840747,28.864012795916494,28.923314897682406,28.83416619163699,29.00223376471947,25.047629196023852,25.074337241476808,26.2633309197342,26.10376392811786,29.207901167779724,32.094061330091066,32.81571211576082,31.282239662115366,31.35696293008537,31.139687559323182,30.371420981403297,29.818217142043874,26.746233282546132,26.84328472616761,26.35005329010416,27.624466952665806,27.80763340467931,27.63147195681029,28.008425275599887,28.109418778476993,28.879751750681326,29.571983585566134,30.762897034997682,31.84241682108515,33.622531549632434,416.23701833621584,417.94277220276985,418.2204578701468,415.67633679134883,450.0901251725553,476.50001766719976,477.8777954264388,475.5447115276489,481.89217387294434,479.36169834488686,481.2801636318238,474.43535602319855,402.25325884543764,400.99220842464086,400.5042408175329,422.44819684935345,421.6656902723448,422.94693708334336,421.1049409714481,419.88734525077655,420.70206215291546,421.4900818536598,425.4094794694052,430.16197564708244,434.11905566489855,3.2113846366422205,3.258578626187944,3.319237992834493,3.3711984560650192,3.4581017050330187,3.6226448319385898,3.696771066273486,3.683791375614662,3.777315356547904,3.7674342046779503,3.8371161031181487,3.926853112650928,3.626770498278878,3.6725915104293483,3.5735716908636577,3.822633974066851,3.806784633552292,3.812540727990279,3.874537594076666,3.8883120138211313,3.9084464643362544,4.018936033528098,4.1402818520089575,4.220862004284199,4.243505186026501
3,Niedersachsen,601.9389524037165,611.4356467320077,623.7557590797677,633.8015080848133,638.5969910144756,659.6412253959571,664.3236139416315,666.6409788557206,672.2841117178061,676.111147110576,680.3069393318162,688.3105251036042,613.0001796849323,617.4381669896447,626.7700626890164,648.8014989993251,661.0648290685365,670.4024704774073,677.0563065920558,679.3554209062423,690.1231297238689,700.5536386498426,710.3174364555836,721.073137436812,731.1288510250804,29.3018123265228,32.28886539599393,35.26323952686553,38.447427191103415,40.77039254532409,43.5268844665739,45.136177409055506,46.14248102969757,47.01315812990749,47.87648052663853,48.5493289538545,49.274030430709495,44.33398546716321,45.47703534513039,46.81236220988539,48.40619413852367,49.24132230448792,50.01964557357181,50.53407300281765,50.88979523248243,51.65105337047718,52.25678234032734,52.48039198000413,52.932918401803036,53.45214252755165,25.00656417511223,25.580983909293064,27.286341954578276,28.561191883282945,29.358230363555364,30.701888890676404,31.259303960968726,31.09747210672785,30.54740405121468,30.270156941265302,30.22867619103096,30.450027873658815,27.268572602024047,27.606521277139144,28.204311206973525,29.609661532754338,30.681084124620213,31.365400095166468,31.757670723400896,32.16877755516584,33.399637664971614,34.69205145191218,36.131647835350755,37.47819507786721,39.091533482994336,508.1527566720425,514.3388518976348,521.9788350640237,527.5724290901356,529.2731327637366,545.6294643216241,548.0130749158697,549.5343354498672,554.9484439830525,558.0917109022253,567.3968094694956,574.2213314024991,508.9534183170921,511.85050981767137,519.092688285215,537.0822122717128,547.013720924104,554.5627727098915,560.0545770083812,561.529099680708,569.9508601209335,578.0325326283864,585.5420542670619,593.9236700123398,601.365091252853,30.29590738396765,29.887202663268326,29.65353986351108,29.498300999144167,29.367692661533727,29.641738189657254,29.594239538714003,29.478889811175826,29.282672756308067,29.215233628048026,29.357540727211457,29.655590964217847,28.156805050908215,28.15603592718458,28.250533290445304,29.192643974925954,29.564873097360262,29.83008022915942,30.034730939667213,30.07292282604431,30.363901916574843,30.734888277013983,31.213231830636413,31.69544966428176,32.05391794333948
4,Bremen,484.3530991339245,490.2527590100952,493.6860464245881,493.8067911894007,498.8693248513764,511.2582259406868,515.6411890686877,512.0919157509323,510.53281524939956,510.52124672365017,507.192245537886,505.7670092085142,450.63804455886844,452.2831547068531,455.9925292036095,468.36925888785646,475.04177013748256,478.8915576878905,480.5057653258557,479.79639279273374,482.14446197659527,490.42188913296286,489.5825097439772,494.96478283974506,498.9840177613103,20.599908523540435,22.578103320606097,24.402476177644036,26.434814083083857,27.39520617971146,28.86071574211212,29.350639935477833,29.629227495705962,29.841091775945287,30.14166492078732,30.487409993388344,30.688512129721513,27.978472983957477,28.43062582739423,29.238420719654428,29.824496842905813,30.18293334799488,30.49935274440934,30.520269290272672,30.369819907697668,30.246643477082237,30.022084131142147,29.889338873710443,29.751821045739735,29.65315454398424,23.159773964619266,23.229551717434628,25.877104339299212,26.573563677769144,26.692415464425007,28.113350847645197,28.590933668429752,27.797004806003056,26.94760205243263,26.4172897823102,26.235769504758434,26.411514714620516,23.74498765611166,23.886380259809343,23.688297064049667,24.171166944196557,24.49700201901725,24.578979633125492,24.52378650164378,24.269943364671647,24.61278255860379,26.199943614984317,26.464671310978556,27.131452931729502,27.443282901798185,428.14671643772965,432.0482932497184,430.92527303077253,428.3169824979451,432.0799727365671,441.53347755100805,444.66982229216825,441.67122837336325,440.8824917485031,441.18396242767164,442.6721327029921,440.7418690297731,391.0852045580223,391.9128447853762,395.29230853057186,406.4294936076126,412.34838280078316,415.89556291461247,417.39690098626954,417.1430954192846,419.1274292710308,426.0240341129345,424.88132992477153,429.4086042025713,433.07455927543265,4.060374463313513,4.083794961439894,4.082549235364128,4.111210816435794,4.293990684993752,4.299243084600797,4.428347465178871,4.400350459714475,4.375668148845092,4.404137658692897,4.528757686613583,4.747527455126214,4.84236990569088,5.014235714415247,4.713140186406662,4.793140565056993,4.907036626377956,4.744512778544276,4.839187294527171,4.829565339119479,4.895742633918377,4.866144322146389,4.915181277507885,5.045493113643237,5.168129622278094
5,Nordrhein-Westfalen,560.443933949252,568.6905556748295,575.7743477294338,580.699729997,589.5125810215678,607.6822564387551,618.6599012909406,622.5736442546623,627.8782288721127,632.7647889964092,634.846130443356,642.5253385066007,573.7547694024847,577.3411195571721,584.2121620244914,602.6376382749258,611.2106592054871,618.2047018823737,622.225593711975,623.1789218962385,633.3957328354788,644.3165286726864,653.6553909402463,662.8763862661523,674.2413211964808,28.437547620964562,31.562347231384127,34.75449606008529,37.60202891143235,39.60257336742946,41.9877097900897,43.332021306286585,44.20397566639155,44.848255237297735,45.34296372736785,45.79986016774878,46.11615702747755,41.538969581550596,42.221899322449474,43.127170547253336,44.08074853271069,44.54701743370538,44.841649055170954,45.01023863230604,45.04560629539052,45.52769408779157,46.11466171479066,46.45208340919588,46.947491202119814,47.5618906400187,22.833603051976255,23.296464594511097,24.672393270935867,25.548172757475083,26.387205012364056,27.65374783155326,28.169119272109892,27.946558363900788,27.679184338982722,27.525811816909915,27.540131051828624,28.100441744036285,25.538190238990953,26.027760788860682,26.497950087738108,27.701722285937976,28.736672304592215,29.47173024864306,30.026706961260786,30.74302471868151,31.95024063588242,33.3203179475991,34.64590929695782,36.022735776196214,37.491081176219225,489.8016265580326,494.403094786516,496.6829881267386,497.7574750830565,503.6304269909852,517.6777295396013,526.5959868568635,529.8333721061306,534.6750093718783,539.0278769560815,545.3426181356496,551.9141621085425,491.2523035661949,493.49056998070193,498.8645656966592,514.6316276523747,521.4248861349242,527.2219394468063,530.3671631714485,530.5656438918417,538.8295202374499,547.5248231171116,554.8718926164346,561.8636445163293,570.8357391145721,11.823009224294012,11.787930303657623,11.827031835970661,11.882576473071923,11.972160812976664,12.222073762974397,12.317804114822929,12.30895271079376,12.321641094458355,12.417139007664426,12.51789850042252,12.705496215095046,12.105739431923068,12.249421088390195,12.33578595062839,12.78425720284677,13.04025918620985,13.191719759142119,13.33068905728951,13.351867362801052,13.572199149250146,13.775075599590759,14.03077548322331,14.299818339563545,14.510668280004486
6,Hessen,619.4108324744611,630.0606544915576,637.5893372428828,647.5779936635466,654.3178300922739,673.800961067329,683.1398488874383,689.5480166610066,692.6459120677822,696.8247413068906,702.9502289494333,704.3888445637791,636.0311448415181,636.8931388590901,643.7622352057131,660.7978516363071,668.4746448962442,673.3419073100733,673.7867515779745,673.4712051413077,680.5765506620862,689.0423627904772,698.3530777909125,705.0937647103726,714.7233326881877,31.0901228480357,34.0071339695824,37.069083932974515,39.912980343908075,41.83299333287081,44.68439866491736,46.269808776584476,47.48951789888968,48.58649029603469,49.75843491694671,51.3860991589139,52.040697861114474,46.61173796400401,47.679864122953155,48.83385107781892,50.05446487695309,50.782508911770854,51.30970940835425,51.519653790814665,51.57029305530999,51.98735314870802,52.58837447475374,52.797970700990085,53.097765931731146,53.56312589839689,23.953409197243737,24.411339745561165,26.144559767243063,27.43637356852302,28.740160270159056,30.297017387467164,30.85239422432595,30.525527192373406,30.097748929320822,30.043887797721535,30.12085376353891,29.936163608234093,27.406807604279866,27.63549226973296,27.907930432414854,28.80306905285504,29.670001451014308,29.74133332230571,30.098846582017917,30.478425795136538,31.421895199295424,32.341907163274584,33.66636295488739,34.89077747102454,36.1251289893748,532.703453163979,540.0295604642469,542.8509742198065,548.6324609226159,552.2128814334699,566.848080218157,573.9445579154832,579.4621432423538,581.9847107915768,584.9164378826313,594.0570754748813,594.8456621636197,535.43250871029,535.1156748050256,540.4713449978169,554.7931344057022,560.6159148512229,564.8676478494068,564.730759738282,564.0977939085893,569.6703474986996,576.4393677535878,583.945983671063,588.9225327922037,596.6010048379557,22.663607687973556,22.518674238876073,22.441578376762617,22.415525797732503,22.369498077578772,22.5745192442166,22.577088714361274,22.547437953121378,22.459540503774743,22.560081045848616,22.76392226368845,22.89662259131453,22.25854017335336,22.186586463664916,22.287049937687705,22.84505030305629,23.121156702730385,23.169586919033815,23.18437752712226,23.10751708339729,23.253654221540078,23.387453545918785,23.61530649912884,23.814741542728463,23.987018274143615
7,Rheinland-Pfalz,627.8767484709042,636.2793529240176,645.2742865845674,653.6158200920767,670.9973362626926,695.7947832907639,705.2739132031307,710.9532109192098,713.048295968708,717.4078918548956,724.0005823048415,735.6037099664998,659.8119180776451,665.7376936831415,677.0376235249747,689.603569694787,700.7341343134489,708.923769128818,713.3746736324971,715.8206308078632,724.8673344887536,735.7936155499733,744.4553574138939,754.9328843404448,765.6028914761915,32.933581664799014,36.272831987830244,39.777946115858285,43.32469231087933,45.77082440525689,48.8596629444914,50.73382216201337,52.122585607840186,53.31652345851683,54.54485428482945,55.55928406113214,56.69308933091724,51.41830987418921,52.70997526587625,54.35835698826973,55.29678576593226,56.269513051471606,56.90114526310308,57.40229166448548,57.71610413829639,58.541784870979306,59.429081181899704,60.03460597271279,60.78429313054071,61.428741181600294,24.70299834998389,25.194956080748106,26.905300388648957,27.971061630114125,28.757804140578507,30.459123165688087,31.157591429881805,31.046531854429592,30.80737877991335,30.52224488604265,30.58753571551941,30.869752966339345,27.521186708903965,27.883892914327724,28.59198075801531,29.446122375428978,30.53947619689656,31.084782916738227,31.50627358483511,31.8828721751341,32.76543616130926,34.10185240417814,35.267687089152,36.59857109462535,38.131549674006216,526.6518471006735,531.3940766005911,535.2085941531475,538.8944006521825,553.1281377360638,572.6903438965925,579.4887137552626,583.9504055750118,585.2239722932552,588.614538675184,598.9508643279067,608.7815954101734,543.2863223686317,547.0729625499199,555.4721891628963,565.6123646095158,574.0752899923264,580.8406140048259,584.1727777221057,585.8900617671276,592.9056999502958,601.2756527944396,607.8469581702508,615.7561622735077,623.8558009716496,34.82156404329686,34.461405515616896,34.16548052916681,34.02101780477343,33.842129383721684,34.0088306784824,33.936487102261935,33.7799315147134,33.60538572629863,33.63963572870397,33.8134058418006,34.175531553327865,32.99414574350646,33.42309058171917,33.91199989010289,34.504476529392115,35.119357598643504,35.32150033321934,35.52438913127041,35.56106724161032,35.803271624841095,36.05487815804829,36.40628626209471,36.763694694280744,37.06576556507176
8,"Baden-Württemberg, Land",621.830149968601,630.3995244603769,634.2547122397382,640.9613960838997,651.7222097380234,671.5605251098349,680.8302349052462,685.0464005051739,689.0052539701957,695.1968949209745,701.1748943289783,710.4966578308064,633.7587978461522,639.1397386728111,645.7632036065123,669.7568148063804,678.6830037076911,685.7268712190576,690.1006509127297,691.8130765252971,700.3496107933122,710.4901607259087,720.3870298774123,730.7075766860168,741.8677924601391,36.087215727400974,38.80543754166021,41.38205876823798,44.05030502298029,45.75446711289891,48.3117197718761,49.84260860756454,50.89821367313858,51.81760645916708,52.84228761587157,53.873014864947535,54.910925876915336,49.44673736634967,50.89632580825862,52.30763222204451,54.496667329690595,55.59994591787331,56.63486553545115,57.51893969791289,58.220150744263265,59.231678030455555,60.278452477338035,61.04214152485024,61.97194441927016,62.93373807522857,23.691058031202456,24.093526639933593,25.296469225132455,26.204732905864603,26.957127783349478,28.288336864792498,28.814724630721148,28.501230201646827,27.958130590956646,27.802842124608354,27.92000151227987,28.538510877689774,25.70062289374042,25.948352714738434,26.248944566984196,27.41066513476746,28.198871220105453,28.625156824983787,29.029237138044333,29.392943759606265,30.310193863289204,31.382351673821887,32.55295413094663,33.735649383256124,35.011482888069516,520.9453366690749,526.3221376968069,526.3093178234496,529.4463537945836,537.8115553216021,553.3762868947239,560.5274956571982,564.0412825520857,567.6461842165544,572.863942466356,583.6422534348261,590.9683523019827,523.6852744674965,527.1293292896244,531.7817383121255,551.1908223789318,557.9517520442353,563.4050769813375,566.4464546923458,567.2228565377939,573.6539792709808,581.5180853500614,589.1524963157887,596.9752064656443,605.5159833209689,31.358026238360292,31.349930410008646,31.360036984320026,31.33773682379763,31.312714293383525,31.502401775848213,31.53042962785096,31.537548178377556,31.522981419313737,31.617590691096932,31.824551696086125,32.18547771553864,31.368697315020803,31.60404808932518,31.85213150974346,33.007652551866876,33.29315019967147,33.441981293312054,33.490055282232014,33.341887555243204,33.48790935046571,33.60389352673965,33.86484325942206,34.18248036961571,34.48315925643087
9,Bayern,646.1440256449152,657.4247858200993,667.3577104066438,677.0142609190136,687.7160778740918,705.8203458733917,715.6731895301909,720.1595442659514,727.5362300206214,736.541086876077,747.4808803698941,758.4694239737413,671.720903201731,679.3949736421843,688.2954176415155,704.0709704732769,715.642652611659,722.2443488082267,728.0881290633278,732.161540836877,740.5167727690372,751.8403958266716,762.5823017865106,773.39515450862,785.9930109040338,38.548160894144566,42.00979996063441,45.274465463588115,48.5950311506399,50.57245331352454,53.885029287783965,56.228163713129625,57.66608233858305,59.188631724814734,60.780788670791225,62.058690792623956,63.23714099594164,56.40897310229104,58.26240728562657,60.117096706068956,62.01221019511432,63.31183392785584,64.62672414148759,65.92455715479758,67.14696616517878,68.51040593079242,70.00844181563973,70.88030707392167,71.9449083055912,73.21313561614781,25.346589206508305,25.72976556753789,27.31656714555719,28.412911363724803,29.264312150482557,30.52106480328741,31.04949557011826,30.796354552615526,30.49037789058456,30.390835439001545,30.745498676102397,31.485267323582153,27.266247317833106,27.72516570504809,28.26769227039239,29.263370089715234,30.296804898506508,30.769636005142395,31.242238941634323,31.778997554719062,32.820754185120414,34.052785506790535,35.59057350845063,37.280670843156706,39.11855717686732,523.0071001270438,530.4616340864593,535.4836633255417,540.7702052996112,548.8749008095089,561.9020846712259,568.8132192266127,572.108924249798,578.2041841729111,585.5327160128469,601.4282949233062,610.1171278844682,536.5172470200631,541.3295619436448,547.3298020783022,559.182752070741,567.9668257003375,572.3860153770428,576.0590811159032,578.3199987168621,583.9005793244337,592.0644163160015,599.9792302672819,607.5109162187402,616.1895918801131,48.96466409589809,48.77139986118449,48.631337913852654,48.48067460816635,48.273727735030874,48.481740939003124,48.38354866992951,48.29866833405965,48.25981708457313,48.31487996448073,48.44077217194292,48.82586180622047,47.191999698396,47.671960078434374,48.11640700117461,49.057683078188134,49.465113461156136,49.815443115826696,50.13683100464813,50.15442035567525,50.46025555669582,50.79161641226836,51.12910185970933,51.5512806085181,52.16632066691917
