,AGS,Name,Bundesland,mobility_car_density,mobility_ev_hybrid,mobility_rank,mobility_third,mobility_pc_km_umweltfreundlich_2002,mobility_pc_km_umweltfreundlich_2017
0,0,Deutschland,Deutschland,58.301443716387915,1.913849161823515,0,,17.920187364501487,22.63424391877212
1,1,Schleswig-Holstein,Schleswig-Holstein,58.96461505028227,1.6323038461604278,10,mittleren Drittel,16.211492518546457,23.762643150795007
2,2,Hamburg,Hamburg,43.858711335618565,2.044731881106943,2,besten Drittel,32.60608658379768,38.24048230434297
3,3,Niedersachsen,Niedersachsen,61.08098997001506,1.7951718387533322,12,schlechtesten Drittel,17.783738249171822,21.924873678261154
4,4,Bremen,Bremen,44.32555808669507,1.5492347696769815,3,besten Drittel,24.97065327181895,30.888652176869208
5,5,Nordrhein-Westfalen,Nordrhein-Westfalen,58.17280851763926,1.92575105339921,9,mittleren Drittel,16.5324459466038,21.401120709362583
6,6,Hessen,Hessen,60.31713655419836,2.203028204689519,11,mittleren Drittel,19.563925179273795,21.518746641312887
7,7,Rheinland-Pfalz,Rheinland-Pfalz,63.331072681380796,1.7027214272059923,15,schlechtesten Drittel,14.824903843387014,18.740222930100728
8,8,Baden-Württemberg,Baden-Württemberg,61.61686821023094,2.3461608921887103,13,schlechtesten Drittel,20.48288103333975,24.08454341300107
9,9,Bayern,Bayern,62.397949941371294,2.278904535778242,14,schlechtesten Drittel,17.898872919036293,22.598619523580734
10,10,Saarland,Saarland,66.1640274118744,1.8439493947155186,16,schlechtesten Drittel,14.543507484791174,12.816284079934626
11,11,Berlin,Berlin,33.82097810669939,1.5732274780066304,1,besten Drittel,32.870549803443886,40.79359554472676
12,12,Brandenburg,Brandenburg,57.624746440713224,1.44814466315821,8,mittleren Drittel,18.39490208413425,21.336105844698594
13,13,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,54.55199980138534,1.0916358400158894,5,besten Drittel,11.567771213288808,15.785968508499938
14,14,Sachsen,Sachsen,54.06116544092731,1.2927027985640374,4,besten Drittel,14.347751037947543,16.751224051221836
15,15,Sachsen-Anhalt,Sachsen-Anhalt,56.53093484254718,1.1616441235761803,6,mittleren Drittel,12.794277170248321,15.191166606470254
16,16,Thüringen,Thüringen,56.88434952863228,1.3379247490235262,7,mittleren Drittel,15.502948703683098,16.07102084960644
17,1001,Flensburg,Schleswig-Holstein,49.712993755007524,1.6089910331127286,33,besten Drittel,16.211492518546457,23.762643150795007
18,1002,Kiel,Schleswig-Holstein,45.831962735996555,1.5464398987991537,12,besten Drittel,16.211492518546457,23.762643150795007
