,Jahr,Pkw,ohne Auto
0,1996,454.1562479131577,545.8437520868423
1,1997,450.5616187969754,549.4383812030246
2,1998,443.63549515400854,556.3645048459914
3,1999,438.38335284494855,561.6166471550514
4,2000,436.19900405183876,563.8009959481612
5,2001,439.1229347951087,560.8770652048913
6,2002,441.1097752142086,558.8902247857914
7,2003,399.8372178039578,600.1627821960421
8,2004,446.66350964607057,553.3364903539294
9,2005,445.8711369195639,554.1288630804361
10,2006,454.63097982031144,545.3690201796885
11,2007,454.51592158214714,545.4840784178529
12,2008,400.3177176627486,599.6822823372514
13,2009,398.93018382210266,601.0698161778973
14,2010,403.7831567945139,596.2168432054862
15,2011,410.3982792205732,589.6017207794268
16,2012,412.00707405177604,587.992925948224
17,2013,413.57420665395006,586.4257933460499
18,2014,412.27856280708596,587.721437192914
19,2015,410.432501713911,589.567498286089
20,2016,409.8189860892847,590.1810139107154
21,2017,409.407546525525,590.592453474475
22,2018,413.3214291730539,586.678570826946
23,2019,415.75077356460787,584.2492264353921
24,2020,415.8375065893516,584.1624934106484
