,Jahr,cartype,value
0,1996,Insgesamt,516.0900180303177
1,1997,Insgesamt,516.8106423159476
2,1998,Insgesamt,518.8138492118522
3,1999,Insgesamt,513.0598606017847
4,2000,Insgesamt,510.2765148000371
5,2001,Insgesamt,513.106144823092
6,2002,Insgesamt,513.1264553243947
7,2003,Insgesamt,463.7361273011953
8,2004,Insgesamt,517.2846877638
9,2005,Insgesamt,515.8046658490476
10,2006,Insgesamt,522.0041259836171
11,2007,Insgesamt,522.2265684565049
12,2008,Insgesamt,459.03011126655593
13,2009,Insgesamt,456.8451418444304
14,2010,Insgesamt,462.21304475290935
15,2011,Insgesamt,469.48344891911955
16,2012,Insgesamt,470.70038129640784
17,2013,Insgesamt,473.02251839373747
18,2014,Insgesamt,471.5743529096207
19,2015,Insgesamt,470.64294017705447
20,2016,Insgesamt,470.66526977475115
21,2017,Insgesamt,471.40174150589036
22,2018,Insgesamt,476.0653381174581
23,2019,Insgesamt,481.1128239821664
24,2020,Insgesamt,482.0879458794588
25,1996,Krafträder,11.471140361941933
26,1997,Krafträder,13.378738121060895
27,1998,Krafträder,14.992526849412164
28,1999,Krafträder,16.095144321344673
29,2000,Krafträder,17.939438928582472
30,2001,Krafträder,19.657300571165713
31,2002,Krafträder,20.96428082243901
32,2003,Krafträder,19.6304292345788
33,2004,Krafträder,23.13547049901515
34,2005,Krafträder,23.42410711260782
35,2006,Krafträder,23.8688824229066
36,2007,Krafträder,24.868563245443635
37,2008,Krafträder,22.56710641580482
38,2009,Krafträder,23.511377307478366
39,2010,Krafträder,24.804660114973295
40,2011,Krafträder,25.91955736883181
41,2012,Krafträder,26.15141481035521
42,2013,Krafträder,26.62447048331558
43,2014,Krafträder,26.529791151046684
44,2015,Krafträder,26.981430146949236
45,2016,Krafträder,27.320877713753564
46,2017,Krafträder,27.82425587615958
47,2018,Krafträder,28.210613794226482
48,2019,Krafträder,28.95737908547473
49,2020,Krafträder,29.745431382885258
50,1996,Lkw,38.24208112900952
51,1997,Lkw,39.59772773812865
52,1998,Lkw,44.21485693153978
53,1999,Lkw,42.23812440399122
54,2000,Lkw,40.487457857783546
55,2001,Lkw,39.352934411775976
56,2002,Lkw,36.47252195352094
57,2003,Lkw,31.535601707833546
58,2004,Lkw,33.759531113810596
59,2005,Lkw,33.262638650793114
60,2006,Lkw,32.81299348847211
61,2007,Lkw,32.35366266002798
62,2008,Lkw,25.940405057333
63,2009,Lkw,24.992561737578104
64,2010,Lkw,24.925751723962115
65,2011,Lkw,25.037594462034352
66,2012,Lkw,25.361228175797713
67,2013,Lkw,25.899868704634976
68,2014,Lkw,26.103071164701724
69,2015,Lkw,26.629705803451667
70,2016,Lkw,27.52459111809557
71,2017,Lkw,28.11450685789084
72,2018,Lkw,28.704748749220894
73,2019,Lkw,30.582142025352955
74,2020,Lkw,30.541644702161307
75,1996,Pkw,454.1562479131577
76,1997,Pkw,450.5616187969754
77,1998,Pkw,443.63549515400854
78,1999,Pkw,438.38335284494855
79,2000,Pkw,436.19900405183876
80,2001,Pkw,439.1229347951087
81,2002,Pkw,441.1097752142086
82,2003,Pkw,399.8372178039578
83,2004,Pkw,446.66350964607057
84,2005,Pkw,445.8711369195639
85,2006,Pkw,454.63097982031144
86,2007,Pkw,454.51592158214714
87,2008,Pkw,400.3177176627486
88,2009,Pkw,398.93018382210266
89,2010,Pkw,403.7831567945139
90,2011,Pkw,410.3982792205732
91,2012,Pkw,412.00707405177604
92,2013,Pkw,413.57420665395006
93,2014,Pkw,412.27856280708596
94,2015,Pkw,410.432501713911
95,2016,Pkw,409.8189860892847
96,2017,Pkw,409.407546525525
97,2018,Pkw,413.3214291730539
98,2019,Pkw,415.75077356460787
99,2020,Pkw,415.8375065893516
100,1996,Zugmaschinen,3.4873453881712213
101,1997,Zugmaschinen,3.6101356834608764
102,1998,Zugmaschinen,3.5901939937441254
103,1999,Zugmaschinen,4.411434064954296
104,2000,Zugmaschinen,4.1832915777427235
105,2001,Zugmaschinen,4.009659983900026
106,2002,Zugmaschinen,4.124370310621395
107,2003,Zugmaschinen,2.9176639375357807
108,2004,Zugmaschinen,3.3285978024391416
109,2005,Zugmaschinen,3.326941449895991
110,2006,Zugmaschinen,4.213341576340777
111,2007,Zugmaschinen,4.64752408292615
112,2008,Zugmaschinen,4.8638259482499375
113,2009,Zugmaschinen,4.52116994165815
114,2010,Zugmaschinen,4.14898091851172
115,2011,Zugmaschinen,3.5913021960241873
116,2012,Zugmaschinen,3.0980333132651015
117,2013,Zugmaschinen,2.7249981420467213
118,2014,Zugmaschinen,2.5298399190451226
119,2015,Zugmaschinen,2.444186115830576
120,2016,Zugmaschinen,2.432920086141668
121,2017,Zugmaschinen,2.498434921176939
122,2018,Zugmaschinen,2.6391298732656145
123,2019,Zugmaschinen,2.6395466190513157
124,2020,Zugmaschinen,2.674178527499561
