,variable,value,year,valuetype
2,Fahrrad,2.752637278843499,2017,percentage
5,Fahrrad und ÖV,0.7933017757072369,2017,percentage
8,MIV (Fahrer) und ÖV,1.319518370607489,2017,percentage
11,MIV (Mitfahrer) und ÖV,1.2352545522346337,2017,percentage
14,anderes,0.21163935777368303,2017,percentage
17,nur MIV (Fahrer),41.19497852194807,2017,percentage
20,nur MIV (Mitfahrer),15.736527443088782,2017,percentage
23,nur ÖV,9.71154915744827,2017,percentage
26,zu Fuß,2.037778086450528,2017,percentage
30,Fahrrad,1.3763186394217495,2017,percentage
33,Fahrrad und ÖV,0.39665088785361846,2017,percentage
36,MIV (Fahrer) und ÖV,0.6597591853037446,2017,percentage
39,MIV (Mitfahrer) und ÖV,0.6176272761173168,2017,percentage
42,anderes,0.10581967888684152,2017,percentage
45,nur MIV (Fahrer),20.597489260974037,2017,percentage
48,nur MIV (Mitfahrer),7.868263721544391,2017,percentage
51,nur ÖV,4.855774578724135,2017,percentage
54,zu Fuß,1.018889043225264,2017,percentage
59,Fahrrad,0.6881593197108747,2017,percentage
62,Fahrrad und ÖV,0.19832544392680923,2017,percentage
65,MIV (Fahrer) und ÖV,0.3298795926518723,2017,percentage
68,MIV (Mitfahrer) und ÖV,0.3088136380586584,2017,percentage
71,anderes,0.05290983944342076,2017,percentage
74,nur MIV (Fahrer),10.298744630487018,2017,percentage
77,nur MIV (Mitfahrer),3.9341318607721956,2017,percentage
80,nur ÖV,2.4278872893620673,2017,percentage
83,zu Fuß,0.509444521612632,2017,percentage
86,percentage sum,100.0,2017,percentage
