,Fahrrad,Fuß,MIV (Fahrer),MIV (Mitfahrer),sum,ÖPV,BL
value,3.6120645783134426,2.589915462694207,57.11223837114022,20.253517710087657,100.0,16.43226387776447,Deutschland
value,3.421621537552296,2.639314431466476,56.87071973290615,19.366637116298843,100.0,17.701707181776236,Schleswig-Holstein
value,5.042272676525216,3.035919088168725,42.47302769799141,19.286489997665615,100.0,30.162290539649028,Hamburg
value,4.028194087048341,2.20480648716702,58.20310076295059,19.87202555878826,100.0,15.691873104045792,Niedersachsen
value,6.9903073982579,3.1910794823561406,49.883280828592795,19.228066994537997,100.0,20.707265296255166,Bremen
value,3.789819293265483,2.747771991626181,58.23896586090556,20.35991342973186,100.0,14.86352942447092,Nordrhein-Westfalen
value,2.830053250457533,2.8141194508851903,58.37121995031962,20.1100334083675,100.0,15.874573939970164,Hessen
value,2.4564646115244226,2.690856148647602,61.41729437821708,19.842482691682196,100.0,13.592902169928703,Rheinland-Pfalz
value,3.670510946436779,2.7172801989618445,54.93154538202242,20.983911204976504,100.0,17.69675226760245,Baden-Württemberg
value,3.758844579569054,2.4089812357075533,56.88347865354978,20.51790182286949,100.0,16.430793708304126,Bayern
value,1.243592600846891,2.5986182304435035,69.13750835747715,18.04620756258822,100.0,8.974073248644231,Saarland
value,4.685533749230234,2.8006104581113282,39.056824368345424,20.149580086927806,100.0,33.3074513373852,Berlin
value,3.005320775487738,2.1849835891790512,58.39642835300594,20.267465802295476,100.0,16.145801480031803,Brandenburg
value,3.02719720459961,2.7737775529002713,64.03430246889556,20.179729022604516,100.0,9.984993751000056,Mecklenburg-Vorpommern
value,2.5189977180583556,2.7787624343664845,60.920641602233204,22.328134346544964,100.0,11.453463898796997,Sachsen
value,2.9864300087714772,2.125793302719158,62.744956400598525,22.063876992931224,100.0,10.07894329497962,Sachsen-Anhalt
value,2.21113981854233,3.5222015261671578,63.18211860842396,20.746860541969596,100.0,10.337679504896952,Thüringen
