Klimakennwert,Jahreszeit,Landkreis Name,Landkreis Kennziffer (Kreisschlüssel),Median der Änderungen,Minimum,Maximum,Einheit,HYRAS Beobachtungen 1971-2000,Experteneinschätzung zur Belastbarkeit 
Niederschlag,ganzes Jahr,Region um  Wuppertal,05124_05122_05120_05158_05954_05374,0.4,-8.7,7.8,%, 1110.4,keine Änderungen 
Niederschlag,ganzes Jahr,Saalfeld-Rudolstadt,16073,0.6,-4.2,13.3,%, 701.9,keine Änderungen 
Niederschlag,ganzes Jahr,Sonneberg,16072,-1.6,-6.3,12.1,%, 1022.5,keine Änderungen 
Niederschlag,ganzes Jahr,Weimarer Land,16071,1.2,-6.7,13.0,%, 587.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ilm-Kreis,16070,0.3,-5.0,11.9,%, 742.4,keine Änderungen 
Niederschlag,ganzes Jahr,Altenburger Land,16077,0.5,-5.0,13.1,%, 606.7,keine Änderungen 
Niederschlag,ganzes Jahr,Greiz,16076,1.4,-4.0,14.2,%, 632.9,keine Änderungen 
Niederschlag,ganzes Jahr,Saale-Orla-Kreis,16075,1.5,-4.2,13.7,%, 686.0,keine Änderungen 
Niederschlag,ganzes Jahr,Saale-Holzland-Kreis,16074,0.4,-6.4,13.2,%, 612.9,keine Änderungen 
Niederschlag,ganzes Jahr,Region um  Bottrop,05512_05119_05513_05113_05170_05562,-0.5,-7.1,10.0,%, 801.6,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Dessau-Rolau ,15001_15091_15082,1.8,-3.9,11.2,%, 541.7,keine Änderungen 
Niederschlag,ganzes Jahr,Region um  Augsburg,09761_09772_09771,1.6,-7.0,11.2,%, 851.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Jena ,16053_16074_16071_16055,0.6,-6.6,13.2,%, 599.9,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Ingolstadt ,09161_09176_09185_09186,2.2,-5.7,11.6,%, 755.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ostprignitz-Ruppin,12068,1.6,-5.4,11.5,%, 551.9,keine Änderungen 
Niederschlag,ganzes Jahr,Odenwaldkreis,06437,0.1,-8.9,8.7,%, 964.5,keine Änderungen 
Niederschlag,ganzes Jahr,Hochtaunuskreis,06434,0.9,-3.4,9.6,%, 791.0,keine Änderungen 
Niederschlag,ganzes Jahr,Main-Kinzig-Kreis,06435,-1.2,-6.0,11.6,%, 845.4,keine Änderungen 
Niederschlag,ganzes Jahr,Darmstadt-Dieburg,06432,1.3,-8.6,9.4,%, 744.0,keine Änderungen 
Niederschlag,ganzes Jahr,Groß-Gerau,06433,2.7,-6.3,11.9,%, 606.3,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Bergstraße,06431,-0.0,-10.6,7.5,%, 854.5,keine Änderungen 
Niederschlag,ganzes Jahr,Barnim,12060,2.5,-5.5,11.5,%, 571.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Dahme-Spreewald,12061,2.9,-6.2,13.0,%, 549.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Elbe-Elster,12062,2.5,-5.5,11.5,%, 556.8,keine Änderungen 
Niederschlag,ganzes Jahr,Havelland,12063,2.1,-5.5,11.1,%, 530.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Märkisch-Oderland,12064,3.3,-7.5,13.6,%, 530.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Oberhavel,12065,2.2,-5.3,12.9,%, 559.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Oberspreewald-Lausitz,12066,2.9,-5.8,13.3,%, 573.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Rheingau-Taunus-Kreis,06439,1.8,-3.3,9.4,%, 704.4,keine Änderungen 
Niederschlag,ganzes Jahr,Region um  Nürnberg,09564_09563_09574_09565_09573_09572_09576_09562,0.4,-7.0,13.5,%, 746.4,keine Änderungen 
Niederschlag,ganzes Jahr,Waldshut,08337,-0.1,-4.2,11.1,%, 1289.2,keine Änderungen 
Niederschlag,ganzes Jahr,Lörrach,08336,-1.8,-8.3,9.2,%, 1289.6,Tendenz zur Abnahme 
Niederschlag,ganzes Jahr,Konstanz,08335,1.6,-4.2,12.5,%, 849.0,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Schwerin ,13004_13076_13074,1.4,-7.0,9.7,%, 619.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Wilhelmshaven,03405_03455,2.5,-9.1,11.1,%, 805.5,keine Änderungen 
Niederschlag,ganzes Jahr,Region um  Ansbach,09561_09571,1.8,-5.5,12.2,%, 710.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Koblenz,07111_07137_07141_07143,-0.7,-5.8,8.6,%, 802.1,keine Änderungen 
Niederschlag,ganzes Jahr,Biberach,08426,1.4,-7.6,10.5,%, 853.9,keine Änderungen 
Niederschlag,ganzes Jahr,Alb-Donau-Kreis,08425,1.7,-6.3,9.4,%, 836.1,keine Änderungen 
Niederschlag,ganzes Jahr,Rottweil,08325,0.1,-5.2,8.7,%, 1043.9,keine Änderungen 
Niederschlag,ganzes Jahr,Schwarzwald-Baar-Kreis,08326,1.0,-5.2,9.4,%, 1129.6,keine Änderungen 
Niederschlag,ganzes Jahr,Tuttlingen,08327,0.9,-5.0,11.0,%, 862.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Bayreuth ,09462_09472,-0.5,-7.5,13.7,%, 868.2,keine Änderungen 
Niederschlag,ganzes Jahr,Diepholz,03251,-1.7,-7.2,9.2,%, 684.7,keine Änderungen 
Niederschlag,ganzes Jahr,Mayen-Koblenz,07137,1.9,-6.4,9.6,%, 673.0,keine Änderungen 
Niederschlag,ganzes Jahr,Holzminden,03255,1.5,-9.0,10.3,%, 855.9,keine Änderungen 
Niederschlag,ganzes Jahr,Hildesheim,03254,2.4,-7.4,11.5,%, 708.8,keine Änderungen 
Niederschlag,ganzes Jahr,Schaumburg,03257,-0.6,-8.8,9.5,%, 743.2,keine Änderungen 
Niederschlag,ganzes Jahr,Nienburg (Weser),03256,-1.3,-7.1,9.0,%, 679.9,keine Änderungen 
Niederschlag,ganzes Jahr,Vogtlandkreis,14523,1.0,-5.8,12.2,%, 748.8,keine Änderungen 
Niederschlag,ganzes Jahr,Mittelsachsen,14522,1.1,-7.9,9.6,%, 749.7,keine Änderungen 
Niederschlag,ganzes Jahr,Erzgebirgskreis,14521,1.8,-8.1,9.4,%, 900.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Berlin,11000,2.6,-6.4,11.2,%, 566.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Zwickau,14524,0.2,-5.4,10.7,%, 702.6,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Schwabach ,09565_09576_09564,0.1,-6.6,12.7,%, 713.8,keine Änderungen 
Niederschlag,ganzes Jahr,Region um  Braunschweig,03101_03157_03154_03151_03102_03158_03103,0.4,-6.8,12.3,%, 634.0,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Hof ,09464_09475,0.9,-6.4,14.4,%, 843.8,keine Änderungen 
Niederschlag,ganzes Jahr,Region um  Kaiserslautern,07312_07335_07332,1.5,-7.0,10.0,%, 736.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  München,09162_09184_09179_09174,2.2,-5.1,10.8,%, 958.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Cottbus ,12052_12071,3.3,-4.4,14.6,%, 575.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Bochum,05911_05954_05913_05513_05113_05916_05562,0.1,-8.1,9.6,%, 863.1,keine Änderungen 
Niederschlag,ganzes Jahr,Bautzen,14625,2.9,-5.3,11.4,%, 683.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Görlitz,14626,2.1,-5.3,11.5,%, 667.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Meißen,14627,2.3,-6.7,12.1,%, 597.8,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Amberg ,09361_09371,-0.4,-6.7,14.8,%, 789.4,keine Änderungen 
Niederschlag,ganzes Jahr,Sächsische Schweiz-Osterzgebirge,14628,2.2,-7.3,9.7,%, 772.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Esslingen,08116,0.5,-9.0,10.4,%, 838.3,keine Änderungen 
Niederschlag,ganzes Jahr,Böblingen,08115,2.1,-9.5,11.5,%, 756.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Eisenach ,16056_16063_06636,1.5,-6.2,12.6,%, 731.3,keine Änderungen 
Niederschlag,ganzes Jahr,Düren,05358,0.6,-7.0,8.0,%, 715.4,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Ludwigshafen am Rhein ,07314_07311_07338_08222,2.5,-10.7,10.4,%, 598.9,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Passau ,09262_09275,-0.9,-7.1,10.1,%, 935.4,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Magdeburg ,15003_15083_15089_15086,1.1,-5.4,13.5,%, 506.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Straubing ,09263_09278,-0.3,-7.0,12.8,%, 811.8,keine Änderungen 
Niederschlag,ganzes Jahr,Region um  Coburg,09463_09473,-0.8,-6.3,13.5,%, 737.0,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Duisburg ,05112_05114_05119_05117_05170_05158_05111,-0.1,-8.0,9.6,%, 798.1,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Bremen ,04011_03361_03251_03401_03461_03356_03352_04012,2.3,-7.8,9.5,%, 740.1,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Delmenhorst ,03401_03458_04011_03251_03461,-1.4,-8.0,9.0,%, 713.1,keine Änderungen 
Niederschlag,ganzes Jahr,Region um  Potsdam,12054_12063_12069_11000_12051,1.8,-5.9,10.7,%, 538.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Cloppenburg,03453,-2.6,-7.9,9.1,%, 775.4,keine Änderungen 
Niederschlag,ganzes Jahr,Aurich,03452,4.8,-8.2,14.6,%, 804.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ammerland,03451,-1.2,-8.3,10.5,%, 785.1,keine Änderungen 
Niederschlag,ganzes Jahr,Leer,03457,0.3,-10.2,11.1,%, 767.7,keine Änderungen 
Niederschlag,ganzes Jahr,Grafschaft Bentheim,03456,-1.8,-7.8,8.6,%, 780.4,keine Änderungen 
Niederschlag,ganzes Jahr,Friesland,03455,2.5,-9.1,11.1,%, 802.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Emsland,03454,-2.2,-9.6,9.4,%, 769.4,keine Änderungen 
Niederschlag,ganzes Jahr,Osnabrück,03459,-2.0,-9.2,8.8,%, 795.1,keine Änderungen 
Niederschlag,ganzes Jahr,Oldenburg,03458,-2.3,-8.3,8.7,%, 738.1,keine Änderungen 
Niederschlag,ganzes Jahr,Coesfeld,05558,-0.0,-9.5,9.8,%, 808.3,keine Änderungen 
Niederschlag,ganzes Jahr,Potsdam-Mittelmark,12069,1.8,-6.0,10.3,%, 535.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Freising,09178,2.2,-6.6,11.1,%, 811.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Fürstenfeldbruck,09179,2.0,-5.3,11.7,%, 925.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Minden-Lübbecke,05770,-0.4,-7.7,9.9,%, 700.4,keine Änderungen 
Niederschlag,ganzes Jahr,Erding,09177,2.0,-6.0,10.1,%, 889.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Dachau,09174,2.3,-5.2,11.2,%, 882.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ebersberg,09175,1.6,-5.1,10.2,%, 1056.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Paderborn,05774,-0.2,-8.7,8.4,%, 861.2,keine Änderungen 
Niederschlag,ganzes Jahr,Bad Tölz-Wolfratshausen,09173,0.1,-5.5,8.3,%, 1481.0,keine Änderungen 
Niederschlag,ganzes Jahr,Altötting,09171,1.3,-7.0,9.5,%, 936.1,keine Änderungen 
Niederschlag,ganzes Jahr,Segeberg,01060,3.2,-10.1,10.6,%, 810.4,keine Änderungen 
Niederschlag,ganzes Jahr,Steinburg,01061,3.2,-9.6,11.6,%, 835.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Stormarn,01062,2.1,-10.5,10.0,%, 770.9,keine Änderungen 
Niederschlag,ganzes Jahr,Warendorf,05570,-0.6,-9.3,10.0,%, 758.8,keine Änderungen 
Niederschlag,ganzes Jahr,Erlangen-Höchstadt,09572,-0.9,-6.1,15.1,%, 703.5,keine Änderungen 
Niederschlag,ganzes Jahr,Ansbach,09571,1.7,-5.5,12.2,%, 712.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Roth,09576,0.1,-6.8,12.2,%, 727.5,keine Änderungen 
Niederschlag,ganzes Jahr,Weißenburg-Gunzenhausen,09577,1.3,-6.5,12.1,%, 743.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Nürnberger Land,09574,-0.3,-9.4,13.2,%, 869.3,keine Änderungen 
Niederschlag,ganzes Jahr,Neustadt an der Aisch-Bad Windsheim,09575,-0.3,-4.9,13.4,%, 675.4,keine Änderungen 
Niederschlag,ganzes Jahr,Wesel,05170,0.0,-8.1,9.6,%, 761.5,keine Änderungen 
Niederschlag,ganzes Jahr,Lichtenfels,09478,-0.1,-7.1,14.6,%, 729.0,keine Änderungen 
Niederschlag,ganzes Jahr,Coburg,09473,-0.8,-6.2,13.5,%, 737.1,keine Änderungen 
Niederschlag,ganzes Jahr,Bayreuth,09472,-0.5,-7.5,13.7,%, 874.5,keine Änderungen 
Niederschlag,ganzes Jahr,Bamberg,09471,-0.3,-6.0,14.2,%, 737.2,keine Änderungen 
Niederschlag,ganzes Jahr,Oder-Spree,12067,3.6,-6.3,14.2,%, 556.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Kulmbach,09477,-1.2,-7.6,13.5,%, 836.6,keine Änderungen 
Niederschlag,ganzes Jahr,Kronach,09476,-0.8,-6.8,12.6,%, 932.3,keine Änderungen 
Niederschlag,ganzes Jahr,Hof,09475,0.8,-6.4,14.3,%, 850.1,keine Änderungen 
Niederschlag,ganzes Jahr,Forchheim,09474,-1.5,-7.7,13.7,%, 822.5,keine Änderungen 
Niederschlag,ganzes Jahr,Vogelsbergkreis,06535,-0.2,-6.3,11.6,%, 829.0,keine Änderungen 
Niederschlag,ganzes Jahr,Marburg-Biedenkopf,06534,2.0,-6.9,12.2,%, 752.6,keine Änderungen 
Niederschlag,ganzes Jahr,Limburg-Weilburg,06533,-0.5,-5.1,10.1,%, 745.3,keine Änderungen 
Niederschlag,ganzes Jahr,Lahn-Dill-Kreis,06532,0.8,-5.7,11.2,%, 862.1,keine Änderungen 
Niederschlag,ganzes Jahr,Gießen,06531,0.3,-5.3,11.3,%, 694.8,keine Änderungen 
Niederschlag,ganzes Jahr,Region um  Heidelberg,08221_08226_08222,0.1,-11.5,8.0,%, 832.5,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Solingen ,05122_05158_05124_05378_05120,0.7,-8.3,7.6,%, 1045.4,keine Änderungen 
Niederschlag,ganzes Jahr,Köln,05315,1.6,-6.7,7.5,%, 788.4,keine Änderungen 
Niederschlag,ganzes Jahr,Oberallgäu,09780,-0.8,-6.3,8.4,%, 1730.1,keine Änderungen 
Niederschlag,ganzes Jahr,Deggendorf,09271,-1.2,-7.6,13.2,%, 963.4,keine Änderungen 
Niederschlag,ganzes Jahr,Kelheim,09273,1.7,-5.3,12.3,%, 738.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Rhein-Sieg-Kreis,05382,0.9,-6.9,7.0,%, 822.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Passau,09275,-1.0,-7.1,10.1,%, 937.9,keine Änderungen 
Niederschlag,ganzes Jahr,Landshut,09274,1.4,-7.2,10.6,%, 787.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Rottal-Inn,09277,0.5,-5.8,10.5,%, 863.9,keine Änderungen 
Niederschlag,ganzes Jahr,Regen,09276,-0.8,-8.5,10.9,%, 1127.8,keine Änderungen 
Niederschlag,ganzes Jahr,Dingolfing-Landau,09279,-0.0,-5.8,12.7,%, 771.0,keine Änderungen 
Niederschlag,ganzes Jahr,Straubing-Bogen,09278,-0.3,-7.1,12.8,%, 815.6,keine Änderungen 
Niederschlag,ganzes Jahr,Cham,09372,-1.1,-8.6,12.1,%, 847.8,keine Änderungen 
Niederschlag,ganzes Jahr,Neumarkt in der Oberpfalz,09373,0.4,-8.4,12.5,%, 821.8,keine Änderungen 
Niederschlag,ganzes Jahr,Neustadt an der Waldnaab,09374,-0.9,-8.4,14.1,%, 777.2,keine Änderungen 
Niederschlag,ganzes Jahr,Regensburg,09375,0.2,-6.0,13.7,%, 723.3,keine Änderungen 
Niederschlag,ganzes Jahr,Schwandorf,09376,-0.2,-6.9,13.8,%, 752.1,keine Änderungen 
Niederschlag,ganzes Jahr,Tirschenreuth,09377,-0.0,-7.7,13.9,%, 810.6,keine Änderungen 
Niederschlag,ganzes Jahr,Ennepe-Ruhr-Kreis,05954,0.9,-8.5,8.1,%, 989.7,keine Änderungen 
Niederschlag,ganzes Jahr,Hochsauerlandkreis,05958,0.1,-8.7,9.3,%, 1031.5,keine Änderungen 
Niederschlag,ganzes Jahr,Unterallgäu,09778,1.0,-7.3,10.9,%, 1000.9,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Chemnitz ,14511_14524_14521_14522,1.2,-7.5,9.0,%, 792.0,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Pirmasens ,07317_07340,0.8,-7.8,7.1,%, 917.7,keine Änderungen 
Niederschlag,ganzes Jahr,Hamburg,02000,2.7,-10.9,10.0,%, 751.4,keine Änderungen 
Niederschlag,ganzes Jahr,Unstrut-Hainich-Kreis,16064,0.8,-5.6,13.3,%, 614.3,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Kyffhäuserkreis,16065,1.2,-6.0,14.5,%, 537.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Schmalkalden-Meiningen,16066,-0.3,-5.2,12.7,%, 770.2,keine Änderungen 
Niederschlag,ganzes Jahr,Gotha,16067,0.3,-5.6,12.1,%, 684.5,keine Änderungen 
Niederschlag,ganzes Jahr,Eichsfeld,16061,0.7,-6.7,12.0,%, 716.6,keine Änderungen 
