,AGS,Name,1971-2000,Median,2036-2065,percentage change,Postcard Intro
0,0,Deutschland,4.4,3,7.4,68.18181818181817,"Ich schicke dir Grüße aus dem schönen Deutschland! Momentan wird es hier an durchschnittlich 4,4 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 7,4 sein. 68 Prozent mehr!"
1,1,Schleswig-Holstein,2.0,1,3.0,50.0,"Ich schicke dir Grüße aus dem schönen Schleswig-Holstein! Momentan wird es hier an durchschnittlich 2,0 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 3,0 sein. 50 Prozent mehr!"
2,2,Hamburg,3.7,2,5.7,54.05405405405405,"Ich schicke dir Grüße aus dem schönen Hamburg! Momentan wird es hier an durchschnittlich 3,7 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5,7 sein. 54 Prozent mehr!"
3,3,Niedersachsen,3.9,2,5.9,51.28205128205129,"Ich schicke dir Grüße aus dem schönen Niedersachsen! Momentan wird es hier an durchschnittlich 3,9 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5,9 sein. 51 Prozent mehr!"
4,4,Bremen,3.8,2,5.8,52.63157894736842,"Ich schicke dir Grüße aus dem schönen Bremen! Momentan wird es hier an durchschnittlich 3,8 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5,8 sein. 53 Prozent mehr!"
5,5,Nordrhein-Westfalen,4.4,2,6.4,45.45454545454545,"Ich schicke dir Grüße aus dem schönen Nordrhein-Westfalen! Momentan wird es hier an durchschnittlich 4,4 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 6,4 sein. 45 Prozent mehr!"
6,6,Hessen,4.3,3,7.3,69.76744186046511,"Ich schicke dir Grüße aus dem schönen Hessen! Momentan wird es hier an durchschnittlich 4,3 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 7,3 sein. 70 Prozent mehr!"
7,7,Rheinland-Pfalz,5.0,4,9.0,80.0,"Ich schicke dir Grüße aus dem schönen Rheinland-Pfalz! Momentan wird es hier an durchschnittlich 5,0 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 9,0 sein. 80 Prozent mehr!"
8,8,Baden-Württemberg,4.3,5,9.3,116.27906976744187,"Ich schicke dir Grüße aus dem schönen Baden-Württemberg! Momentan wird es hier an durchschnittlich 4,3 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 9,3 sein. 116 Prozent mehr!"
9,9,Bayern,4.0,5,9.0,125.0,"Ich schicke dir Grüße aus dem schönen Bayern! Momentan wird es hier an durchschnittlich 4,0 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 9,0 sein. 125 Prozent mehr!"
10,10,Saarland,4.7,4,8.7,85.1063829787234,"Ich schicke dir Grüße aus dem schönen Saarland! Momentan wird es hier an durchschnittlich 4,7 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 8,7 sein. 85 Prozent mehr!"
11,11,Berlin,8.0,4,12.0,50.0,"Ich schicke dir Grüße aus dem schönen Berlin! Momentan wird es hier an durchschnittlich 8,0 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 12,0 sein. 50 Prozent mehr!"
12,12,Brandenburg,6.9,4,10.9,57.971014492753625,"Ich schicke dir Grüße aus dem schönen Brandenburg! Momentan wird es hier an durchschnittlich 6,9 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 10,9 sein. 58 Prozent mehr!"
13,13,Mecklenburg-Vorpommern,2.7,1,3.7,37.03703703703704,"Ich schicke dir Grüße aus dem schönen Mecklenburg-Vorpommern! Momentan wird es hier an durchschnittlich 2,7 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 3,7 sein. 37 Prozent mehr!"
14,14,Sachsen,5.3,4,9.3,75.47169811320755,"Ich schicke dir Grüße aus dem schönen Sachsen! Momentan wird es hier an durchschnittlich 5,3 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 9,3 sein. 75 Prozent mehr!"
15,15,Sachsen-Anhalt,6.6,4,10.6,60.60606060606061,"Ich schicke dir Grüße aus dem schönen Sachsen-Anhalt! Momentan wird es hier an durchschnittlich 6,6 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 10,6 sein. 61 Prozent mehr!"
16,16,Thüringen,3.6,3,6.6,83.33333333333333,"Ich schicke dir Grüße aus dem schönen Thüringen! Momentan wird es hier an durchschnittlich 3,6 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 6,6 sein. 83 Prozent mehr!"
