Statistik_Code,Statistik_Label,Zeit_Code,Zeit_Label,Zeit,1_Merkmal_Code,1_Merkmal_Label,1_Auspraegung_Code,1_Auspraegung_Label,2_Merkmal_Code,2_Merkmal_Label,2_Auspraegung_Code,2_Auspraegung_Label,ANL007__Abfallentsorgungsanlagen__Anzahl,ABF001__Input_von_Abfallentsorgungsanlagen__1000_t,ABF002__Im_eigenen_Betrieb_erzeugte_Abfaelle__1000_t,ABF003__Aus_dem_Inland_angelieferter_Abfall__1000_t,ABF004__Aus_dem_Ausland_angelieferter_Abfall__1000_t,ANL008__Abfallentsorgungsanlagen_mit_Output__Anzahl,ABF005__Output_von_Abfallentsorgungsanlagen__1000_t,ABF006__Abfaelle_zur_Beseitigung__1000_t,ABF007__Abfaelle_zur_Verwertung__1000_t,ABF015__Abfaelle_zu_vorbereitenden_Verfahren__1000_t,ABG004__Abgabe_an_Sonstige__1000_t
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-DEPO-01,Deponien,302,6534.8,33.4,6482.8,18.7,x,90.8,85.8,5.0,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-THERM-01,Thermische Abfallbehandlungsanlagen,10,1870.1,43.0,1814.2,12.8,x,456.3,17.2,99.5,339.0,0.6
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-FEUER-01,Feuerungsanlagen,31,2319.4,353.1,1955.4,10.9,x,145.3,21.0,124.2,-,0.2
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-CHEM-01,Chemisch-physikalische Behandlungsanlagen,36,316.3,16.3,294.1,5.9,x,149.3,12.6,122.7,1.3,12.6
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-BODEN-01,Bodenbehandlungsanlagen,4,147.6,-,146.5,1.1,x,149.0,34.9,114.1,0.0,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-BIO-01,Biologische Behandlungsanlagen,100,1098.6,2.9,1086.5,9.1,x,804.1,0.3,128.0,4.0,671.9
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-MECH-01,Mechanisch-biologische Abfallbehandlungsanlagen,1,.,.,.,.,x,.,.,.,.,.
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-DEM-01,Demontagebetriebe fuer Altfahrzeuge,148,85.5,-,85.1,0.4,x,89.8,0.0,52.0,33.3,4.5
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-SCHR-01,Schredderanlagen und Schrottscheren,110,1973.2,44.6,1824.5,104.1,x,2012.9,0.3,687.3,130.1,1195.3
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-SORT-01,Sortieranlagen,68,2566.3,33.0,2254.2,279.1,x,2586.8,13.7,1389.5,33.9,1149.6
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-ZERL-01,Zerlegeeinrichtungen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-SONST-01,Sonstige Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-BERGB-01,Naturbelassene Stoffe im Bergbau,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-LAG-01,Abfaelle in untertaegigen Abbaustaetten,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,08,Baden-Wuerttemberg,ANLAT1,Anlagenart,ANL-LAG-02,Abfaelle in uebertaegigen Abbaustaetten,275,21242.8,517.4,20147.3,578.2,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-DEPO-01,Deponien,345,6155.1,85.9,6068.9,0.4,x,56.5,51.5,3.1,-,1.9
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-THERM-01,Thermische Abfallbehandlungsanlagen,34,3744.5,169.6,3517.0,57.8,x,1017.3,84.9,797.5,122.6,12.3
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-FEUER-01,Feuerungsanlagen,96,2788.8,823.3,1871.0,94.5,x,218.5,21.3,103.8,6.3,87.1
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-CHEM-01,Chemisch-physikalische Behandlungsanlagen,90,940.0,668.4,261.2,10.4,x,123.0,33.6,35.3,3.5,50.6
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-BODEN-01,Bodenbehandlungsanlagen,25,889.9,-,889.9,-,x,895.7,158.7,620.1,2.4,114.5
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-BIO-01,Biologische Behandlungsanlagen,317,2580.0,196.5,2365.8,17.6,x,1555.2,45.1,179.5,5.9,1324.7
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-MECH-01,Mechanisch-biologische Abfallbehandlungsanlagen,1,.,.,.,.,x,.,.,.,.,.
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-DEM-01,Demontagebetriebe fuer Altfahrzeuge,181,99.4,-,98.4,1.0,x,98.4,0.0,28.7,65.6,4.1
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-SCHR-01,Schredderanlagen und Schrottscheren,181,3580.8,234.6,3285.9,60.3,x,3633.9,117.6,2235.7,89.7,1190.8
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-SORT-01,Sortieranlagen,133,3303.0,117.0,3136.2,49.8,x,3346.9,18.0,2416.4,79.4,833.2
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-ZERL-01,Zerlegeeinrichtungen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-SONST-01,Sonstige Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-BERGB-01,Naturbelassene Stoffe im Bergbau,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-LAG-01,Abfaelle in untertaegigen Abbaustaetten,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-LAG-02,Abfaelle in uebertaegigen Abbaustaetten,1204,28407.7,902.6,27504.8,0.3,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-DEPO-01,Deponien,-,-,-,-,-,x,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-THERM-01,Thermische Abfallbehandlungsanlagen,2,.,.,.,.,x,.,.,.,.,.
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-FEUER-01,Feuerungsanlagen,6,278.4,32.5,191.9,54.0,x,.,.,.,.,.
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-CHEM-01,Chemisch-physikalische Behandlungsanlagen,4,40.8,-,40.8,-,x,6.3,5.7,0.4,0.2,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-BODEN-01,Bodenbehandlungsanlagen,3,507.6,-,507.6,-,x,515.8,134.9,380.9,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-BIO-01,Biologische Behandlungsanlagen,7,86.4,2.5,83.9,-,x,87.1,-,38.1,-,49.0
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-MECH-01,Mechanisch-biologische Abfallbehandlungsanlagen,-,-,-,-,-,x,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-DEM-01,Demontagebetriebe fuer Altfahrzeuge,11,1.3,-,1.3,0.0,x,1.8,0.0,1.8,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-SCHR-01,Schredderanlagen und Schrottscheren,4,213.7,-,213.7,-,x,232.3,6.0,225.8,0.5,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-SORT-01,Sortieranlagen,18,855.7,0.1,855.6,-,x,847.6,93.2,481.1,5.0,268.3
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-ZERL-01,Zerlegeeinrichtungen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-SONST-01,Sonstige Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-BERGB-01,Naturbelassene Stoffe im Bergbau,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-LAG-01,Abfaelle in untertaegigen Abbaustaetten,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-LAG-02,Abfaelle in uebertaegigen Abbaustaetten,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-DEPO-01,Deponien,17,3274.3,170.5,3103.8,-,x,208.8,64.3,143.5,-,1.0
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-THERM-01,Thermische Abfallbehandlungsanlagen,4,82.6,43.2,37.9,1.6,x,22.9,12.5,10.4,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-FEUER-01,Feuerungsanlagen,21,3971.1,508.1,3303.9,159.1,x,761.1,166.1,515.6,15.2,64.2
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-CHEM-01,Chemisch-physikalische Behandlungsanlagen,11,262.1,31.4,230.8,-,x,182.8,21.2,114.4,0.4,46.9
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-BODEN-01,Bodenbehandlungsanlagen,6,28.0,0.5,27.5,-,x,38.4,9.6,9.5,-,19.4
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-BIO-01,Biologische Behandlungsanlagen,72,538.8,9.8,529.0,-,x,483.1,1.4,36.0,1.2,444.5
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-MECH-01,Mechanisch-biologische Abfallbehandlungsanlagen,5,217.0,0.0,217.0,-,x,173.6,19.7,130.1,17.8,6.1
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-DEM-01,Demontagebetriebe fuer Altfahrzeuge,58,15.8,-,15.6,0.2,x,16.7,0.0,16.2,0.1,0.4
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-SCHR-01,Schredderanlagen und Schrottscheren,16,641.5,8.2,564.9,68.5,x,647.1,18.3,374.5,0.0,254.3
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-SORT-01,Sortieranlagen,45,499.3,0.9,498.5,-,x,420.4,21.7,223.1,27.5,148.0
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-ZERL-01,Zerlegeeinrichtungen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-SONST-01,Sonstige Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-BERGB-01,Naturbelassene Stoffe im Bergbau,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-LAG-01,Abfaelle in untertaegigen Abbaustaetten,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-LAG-02,Abfaelle in uebertaegigen Abbaustaetten,37,985.4,11.5,973.9,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2020,DLAND,Bundeslaender,04,Bremen,ANLAT1,Anlagenart,ANL-DEPO-01,Deponien,8,216.0,107.8,108.1,-,x,-,-,-,-,-
