AGS,Name,waste_organicwaste_kg_per_person_biotonne_2004,waste_organicwaste_kg_per_person_biotonne_2005,waste_organicwaste_kg_per_person_biotonne_2006,waste_organicwaste_kg_per_person_biotonne_2007,waste_organicwaste_kg_per_person_biotonne_2008,waste_organicwaste_kg_per_person_biotonne_2009,waste_organicwaste_kg_per_person_biotonne_2010,waste_organicwaste_kg_per_person_biotonne_2011,waste_organicwaste_kg_per_person_biotonne_2012,waste_organicwaste_kg_per_person_biotonne_2013,waste_organicwaste_kg_per_person_biotonne_2014,waste_organicwaste_kg_per_person_biotonne_2015,waste_organicwaste_kg_per_person_biotonne_2016,waste_organicwaste_kg_per_person_biotonne_2017,waste_organicwaste_kg_per_person_biotonne_2018,waste_organicwaste_kg_per_person_biotonne_2019,waste_organicwaste_kg_per_person_biotonne_2020,waste_organicwaste_kg_per_person_gartenPark_2004,waste_organicwaste_kg_per_person_gartenPark_2005,waste_organicwaste_kg_per_person_gartenPark_2006,waste_organicwaste_kg_per_person_gartenPark_2007,waste_organicwaste_kg_per_person_gartenPark_2008,waste_organicwaste_kg_per_person_gartenPark_2009,waste_organicwaste_kg_per_person_gartenPark_2010,waste_organicwaste_kg_per_person_gartenPark_2011,waste_organicwaste_kg_per_person_gartenPark_2012,waste_organicwaste_kg_per_person_gartenPark_2013,waste_organicwaste_kg_per_person_gartenPark_2014,waste_organicwaste_kg_per_person_gartenPark_2015,waste_organicwaste_kg_per_person_gartenPark_2016,waste_organicwaste_kg_per_person_gartenPark_2017,waste_organicwaste_kg_per_person_gartenPark_2018,waste_organicwaste_kg_per_person_gartenPark_2019,waste_organicwaste_kg_per_person_gartenPark_2020,waste_organicwaste_kg_per_person_sum_2004,waste_organicwaste_kg_per_person_sum_2005,waste_organicwaste_kg_per_person_sum_2006,waste_organicwaste_kg_per_person_sum_2007,waste_organicwaste_kg_per_person_sum_2008,waste_organicwaste_kg_per_person_sum_2009,waste_organicwaste_kg_per_person_sum_2010,waste_organicwaste_kg_per_person_sum_2011,waste_organicwaste_kg_per_person_sum_2012,waste_organicwaste_kg_per_person_sum_2013,waste_organicwaste_kg_per_person_sum_2014,waste_organicwaste_kg_per_person_sum_2015,waste_organicwaste_kg_per_person_sum_2016,waste_organicwaste_kg_per_person_sum_2017,waste_organicwaste_kg_per_person_sum_2018,waste_organicwaste_kg_per_person_sum_2019,waste_organicwaste_kg_per_person_sum_2020,waste_organicwaste_weight_biotonne_2004,waste_organicwaste_weight_biotonne_2005,waste_organicwaste_weight_biotonne_2006,waste_organicwaste_weight_biotonne_2007,waste_organicwaste_weight_biotonne_2008,waste_organicwaste_weight_biotonne_2009,waste_organicwaste_weight_biotonne_2010,waste_organicwaste_weight_biotonne_2011,waste_organicwaste_weight_biotonne_2012,waste_organicwaste_weight_biotonne_2013,waste_organicwaste_weight_biotonne_2014,waste_organicwaste_weight_biotonne_2015,waste_organicwaste_weight_biotonne_2016,waste_organicwaste_weight_biotonne_2017,waste_organicwaste_weight_biotonne_2018,waste_organicwaste_weight_biotonne_2019,waste_organicwaste_weight_biotonne_2020,waste_organicwaste_weight_gartenPark_2004,waste_organicwaste_weight_gartenPark_2005,waste_organicwaste_weight_gartenPark_2006,waste_organicwaste_weight_gartenPark_2007,waste_organicwaste_weight_gartenPark_2008,waste_organicwaste_weight_gartenPark_2009,waste_organicwaste_weight_gartenPark_2010,waste_organicwaste_weight_gartenPark_2011,waste_organicwaste_weight_gartenPark_2012,waste_organicwaste_weight_gartenPark_2013,waste_organicwaste_weight_gartenPark_2014,waste_organicwaste_weight_gartenPark_2015,waste_organicwaste_weight_gartenPark_2016,waste_organicwaste_weight_gartenPark_2017,waste_organicwaste_weight_gartenPark_2018,waste_organicwaste_weight_gartenPark_2019,waste_organicwaste_weight_gartenPark_2020,waste_organicwaste_weight_sum_2004,waste_organicwaste_weight_sum_2005,waste_organicwaste_weight_sum_2006,waste_organicwaste_weight_sum_2007,waste_organicwaste_weight_sum_2008,waste_organicwaste_weight_sum_2009,waste_organicwaste_weight_sum_2010,waste_organicwaste_weight_sum_2011,waste_organicwaste_weight_sum_2012,waste_organicwaste_weight_sum_2013,waste_organicwaste_weight_sum_2014,waste_organicwaste_weight_sum_2015,waste_organicwaste_weight_sum_2016,waste_organicwaste_weight_sum_2017,waste_organicwaste_weight_sum_2018,waste_organicwaste_weight_sum_2019,waste_organicwaste_weight_sum_2020,Unit
0,Deutschland,10634192.0,5300612.0,5333580.0,10168446.0,4974001.0,5194445.0,9930936.0,4811882.0,5119053.0,10317997.0,4903529.0,5414469.0,10183430.0,4828720.0,5354710.0,9665788.0,4569273.0,5096515.0,9831464.0,4602885.0,5228579.0,9056407.0,4292009.0,4764398.0,9095550.0,4358529.0,4737021.0,9083156.0,4349715.0,4733441.0,8779647.0,4204277.0,4575369.0,9096458.0,4324956.0,4771502.0,8743005.0,4212330.0,4530675.0,8780169.0,4215167.0,4565002.0,8449750.0,4150037.0,4299713.0,8337073.0,4082797.0,4254278.0,8411408.0,4121133.0,4290276.0,127.88392803316975,63.74373187354113,64.14019615962864,122.26581859176805,59.80759537310548,62.458223218662575,119.62214096151453,57.961064988655096,61.66106392745496,124.62500309962209,59.22683606363588,65.39817911439668,123.40312669209378,58.51458162138366,64.88854507071011,117.62345659331537,55.60371119028349,62.01974540303187,121.08081554247144,56.68749533621938,64.39332020625207,112.12939794828024,53.14032211213567,58.989075836144565,112.9548791731572,54.1272508608827,58.82762831227449,113.0759798276813,54.14949226856422,58.92648755911707,107.39418904598347,51.42745704237087,55.96671977143641,111.20057482032556,52.8708639420548,58.32971087827075,106.61894885068912,51.368402146884655,55.25054670380447,106.79153478581539,51.268278925897796,55.5232558599176,102.65151733271735,50.41659161950571,52.23492571321165,101.13143824034051,49.5256707783832,51.60579172261529,101.95541139219064,49.952613214925826,52.0028102983522,Kg per person
1,Schleswig-Holstein,357418.0,289453.0,67965.0,349582.0,272217.0,77366.0,329004.0,260503.0,68502.0,349171.0,264628.0,84544.0,339046.0,259106.0,79940.0,317409.0,245857.0,71552.0,290647.0,224578.0,66069.0,268664.0,209327.0,59337.0,268689.0,215752.0,52937.0,266092.0,214194.0,51897.0,255594.0,202826.0,52768.0,268378.0,207825.0,60553.0,258066.0,205373.0,52693.0,278009.0,206930.0,71079.0,279705.0,199807.0,79898.0,269548.0,199457.0,70091.0,280514.0,198751.0,81764.0,122.78713445269892,99.43848499162624,23.3486494610727,120.38888714785901,93.745964302306,26.643267225089563,113.57842961260906,89.93058336486332,23.64819146673884,120.8278990290402,91.57245379558111,29.255791275653404,117.64563004046599,89.907235647272,27.738394393193996,111.03209345181085,86.00265713883935,25.029436312971498,102.67077471754206,79.33196366904238,23.338811048499682,95.40777462708033,74.33606005777791,21.071714569302422,95.73705047262973,76.87497483548195,18.862075637147782,94.95601059999301,76.43599858114825,18.5196551647845,90.18018466202277,71.56226724516002,18.61791741686275,94.7653394547439,73.38383426429198,21.38150519045193,91.05233817645524,72.46088926210017,18.59144891435507,97.9811254988329,72.93013643253812,25.050989066294775,98.6873441829843,70.49721020063834,28.19013398234597,95.14746112709368,70.40611376833336,24.741347358760304,99.16500516127208,70.260820995772,28.90453767728616,Kg per person
2,Hamburg,102429.0,76552.0,25877.0,91600.0,69470.0,22130.0,85630.0,63270.0,22360.0,97200.0,69100.0,28100.0,92900.0,65800.0,27100.0,87000.0,62000.0,25000.0,79300.0,58500.0,20800.0,71600.0,54100.0,17500.0,67900.0,53700.0,14200.0,55100.0,43200.0,11900.0,37200.0,28100.0,9100.0,36100.0,26700.0,9400.0,35000.0,25900.0,9100.0,37800.0,26800.0,11000.0,35700.0,25600.0,10100.0,36200.0,26200.0,10000.0,37300.0,27200.0,10100.0,55.292964342896376,41.324107492774544,13.968856850121837,49.58714372097379,37.60719295083023,11.97995077014356,46.50824281615204,34.36385055445451,12.144392261697533,53.09780922372314,37.74751663949865,15.350292584224489,51.313549538840874,36.34479612115963,14.968753417681247,48.673833842077464,34.68709997941153,13.986733862665938,44.98548041146115,33.18601013960249,11.79947027185866,40.99998740223851,30.979040760629932,10.020946641608575,39.15187467709794,30.96400103328659,8.18787364381135,32.06868635369724,25.142781315421427,6.925905038275811,20.82344406330327,15.729537047817793,5.0939070154854775,20.346923500076652,15.048832616400183,5.298090883676469,19.75057840979629,14.615428023249253,5.135150386547035,21.348345700878053,15.13586414771248,6.212481553165571,20.351366049816953,14.593696663174061,5.757669386642891,20.761321085300928,15.02614951477581,5.735171570525118,21.50066577128595,15.678769677720583,5.821896093565364,Kg per person
3,Niedersachsen,1329956.0,572939.0,757017.0,1258621.0,533336.0,725285.0,1271927.0,501369.0,770558.0,1324863.0,534074.0,790789.0,1296986.0,520667.0,776319.0,1261341.0,511757.0,749584.0,1278372.0,518537.0,759835.0,1142324.0,472995.0,669329.0,1173902.0,485936.0,687966.0,1192390.0,490789.0,701601.0,1143422.0,473592.0,669830.0,1191095.0,481892.0,709202.0,1208146.0,485871.0,722275.0,1208297.0,493127.0,715170.0,1146005.0,484514.0,661492.0,1121577.0,484742.0,636835.0,1105169.0,497938.0,607231.0,166.17344008268464,71.58676271059589,94.58667737208876,157.45343029080237,66.72030952731232,90.73312076349002,159.34046798676297,62.80892778756591,96.53154019919704,166.38207157680583,67.07134133515012,99.3107302416557,163.23148979603394,65.52827100495426,97.70321879107968,159.12764099710355,64.5619893222806,94.56565167482296,163.3339248951575,66.25198566095024,97.08193923420724,146.62927268762098,60.7138717516933,85.91540093592769,150.90664025365743,62.46770951774619,88.43893073591126,153.37679388617786,63.13005249507574,90.24674139110215,144.40258777996723,59.80986053433486,84.59272724563236,150.22358322145237,60.77730404858733,89.44615305061349,152.02075084142376,61.13704323159073,90.88370760983304,151.57361982737902,61.85982786071299,89.71379196666601,143.56134558735565,60.69561807837839,82.86585278011096,140.3032995219132,60.6386382895256,79.6646612323876,138.1304299298992,62.23517852783977,75.89525140205944,Kg per person
4,Bremen,56822.0,25144.0,31678.0,56126.0,23069.0,33057.0,53216.0,22398.0,30818.0,58638.0,23055.0,35583.0,58264.0,23051.0,35213.0,57327.0,23030.0,34297.0,58544.0,22851.0,35693.0,55639.0,21813.0,33826.0,57770.0,22209.0,35561.0,56992.0,22778.0,34214.0,56643.0,22077.0,34566.0,59446.0,23135.0,36311.0,58128.0,23106.0,35022.0,59397.0,23942.0,35455.0,56972.0,23318.0,33654.0,58026.0,23721.0,34305.0,57008.0,24058.0,32950.0,83.54579271609839,36.96940290826753,46.57638980783085,82.39259426719241,33.86513838773227,48.527455879460135,77.91667764785808,32.79423004278272,45.12244760507536,86.10168097828003,33.8530348060003,52.24864617227971,85.83976792736091,33.96080753970885,51.878960387652064,85.37295473194646,34.296913277805,51.07604145414147,88.45000966930962,34.52396780119899,53.926041868110616,84.63608415691728,33.18116615530179,51.454918001615475,88.22891562584952,33.91857343144352,54.31034219440601,87.38664973887657,34.9258335863302,52.46081615254637,85.73102105929112,33.41425687068076,52.316764188610364,89.83612304976756,34.962128768232894,54.87399428153468,87.82442367488282,34.91038971634742,52.91403395853542,89.57715636980042,36.10714813552472,53.4700082342757,85.80391849742236,35.11858055751763,50.68533793990473,87.4587583105113,35.7530969889987,51.7056613215126,85.95730180198518,36.274922234636534,49.682379567348654,Kg per person
5,Nordrhein-Westfalen,2084318.0,1279460.0,804858.0,2016722.0,1219527.0,797194.0,2007257.0,1198180.0,809076.0,2061599.0,1249629.0,811970.0,2079359.0,1253756.0,825603.0,2014262.0,1226215.0,788047.0,2121521.0,1272584.0,848937.0,1888176.0,1158930.0,729246.0,1906972.0,1194411.0,712562.0,1900434.0,1217017.0,683417.0,1865978.0,1188720.0,677258.0,1955568.0,1227430.0,728138.0,1900750.0,1184326.0,716424.0,1955606.0,1166044.0,789562.0,1864232.0,1151220.0,713013.0,1844052.0,1135107.0,708947.0,1841339.0,1125613.0,715726.0,116.27624672465087,71.37625191277041,44.899994811880454,112.36959749924515,67.95074290331635,44.41879887699606,111.93308786302705,66.81555337244895,45.117478726374586,115.09510815405915,69.76438429949218,45.33072385456696,116.22959066746414,70.0809945165203,46.14859615094382,112.74580594257674,68.63585692123306,44.10994902134369,120.28059941610485,72.14972952299053,48.13086989311432,107.4545568777709,65.95376151500444,41.50079536276646,108.6325771836679,68.04082343449299,40.59181071518028,108.31808012088729,69.36570536755387,38.952374753333416,104.56497041157505,66.61304239795297,37.95192801362207,109.41609867483835,68.67600717359706,40.7400915012413,105.99136879230454,66.04147512103899,39.94989367126554,108.66517664621597,64.79238519275368,43.87279145346229,103.40331509486656,63.85469426740463,39.548676294439794,102.1176917511555,62.85858898262027,39.2592135221276,101.87015998360641,62.273365409426056,39.59679457418035,Kg per person
6,Hessen,835220.0,576702.0,258518.0,842927.0,557054.0,285873.0,801170.0,533653.0,267517.0,865765.0,569102.0,296664.0,860245.0,563827.0,296419.0,801276.0,530325.0,270951.0,828932.0,520772.0,308160.0,762050.0,483093.0,278957.0,764674.0,498348.0,266327.0,768178.0,493305.0,274873.0,779074.0,487607.0,291467.0,788947.0,505265.0,283682.0,742185.0,489795.0,252389.0,742627.0,476025.0,266602.0,722314.0,469237.0,253077.0,705354.0,457968.0,247386.0,727788.0,464298.0,263490.0,132.71882429700594,91.6395816787576,41.07924261824834,134.05157059070496,88.58888563758731,45.462684953117645,127.8637762498027,85.16904999817262,42.69472625163008,138.67189940130655,91.15459194248135,47.51746763150417,138.45691546619008,90.74827203477562,47.7088043819756,129.73667184139302,85.86629387912124,43.870377962271775,136.02678618313956,85.45808521587531,50.56870096726425,126.0539995120277,79.91051084084245,46.14348867118524,127.09655361664069,82.83047848069327,44.26624134606259,128.162720931447,82.30294417320916,45.85977675823784,128.41129114272061,80.37008607684068,48.04120506587994,130.14737334564398,83.35022833407925,46.79714501156476,122.37275375423356,80.75825154786854,41.6143373246256,122.2923464670143,78.38957407549212,43.902772391522184,118.89239796364296,77.23609419624421,41.65630376739877,115.77692300874178,75.1709437764122,40.605979232329574,119.35323844064177,76.14232427782966,43.21091416281212,Kg per person
7,Rheinland-Pfalz,777525.0,358028.0,419496.0,712212.0,339254.0,372958.0,705430.0,334298.0,371131.0,704839.0,331611.0,373228.0,699272.0,330129.0,369144.0,658783.0,304172.0,354612.0,642448.0,304587.0,337862.0,588708.0,292006.0,296702.0,587572.0,296193.0,291379.0,587785.0,295991.0,291794.0,582766.0,294028.0,288739.0,590485.0,302126.0,288359.0,555620.0,296086.0,259534.0,548554.0,298229.0,250325.0,535713.0,302023.0,233690.0,523152.0,298432.0,224720.0,532518.0,300180.0,232338.0,189.7146953523956,87.35818519999677,102.3562661542054,173.96894845823167,82.86810899036934,91.10083946786233,172.6944774390405,81.83862100976194,90.85561162188813,173.02271484817533,81.40332117479065,91.61939367338468,171.97808292218522,81.19151422767978,90.78681463325735,162.54996850328033,75.05225395855658,87.4979612875336,160.14829062449675,75.92690365048003,84.22163625223166,147.38459119670054,73.1044676426747,74.28012355402585,147.2508932961563,74.22866276484996,73.02223053130633,147.3133179600269,74.18259447979503,73.13072348023186,145.55522392160339,73.43824344457502,72.11723024318482,147.15495274349405,75.2929155737756,71.86203716971845,137.92740503496344,73.50054650153376,64.42685853342968,135.59130155577247,73.71609407948254,61.87520747628992,132.18147184950874,74.5209555721145,57.66051627739424,128.89190343159368,73.52637192421584,55.365531507377845,131.12638062793255,73.91584310181588,57.21053752611666,Kg per person
8,"Baden-Württemberg, Land",1595726.0,606069.0,989657.0,1557680.0,568440.0,989240.0,1509282.0,553194.0,956088.0,1546123.0,544921.0,1001202.0,1536466.0,535571.0,1000895.0,1449178.0,482261.0,966917.0,1481917.0,487683.0,994234.0,1379047.0,473079.0,905968.0,1385878.0,467317.0,918561.0,1372505.0,447078.0,925427.0,1294901.0,439571.0,855330.0,1351901.0,448537.0,903364.0,1286150.0,437087.0,849063.0,1285704.0,443005.0,842699.0,1232422.0,433693.0,798729.0,1239286.0,435689.0,803597.0,1220544.0,434703.0,785841.0,143.71969918516933,54.58584642066144,89.13385276450789,140.32655057108784,51.20899312222611,89.11755744886173,136.34558928547392,49.97446595082195,86.37112333465197,140.257950682297,49.433002900641135,90.82494778165588,140.2922764128539,48.90213956619189,91.39013684666203,133.20118408569124,44.327015893388904,88.87416819230235,138.2818165836245,45.507063591923,92.7747529917015,129.71601344636082,44.49878932711571,85.21722411924512,131.12531413474605,44.21535548259452,86.90995865215153,130.56006687695086,42.52846698497523,88.0315998919756,120.41244648443167,40.87557235156055,79.5368741328711,125.81767702154347,41.74409472158986,84.07358229995363,119.64735867862207,40.66112433445779,78.98623434416429,119.60309793106913,41.210706662616964,78.39239126845217,114.76397678575901,40.38578780981367,74.37818897594535,115.43596454483969,40.58319060860581,74.85277393623387,113.88413572334906,40.56041851121058,73.32371721213849,Kg per person
9,Bayern,2026713.0,787120.0,1239593.0,1946738.0,739930.0,1206808.0,1925766.0,744390.0,1181376.0,1979653.0,722923.0,1256730.0,1983508.0,726665.0,1256843.0,1852017.0,684255.0,1167762.0,1895439.0,695155.0,1200284.0,1792715.0,661213.0,1131502.0,1808247.0,656971.0,1151276.0,1781611.0,645959.0,1135652.0,1733673.0,622673.0,1111000.0,1772243.0,637430.0,1134813.0,1715531.0,620858.0,1094673.0,1651592.0,618146.0,1033446.0,1630232.0,604374.0,1025858.0,1597053.0,590715.0,1006338.0,1677330.0,600550.0,1076780.0,154.2378062771272,59.901753270863885,94.33605300626331,148.3258674059526,56.37674873027932,91.94911867567328,147.26673452771533,56.92482083237839,90.34191369533693,152.31375917466556,55.621424423283656,96.6923347513819,153.39464815307323,56.19665864728197,97.19798950579127,144.1986204087137,53.27630740309856,90.92231300561512,149.34632190443293,54.772979981669714,94.5733419227632,142.23106122033184,52.45955251262988,89.77150870770194,144.43362316488322,52.47552012764655,91.95810303723665,143.1775084759983,51.91189333566496,91.26561514033335,138.2658132871233,49.660108196259,88.6057050908643,141.66235889362162,50.95228895222676,90.71006994139483,137.02621973895918,49.590374487369054,87.43584525159014,131.91279592266403,49.371374497097996,82.54142142556603,130.49520766517423,48.37833549913877,82.11687216603545,128.0846976667865,47.37573028711995,80.70896737966655,134.79141937334242,48.26062069161154,86.53079868173087,Kg per person
