,Abfall,weight,Jahr
2,Getrennt erfasste organische Abfälle,10634192.0,2020
3,Abfälle aus der Biotonne,5300612.0,2020
4,biolog. abbaubare Garten- und Parkabfälle,5333580.0,2020
3768,Getrennt erfasste organische Abfälle,10168446.0,2019
3769,Abfälle aus der Biotonne,4974001.0,2019
3770,biolog. abbaubare Garten- und Parkabfälle,5194445.0,2019
7534,Getrennt erfasste organische Abfälle,9930936.0,2018
7535,Abfälle aus der Biotonne,4811882.0,2018
7536,biolog. abbaubare Garten- und Parkabfälle,5119053.0,2018
11300,Getrennt erfasste organische Abfälle,10317997.0,2017
11301,Abfälle aus der Biotonne,4903529.0,2017
11302,biolog. abbaubare Garten- und Parkabfälle,5414469.0,2017
15066,Getrennt erfasste organische Abfälle,10183430.0,2016
15067,Abfälle aus der Biotonne,4828720.0,2016
15068,biolog. abbaubare Garten- und Parkabfälle,5354710.0,2016
18832,Getrennt erfasste organische Abfälle,9665788.0,2015
18833,Abfälle aus der Biotonne,4569273.0,2015
18834,biolog. abbaubare Garten- und Parkabfälle,5096515.0,2015
22598,Getrennt erfasste organische Abfälle,9831464.0,2014
22599,Abfälle aus der Biotonne,4602885.0,2014
22600,biolog. abbaubare Garten- und Parkabfälle,5228579.0,2014
26364,Getrennt erfasste organische Abfälle,9056407.0,2013
26365,Abfälle aus der Biotonne,4292009.0,2013
26366,biolog. abbaubare Garten- und Parkabfälle,4764398.0,2013
30130,Getrennt erfasste organische Abfälle,9095550.0,2012
30131,Abfälle aus der Biotonne,4358529.0,2012
30132,biolog. abbaubare Garten- und Parkabfälle,4737021.0,2012
33896,Getrennt erfasste organische Abfälle,9083156.0,2011
33897,Abfälle aus der Biotonne,4349715.0,2011
33898,biolog. abbaubare Garten- und Parkabfälle,4733441.0,2011
37662,Getrennt erfasste organische Abfälle,8779647.0,2010
37663,Abfälle aus der Biotonne,4204277.0,2010
37664,biolog. abbaubare Garten- und Parkabfälle,4575369.0,2010
41428,Getrennt erfasste organische Abfälle,9096458.0,2009
41429,Abfälle aus der Biotonne,4324956.0,2009
41430,biolog. abbaubare Garten- und Parkabfälle,4771502.0,2009
45194,Getrennt erfasste organische Abfälle,8743005.0,2008
45195,Abfälle aus der Biotonne,4212330.0,2008
45196,biolog. abbaubare Garten- und Parkabfälle,4530675.0,2008
48960,Getrennt erfasste organische Abfälle,8780169.0,2007
48961,Abfälle aus der Biotonne,4215167.0,2007
48962,biolog. abbaubare Garten- und Parkabfälle,4565002.0,2007
52726,Getrennt erfasste organische Abfälle,8449750.0,2006
52727,Abfälle aus der Biotonne,4150037.0,2006
52728,biolog. abbaubare Garten- und Parkabfälle,4299713.0,2006
56492,Getrennt erfasste organische Abfälle,8337073.0,2005
56493,Abfälle aus der Biotonne,4082797.0,2005
56494,biolog. abbaubare Garten- und Parkabfälle,4254278.0,2005
60258,Getrennt erfasste organische Abfälle,8411408.0,2004
60259,Abfälle aus der Biotonne,4121133.0,2004
60260,biolog. abbaubare Garten- und Parkabfälle,4290276.0,2004
