Klimakennwert,Jahreszeit,Landkreis Name,Landkreis Kennziffer (Kreisschlüssel),Median der Änderungen,Minimum,Maximum,Einheit,HYRAS Beobachtungen 1971-2000,Experteneinschätzung zur Belastbarkeit 
Niederschlag,ganzes Jahr,Region um  Wuppertal,05124_05122_05120_05158_05954_05374,5.2,-8.1,31.6,%, 1110.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Saalfeld-Rudolstadt,16073,9.0,-8.6,25.3,%, 701.9,Zunahme 
Niederschlag,ganzes Jahr,Sonneberg,16072,5.1,-9.6,26.6,%, 1022.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Weimarer Land,16071,9.8,-4.1,29.4,%, 587.9,Zunahme 
Niederschlag,ganzes Jahr,Ilm-Kreis,16070,9.0,-8.3,25.8,%, 742.4,Zunahme 
Niederschlag,ganzes Jahr,Altenburger Land,16077,10.3,-10.0,32.3,%, 606.7,Zunahme 
Niederschlag,ganzes Jahr,Greiz,16076,9.6,-9.8,27.6,%, 632.9,Zunahme 
Niederschlag,ganzes Jahr,Saale-Orla-Kreis,16075,9.3,-9.4,25.2,%, 686.0,Zunahme 
Niederschlag,ganzes Jahr,Saale-Holzland-Kreis,16074,10.3,-5.4,29.8,%, 612.9,Zunahme 
Niederschlag,ganzes Jahr,Region um  Bottrop,05512_05119_05513_05113_05170_05562,6.5,-6.5,30.8,%, 801.6,Zunahme 
Niederschlag,ganzes Jahr,Region um Dessau-Rolau ,15001_15091_15082,12.5,-4.9,33.0,%, 541.7,Zunahme 
Niederschlag,ganzes Jahr,Region um  Augsburg,09761_09772_09771,8.8,-8.0,25.8,%, 851.6,Zunahme 
Niederschlag,ganzes Jahr,Region um Jena ,16053_16074_16071_16055,9.9,-4.0,29.7,%, 599.9,Zunahme 
Niederschlag,ganzes Jahr,Region um Ingolstadt ,09161_09176_09185_09186,10.1,-8.1,26.6,%, 755.4,Zunahme 
Niederschlag,ganzes Jahr,Ostprignitz-Ruppin,12068,10.7,-1.7,31.9,%, 551.9,Zunahme 
Niederschlag,ganzes Jahr,Odenwaldkreis,06437,6.5,-7.5,29.3,%, 964.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Hochtaunuskreis,06434,6.0,-3.4,23.3,%, 791.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Main-Kinzig-Kreis,06435,7.1,-8.5,35.2,%, 845.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Darmstadt-Dieburg,06432,8.2,-3.1,35.6,%, 744.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Groß-Gerau,06433,11.6,-4.3,40.5,%, 606.3,Zunahme 
Niederschlag,ganzes Jahr,Bergstraße,06431,7.9,-5.1,39.0,%, 854.5,Tendenz zur Zunahme 
