"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE934129194374";"BHKW";"In Planung";"";"4/5/2019";"Erdgas";"5,5";"5,35";"16348";"Wandlitz";"Maria und Benjamin Maaß";"ABR936976977681";"4/5/2019"
"SEE928007138819";"WEA 1";"In Planung";"";"2/10/2020";"Wind";"5600";"5600";"16356";"Werneuchen";"MLK Windfeld Blumberg Nr. 65 GmbH & Co. KG";"ABR980559184607";"4/26/2021"
"SEE977270958341";"WEA 2";"In Planung";"";"2/10/2020";"Wind";"5600";"5600";"16356";"Werneuchen";"MLK Windfeld Blumberg Nr. 65 GmbH & Co. KG";"ABR980559184607";"4/26/2021"
"SEE952577563313";"WKA 4";"In Planung";"";"5/11/2020";"Wind";"3300";"3300";"16321";"Bernau";"MBBF Windparkplanung GmbH & Co. KG";"ABR909682406875";"5/18/2021"
"SEE951426932003";"WKA 7";"In Planung";"";"5/11/2020";"Wind";"3300";"3300";"16321";"Bernau";"MBBF Windparkplanung GmbH & Co. KG";"ABR909682406875";"5/18/2021"
"SEE904284115071";"WKA 9";"In Planung";"";"5/11/2020";"Wind";"3300";"3300";"16321";"Bernau";"MBBF Windparkplanung GmbH & Co. KG";"ABR909682406875";"5/18/2021"
"SEE939978024063";"WKA 10";"In Planung";"";"5/11/2020";"Wind";"3300";"3300";"16321";"Bernau";"MBBF Windparkplanung GmbH & Co. KG";"ABR909682406875";"5/18/2021"
"SEE950682552819";"Blumberg WEA 2";"In Planung";"";"6/4/2020";"Wind";"3600";"3600";"16356";"Ahrensfelde";"PROKON Windpark Blumberg GmbH & Co.KG";"ABR963913170188";"7/13/2021"
"SEE966981096046";"Blumberg WEA 3";"In Planung";"";"6/4/2020";"Wind";"3600";"3600";"16356";"Ahrensfelde";"PROKON Windpark Blumberg GmbH & Co.KG";"ABR963913170188";"7/13/2021"
"SEE903615307437";"Blumberg WEA 4";"In Planung";"";"6/4/2020";"Wind";"3600";"3600";"16356";"Ahrensfelde";"PROKON Windpark Blumberg GmbH & Co.KG";"ABR963913170188";"7/13/2021"
"SEE942409927567";"Blumberg WEA 8";"In Planung";"";"6/4/2020";"Wind";"3600";"3600";"16356";"Werneuchen";"PROKON Windpark Blumberg GmbH & Co.KG";"ABR963913170188";"7/13/2021"
"SEE934223370551";"PowerWall E.Krechlok 16227";"In Planung";"";"8/26/2020";"Speicher";"4,6";"4,6";"16227";"Eberswalde";"(natürliche Person)";"ABR928321116890";"8/26/2020"
"SEE952160184253";"WEA 01";"In Planung";"";"9/1/2020";"Wind";"5700";"5700";"16230";"Breydin";"Denker & Wulf AG";"ABR933776283783";"1/14/2022"
"SEE996583341275";"WEA 02";"In Planung";"";"9/1/2020";"Wind";"5700";"5700";"16230";"Breydin";"Denker & Wulf AG";"ABR933776283783";"1/14/2022"
"SEE928136790766";"WEA 3";"In Planung";"";"9/9/2020";"Wind";"5700";"5700";"16230";"Breydin";"Windpark Klobbicke GmbH & Co. KG";"ABR955009338183";"4/20/2022"
"SEE911868784059";"Speicher Stadt+Land Werbung";"In Planung";"";"10/28/2020";"Speicher";"4,6";"4,6";"16348";"Wandlitz";"Stadt+Land Werbung";"ABR918406222929";"10/28/2020"
"SEE936422867061";"Klobbicke /  WEA 4";"In Planung";"";"11/4/2020";"Wind";"5700";"5700";"16230";"Breydin";"Windpark Klobbicke GmbH & Co. KG";"ABR955009338183";"3/26/2021"
"SEE959131924825";"Tesla Power Wall2 Kohls";"In Planung";"";"11/6/2020";"Speicher";"4,6";"4,6";"16227";"Eberswalde";"(natürliche Person)";"ABR969372933609";"11/6/2020"
"SEE971186471635";"PowerWall Lobedan";"In Planung";"";"11/6/2020";"Speicher";"4,6";"4,6";"16359";"Biesenthal";"(natürliche Person)";"ABR973375631240";"11/6/2020"
"SEE929571169377";"Jes-06208";"In Planung";"";"11/9/2020";"Speicher";"3";"3";"16225";"Eberswalde";"(natürliche Person)";"ABR979990252280";"11/9/2020"
"SEE942043130699";"DANrep";"In Planung";"";"4/7/2021";"Wind";"5700";"5700";"16359";"Biesenthal";"TEUT Windprojekte GmbH";"ABR971893778461";"4/7/2021"
"SEE978627975721";"JES-01379";"In Planung";"";"4/23/2021";"Speicher";"15";"12";"16341";"Panketal";"(natürliche Person)";"ABR956926087048";"4/23/2021"
