"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE906112316704";"Sonnen Energie";"In Planung";"";"4/16/2019";"Solare Strahlungsenergie";"4,16";"4,16";"16348";"Wandlitz";"(natürliche Person)";"ABR967321013754";"4/16/2019"
"SEE930590385280";"Südseite";"In Planung";"";"5/2/2019";"Solare Strahlungsenergie";"4,2";"4,2";"16321";"Bernau";"(natürliche Person)";"ABR962462173794";"5/2/2019"
"SEE950927917939";"PV Bernau";"In Planung";"";"3/2/2020";"Solare Strahlungsenergie";"6,8";"6,8";"16321";"Bernau";"Ingenieurbüro Kobert & Partner gmbH";"ABR910352175397";"3/16/2021"
"SEE909335684780";"PV-Anlage Mau Melchow Koppel";"In Planung";"";"5/8/2020";"Solare Strahlungsenergie";"79,2";"79,2";"16230";"Melchow";"(natürliche Person)";"ABR988117872386";"5/8/2020"
"SEE916323131683";"PV Anlage Brachlowstraße";"In Planung";"";"7/19/2020";"Solare Strahlungsenergie";"22,2";"22,2";"16227";"Eberswalde";"(natürliche Person)";"ABR928321116890";"8/26/2020"
"SEE911494513382";"PV-Anlage Stadt+Land Werbung";"In Planung";"";"10/28/2020";"Solare Strahlungsenergie";"33,3";"30";"16348";"Wandlitz";"Stadt+Land Werbung";"ABR918406222929";"10/28/2020"
"SEE949415731522";"PV-Anlage Kohls";"In Planung";"";"11/6/2020";"Solare Strahlungsenergie";"10,8";"10";"16227";"Eberswalde";"(natürliche Person)";"ABR969372933609";"11/6/2020"
"SEE970212154474";"PV- Anlage Lobedan";"In Planung";"";"11/6/2020";"Solare Strahlungsenergie";"11,1";"10";"16359";"Biesenthal";"(natürliche Person)";"ABR973375631240";"11/6/2020"
"SEE958657622550";"2.PV-Anlage Niederfinow Waldstraße 8";"In Planung";"";"11/12/2020";"Solare Strahlungsenergie";"22,2";"20";"16248";"Niederfinow";"Krechlok Elektrosysteme";"ABR921765011868";"11/12/2020"
"SEE938475208563";"2.PV-Anlage Stadt+Land Werbung";"In Planung";"";"11/12/2020";"Solare Strahlungsenergie";"79,92";"70";"16348";"Wandlitz";"Stadt+Land Werbung";"ABR918406222929";"11/12/2020"
