RCP,Einheit,2036-2065 Minimum,2036-2065 Median,2036-2065 Maximum,2067-2098 Minimum,2067-2098 Median,2067-2098 Maximum
RCP 8.5,Temperatur [°C],"1,2","2,0","3,2","2,6","3,5","5,3"
RCP 8.5,Sommertemperatur [°C] ,"1,1","1,6","4,1","2,3","3,3","6,9"
RCP 8.5,Wintertemperatur [°C] ,"1,2","2,5","3,7","2,7","4,1","5,6"
RCP 8.5,Sommertage [Tage/Jahr] ,"6,3","10,9","42,2","12,8","24,1","76,2"
RCP 8.5,Heiße Tage [Tage/Jahr] ,"0,5","3,5","22,5","1,5","8,1","47,5"
RCP 8.5,Tropische Nächte [Tage/Jahr] ,"0,0","1,5","17,3","0,4","5,4","42,2"
RCP 8.5,Frosttage [Tage/Jahr] ,"-48,0","-36,3","-23,1","-91,2","-59,3","-36,5"
RCP 8.5,Spätfrosttage [Tage/Jahr] ,"-11,9","-4,0","-0,8","-19,5","-5,5","-1,3"
RCP 8.5,Eistage [Tage/Jahr],"-32,7","-15,9","-6,7","-47,0","-22,0","-8,9"
RCP 8.5,Tage über 5 °C [Tage/Jahr] ,"23,2","34,4","45,9","45,3","61,7","76,5"
RCP 8.5,Maximale Dauer von Hitzeperioden [Tage],"0,0","1,1","6,9","1,0","2,7","16,1"
RCP 4.5,Temperatur [°C],"0,8","1,7","2,5","1,2","2,2","3,1"
RCP 4.5,Sommertemperatur [°C] ,"0,9","1,5","2,7","1,2","1,9","3,4"
RCP 4.5,Wintertemperatur [°C] ,"0,5","1,9","2,9","1,0","2,6","3,6"
RCP 4.5,Sommertage [Tage/Jahr] ,"4,5","9,6","31,0","6,8","12,2","36,6"
RCP 4.5,Heiße Tage [Tage/Jahr] ,"0,3","2,3","13,4","0,6","3,4","17,6"
RCP 4.5,Tropische Nächte [Tage/Jahr] ,"0,0","0,8","8,9","0,2","1,1","15,1"
RCP 4.5,Frosttage [Tage/Jahr] ,"-42,9","-28,2","-16,3","-53,5","-40,3","-15,1"
RCP 4.5,Spätfrosttage [Tage/Jahr] ,"-11,9","-3,9","-1,6","-14,7","-5,4","-1,5"
RCP 4.5,Eistage [Tage/Jahr],"-29,0","-15,3","-2,9","-33,8","-16,7","-6,2"
RCP 4.5,Tage über 5 °C [Tage/Jahr] ,"13,9","26,0","39,4","18,9","36,8","48,6"
RCP 4.5,Maximale Dauer von Hitzeperioden [Tage],"0,2","1,0","5,1","-0,3","0,9","4,8"
RCP 2.6,Temperatur [°C],"0,4","1,3","2,4","0,4","1,2","2,0"
RCP 2.6,Sommertemperatur [°C] ,"0,3","1,1","2,3","0,0","1,0","2,2"
RCP 2.6,Wintertemperatur [°C] ,"0,5","1,4","3,2","0,8","1,3","2,8"
RCP 2.6,Sommertage [Tage/Jahr] ,"1,8","6,8","25,5","0,5","7,7","23,4"
RCP 2.6,Heiße Tage [Tage/Jahr] ,"-0,1","1,7","11,7","-0,1","1,7","11,0"
RCP 2.6,Tropische Nächte [Tage/Jahr] ,"0,0","0,2","12,2","0,0","0,4","9,6"
RCP 2.6,Frosttage [Tage/Jahr] ,"-50,0","-23,1","-1,4","-39,2","-22,4","0,7"
RCP 2.6,Spätfrosttage [Tage/Jahr] ,"-6,9","-3,5","-0,9","-7,0","-3,6","-0,5"
RCP 2.6,Eistage [Tage/Jahr],"-34,4","-10,9","-1,7","-29,0","-10,8","-0,4"
RCP 2.6,Tage über 5 °C [Tage/Jahr] ,"5,3","21,6","31,3","4,8","21,0","26,2"
RCP 2.6,Maximale Dauer von Hitzeperioden [Tage],"-0,2","0,5","3,9","-0,1","0,5","3,5"
RCP 8.5,Niederschlag [%],"-3,0","7,3","17,7","-2,9","11,2","30,3"
RCP 8.5,Sommerniederschlag [%] ,"-23,9","3,8","29,8","-50,2","4,5","50,5"
RCP 8.5,Winterniederschlag [%] ,"-7,4","9,6","37,8","-7,6","18,5","48,5"
RCP 8.5,Trockentage [Tage/Jahr],"-16,1","-1,6","13,4","-19,4","-0,6","16,9"
RCP 8.5,Tage mit Niederschlag ≥ 20 mm/Tag [Tage/Jahr],"-0,2","0,7","1,4","0,3","1,2","2,7"
RCP 8.5,95. Perzentil des Niederschlags [mm/Tag] ,"0,3","1,3","3,2","0,6","2,2","5,0"
RCP 8.5,99. Perzentil des Niederschlags [mm/Tag] ,"-1,9","2,7","8,2","0,4","4,5","14,5"
RCP 8.5,Klimatische Wasserbilanz [mm/Tag],"-0,11","0,05","0,18","-0,11","0,07","0,30"
RCP 4.5,Niederschlag [%],"-1,7","5,3","16,7","-1,9","7,7","21,3"
RCP 4.5,Sommerniederschlag [%] ,"-11,9","1,7","37,2","-12,4","9,4","33,3"
RCP 4.5,Winterniederschlag [%] ,"-0,7","8,2","14,9","-0,2","6,8","19,1"
RCP 4.5,Trockentage [Tage/Jahr],"-8,9","-0,3","4,4","-13,4","0,5","5,5"
RCP 4.5,Tage mit Niederschlag ≥ 20 mm/Tag [Tage/Jahr],"-0,6","0,4","1,6","-0,3","0,7","1,6"
RCP 4.5,95. Perzentil des Niederschlags [mm/Tag] ,"-0,2","1,0","2,7","0,1","1,3","2,5"
RCP 4.5,99. Perzentil des Niederschlags [mm/Tag] ,"-2,8","1,9","7,2","-0,9","3,1","7,4"
RCP 4.5,Klimatische Wasserbilanz [mm/Tag],"-0,06","0,00","0,17","-0,07","0,04","0,19"
RCP 2.6,Niederschlag [%],"-5,5","2,5","11,5","-12,1","4,9","11,7"
RCP 2.6,Sommerniederschlag [%] ,"-9,3","-0,5","24,2","-14,7","7,0","27,3"
RCP 2.6,Winterniederschlag [%] ,"-8,5","5,5","16,7","-20,9","0,2","13,4"
RCP 2.6,Trockentage [Tage/Jahr],"-8,6","0,1","14,3","-7,6","0,2","22,0"
RCP 2.6,Tage mit Niederschlag ≥ 20 mm/Tag [Tage/Jahr],"0,0","0,4","1,1","-0,5","0,4","1,7"
RCP 2.6,95. Perzentil des Niederschlags [mm/Tag] ,"-0,2","0,5","1,8","-1,2","0,7","2,0"
RCP 2.6,99. Perzentil des Niederschlags [mm/Tag] ,"-0,6","1,9","4,8","-1,7","1,8","6,9"
RCP 2.6,Klimatische Wasserbilanz [mm/Tag],"-0,11","0,02","0,14","-0,24","0,03","0,11"
