,Klimakennwert,Jahreszeit,Landkreis Name,Landkreis Kennziffer (Kreisschlüssel),Median der Änderungen,Minimum,Maximum,Einheit,HYRAS Beobachtungen 1971-2000,Experteneinschätzung zur Belastbarkeit ,RCP,Period,Reference
21,Niederschlag,ganzes Jahr,Barnim,12060,2.5,-5.5,11.5,%,571.8,Tendenz zur Zunahme ,26,2036-2065,0.0
422,Niederschlag,MAM,Barnim,12060,4.1,-4.4,20.2,%,131.1,Tendenz zur Zunahme ,26,2036-2065,0.0
823,Niederschlag,JJA,Barnim,12060,-0.5,-9.3,24.2,%,179.6,keine Änderungen ,26,2036-2065,0.0
1224,Niederschlag,SON,Barnim,12060,-0.6,-11.5,14.1,%,127.1,keine Änderungen ,26,2036-2065,0.0
1625,Niederschlag,DJF,Barnim,12060,5.5,-8.5,16.7,%,134.0,Tendenz zur Zunahme ,26,2036-2065,0.0
2026,Tage mit Niederschlag > 20 mm/Tag,ganzes Jahr,Barnim,12060,0.4,0.0,1.1,Tage/Jahr,1.9,Tendenz zur Zunahme ,26,2036-2065,0.0
2427,Tage über 5°C,ganzes Jahr,Barnim,12060,21.6,5.3,31.3,Tage/Jahr,244.5,Zunahme ,26,2036-2065,0.0
2828,Trockentage,ganzes Jahr,Barnim,12060,0.1,-8.6,14.3,Tage,252.6,keine Änderungen ,26,2036-2065,0.0
3229,Trockentage,MAM,Barnim,12060,-0.8,-2.7,3.0,Tage,65.4,Tendenz zur Abnahme ,26,2036-2065,0.0
3630,Trockentage,JJA,Barnim,12060,0.8,-2.5,4.0,Tage,63.4,keine Änderungen ,26,2036-2065,0.0
4031,Trockentage,SON,Barnim,12060,0.8,-3.5,3.0,Tage,64.3,keine Änderungen ,26,2036-2065,0.0
4432,Trockentage,DJF,Barnim,12060,-0.6,-3.7,4.7,Tage,59.6,keine Änderungen ,26,2036-2065,0.0
4833,99. Perzentil des Niederschlags,ganzes Jahr,Barnim,12060,1.9,-0.6,4.8,mm/Tag,16.2,Tendenz zur Zunahme ,26,2036-2065,0.0
5234,Maximale Dauer von Hitzeperioden,ganzes Jahr,Barnim,12060,0.5,-0.2,3.9,Tage,3.1,Tendenz zur Zunahme ,26,2036-2065,0.0
5635,95. Perzentil des Niederschlags,ganzes Jahr,Barnim,12060,0.5,-0.2,1.8,mm/Tag,7.8,Tendenz zur Zunahme ,26,2036-2065,0.0
6036,Tropische Nächte,ganzes Jahr,Barnim,12060,0.2,-0.0,12.2,Nächte/Jahr,0.2,Zunahme ,26,2036-2065,0.0
6437,Sommertage,ganzes Jahr,Barnim,12060,6.8,1.8,25.5,Tage/Jahr,35.6,Zunahme ,26,2036-2065,0.0
6838,Heiße Tage,ganzes Jahr,Barnim,12060,1.7,-0.1,11.7,Tage/Jahr,6.7,Zunahme ,26,2036-2065,0.0
7239,Schwüle Tage,ganzes Jahr,Barnim,12060,5.6,1.4,13.8,Tage/Jahr,3.7,Zunahme ,26,2036-2065,0.0
7640,Frosttage,ganzes Jahr,Barnim,12060,-23.1,-50.0,-1.4,Tage/Jahr,81.5,Abnahme ,26,2036-2065,0.0
8041,Windgeschwindigkeit,ganzes Jahr,Barnim,12060,-0.0,-0.1,0.1,m/s,49.7,keine Änderungen ,26,2036-2065,0.0
8442,Temperatur,ganzes Jahr,Barnim,12060,1.3,0.4,2.4,°C,9.0,Zunahme ,26,2036-2065,0.0
