,Kennziffer,Raumeinheit,Aggregated,Neubauwohnungen je Einwohner_1996,Neubauwohnungen je Einwohner_1997,Neubauwohnungen je Einwohner_1998,Neubauwohnungen je Einwohner_1999,Neubauwohnungen je Einwohner_2000,Neubauwohnungen je Einwohner_2001,Neubauwohnungen je Einwohner_2002,Neubauwohnungen je Einwohner_2003,Neubauwohnungen je Einwohner_2004,Neubauwohnungen je Einwohner_2005,Neubauwohnungen je Einwohner_2006,Neubauwohnungen je Einwohner_2007,Neubauwohnungen je Einwohner_2008,Neubauwohnungen je Einwohner_2009,Neubauwohnungen je Einwohner_2010,Neubauwohnungen je Einwohner_2011,Neubauwohnungen je Einwohner_2012,Neubauwohnungen je Einwohner_2013,Neubauwohnungen je Einwohner_2014,Neubauwohnungen je Einwohner_2015,Neubauwohnungen je Einwohner_2016,Neubauwohnungen je Einwohner_2017,Neubauwohnungen je Einwohner_2018,Neubauwohnungen je Einwohner_2019,Neubauwohnungen in Ein- und Zweifamilienhäusern je Einwohner_2000,Neubauwohnungen in Ein- und Zweifamilienhäusern je Einwohner_2001,Neubauwohnungen in Ein- und Zweifamilienhäusern je Einwohner_2015,Neubauwohnungen in Ein- und Zweifamilienhäusern je Einwohner_2016,Neubauwohnungen in Ein- und Zweifamilienhäusern je Einwohner_2017,Neubauwohnungen in Ein- und Zweifamilienhäusern je Einwohner_2018,Neubauwohnungen in Ein- und Zweifamilienhäusern je Einwohner_2019,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie_2016,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie_2017,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie_2018,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie_2019,Fertiggestellte Wohnungen mit erneuerbarer Heizenergie_2017,Fertiggestellte Wohnungen mit erneuerbarer Heizenergie_2018,Fertiggestellte Wohnungen mit erneuerbarer Heizenergie_2019,Nahversorgung Haltestellen des ÖV Durchschnittsdistanz_2018,Nahversorgung Haltestellen des ÖV Anteil der Bev. 1km Radius_2018,Pkw-Dichte_1995,Pkw-Dichte_1996,Pkw-Dichte_1997,Pkw-Dichte_1998,Pkw-Dichte_1999,Pkw-Dichte_2000,Pkw-Dichte_2001,Pkw-Dichte_2002,Pkw-Dichte_2003,Pkw-Dichte_2004,Pkw-Dichte_2005,Pkw-Dichte_2006,Pkw-Dichte_2007,Pkw-Dichte_2008,Pkw-Dichte_2009,Pkw-Dichte_2010,Pkw-Dichte_2011,Pkw-Dichte_2012,Pkw-Dichte_2013,Pkw-Dichte_2014,Pkw-Dichte_2015,Pkw-Dichte_2016,Pkw-Dichte_2017,Pkw-Dichte_2018,Pkw-Dichte_2019,Ländlichkeit_2019,Einwohnerdichte_1996,Einwohnerdichte_2000,Einwohnerdichte_2004,Einwohnerdichte_2008,Einwohnerdichte_2009,Einwohnerdichte_2010,Einwohnerdichte_2011,Einwohnerdichte_2012,Einwohnerdichte_2013,Einwohnerdichte_2014,Einwohnerdichte_2015,Einwohnerdichte_2016,Einwohnerdichte_2017,Einwohnerdichte_2018,Einwohnerdichte_2019,Siedlungs- und Verkehrsfläche_2016,Siedlungs- und Verkehrsfläche_2017,Siedlungs- und Verkehrsfläche_2018,Siedlungs- und Verkehrsfläche_2019,Bevölkerung gesamt_1995,Bevölkerung gesamt_1996,Bevölkerung gesamt_1997,Bevölkerung gesamt_1998,Bevölkerung gesamt_1999,Bevölkerung gesamt_2000,Bevölkerung gesamt_2001,Bevölkerung gesamt_2002,Bevölkerung gesamt_2003,Bevölkerung gesamt_2004,Bevölkerung gesamt_2005,Bevölkerung gesamt_2006,Bevölkerung gesamt_2007,Bevölkerung gesamt_2008,Bevölkerung gesamt_2009,Bevölkerung gesamt_2010,Bevölkerung gesamt_2011,Bevölkerung gesamt_2012,Bevölkerung gesamt_2013,Bevölkerung gesamt_2014,Bevölkerung gesamt_2015,Bevölkerung gesamt_2016,Bevölkerung gesamt_2017,Bevölkerung gesamt_2018,Bevölkerung gesamt_2019,Bodenfläche gesamt_1996,Bodenfläche gesamt_2000,Bodenfläche gesamt_2004,Bodenfläche gesamt_2008,Bodenfläche gesamt_2009,Bodenfläche gesamt_2010,Bodenfläche gesamt_2011,Bodenfläche gesamt_2012,Bodenfläche gesamt_2013,Bodenfläche gesamt_2014,Bodenfläche gesamt_2015,Bodenfläche gesamt_2016,Bodenfläche gesamt_2017,Bodenfläche gesamt_2018,Bodenfläche gesamt_2019,neubauwohnungen_2018,neubauwohnungen_erneuerbareheiz_2018,neubauwohngebäude_erneuerbareheiz_2018,neubauwohnungen_2019,neubauwohnungen_erneuerbareheiz_2019,neubauwohngebäude_erneuerbareheiz_2019
0,1001,"Flensburg, Stadt",kreisfreie Stadt,"3,51","4,77","4,20","5,28","3,18","3,84","5,41","1,68","1,77","2,29","3,51","3,69","1,38","1,85","2,16","2,17","2,59","4,32","1,50","4,25","3,98","2,63",10.48,5.93,"1,66","2,02","1,19","0,97","0,55","2,16","0,26","7,92","7,69",0.1142,0.0313,"2,27",0.0339,0.0499,"180,00","100,00","437,11","444,73","452,53","457,00","454,05","454,35","466,07","472,81","471,28","472,31","523,86","607,15","598,39","418,30","428,72","436,73","476,90","472,47","474,45","474,44","475,54","473,97","478,10","481,26","486,03","0,00","1.534,90","1.492,76","1.521,14","1.563,59","1.559,78","1.564,31","1.459,31","1.470,96","1.479,93","1.492,67","1.514,66","1.541,20","1.560,36","1.577,72","1.700,57","52,39","52,62","52,74","54,26",87.276,86.630,85.547,84.742,84.449,84.281,84.480,84.704,85.300,85.762,86.080,86.630,87.792,88.718,88.502,88.759,82.801,83.462,83.971,84.694,85.942,87.432,88.519,89504,90164,56.0,56.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,53.0,938001.92,31798.265088,107119.819264,534672.52,26680.158748,16735.249876
1,1002,"Kiel, Stadt",kreisfreie Stadt,"3,03","5,82","5,80","2,58","1,07","0,99","1,86","1,43","1,10","1,37","1,30","1,19","0,97","1,27","0,67","1,29","1,26","0,78","1,24","1,98","2,18","1,73",1.88,3.03,"0,58","0,69","0,85","0,46","0,35","0,25","0,21","5,00","13,89",0.16440000000000002,0.18989999999999999,"9,38",0.052300000000000006,0.0732,"193,00","100,00","430,41","435,95","441,50","441,51","439,77","434,58","443,47","446,62","447,80","447,26","445,82","453,67","454,65","398,02","397,48","402,01","412,19","415,75","418,58","420,73","421,79","427,41","435,51","440,53","446,35","0,00","2.086,36","1.964,79","1.970,68","2.002,35","2.008,27","2.018,76","2.003,09","2.021,63","2.035,68","2.049,29","2.075,90","2.085,47","2.089,70","2.086,37","2.080,02","54,24","54,35","54,40","54,45",246.033,243.728,240.516,237.337,233.795,232.612,232.242,233.270,233.039,233.329,234.433,235.366,236.902,237.579,238.281,239.526,237.667,239.866,241.533,243.148,246.306,247.441,247.943,247548,246794,117.0,118.0,118.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,465390.24,24339.909552,76510.15545600001,747785.82,54737.922024,142004.52721799997
2,1003,"Lübeck, Stadt",kreisfreie Stadt,"5,13","5,61","6,53","3,01","1,50","1,49","1,68","3,05","2,53","1,95","2,34","1,56","1,57","2,87","2,05","2,89","2,32","0,89","2,43","0,47","4,37","2,18",1.92,4.05,"0,53","0,60","0,18","1,03","0,52","0,29","0,42","17,97","16,15",0.2371,0.1241,"5,66",0.0736,0.024700000000000003,"276,00","99,00","430,64","445,29","450,34","452,78","440,52","438,88","448,58","450,86","450,24","455,11","456,52","462,72","463,42","407,04","409,23","411,96","418,10","423,47","427,42","428,28","431,48","437,01","443,93","448,05","454,81","0,00","1.007,16","996,54","989,46","984,56","979,50","981,43","983,52","988,34","994,16","1.000,98","1.009,54","1.011,77","1.009,94","1.014,04","1.010,92","36,88","37,15","37,42","37,51",216.986,215.673,215.376,214.017,213.326,213.399,213.496,213.301,212.754,211.874,211.825,211.213,211.541,210.892,209.818,210.232,210.679,211.713,212.958,214.420,216.253,216.712,216.318,217198,216530,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,417020.16,30692.683775999998,98875.479936,876946.5,21660.578550000002,108829.06065
3,1004,"Neumünster, Stadt",kreisfreie Stadt,"7,51","4,88","5,75","4,11","3,72","4,12","1,87","1,96","2,20","1,49","0,95","0,53","0,65","2,25","2,38","1,98","1,29","1,13","1,26","1,46","2,80","1,75",2.38,2.18,"2,05","2,59","0,67","0,65","0,74","0,59","0,55","0,00","11,76",0.1636,0.24530000000000002,"5,88",0.0536,0.3713,"187,00","100,00","484,92","492,08","495,78","497,72","499,83","503,83","514,50","514,44","517,90","519,37","524,32","531,71","532,74","470,03","470,82","477,59","484,97","493,48","500,38","500,68","496,34","501,81","513,97","520,17","523,09","0,00","1.143,04","1.115,43","1.096,68","1.076,36","1.073,53","1.072,60","1.077,77","1.074,28","1.075,78","1.083,18","1.105,64","1.111,92","1.107,10","1.109,22","1.119,12","50,50","50,68","51,20","51,40",82.028,81.796,81.322,80.803,80.243,79.831,79.646,79.544,78.951,78.555,78.072,77.936,77.595,77.100,76.897,76.830,77.201,76.951,77.058,77.588,79.197,79.680,79.335,79487,80196,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,189179.06,10139.997616,30949.694216,174827.28,64913.369064000006,42885.131784000005
4,1051,Dithmarschen,Landkreis,"7,26","7,23","7,29","7,14","6,73","4,04","3,62","3,04","2,81","2,37","2,47","1,93","1,69","1,44","1,58","2,40","1,86","2,23","2,96","2,40","3,64","2,47",3.08,5.05,"4,94","3,07","1,60","1,63","1,60","1,66","2,19","30,70","33,18",0.37229999999999996,0.23870000000000002,"34,26",0.4471,0.2583,"576,00","87,00","516,71","519,96","521,64","522,06","525,34","530,57","544,56","549,22","550,67","556,38","562,39","575,18","581,02","512,67","515,84","524,41","538,25","547,78","555,18","560,34","565,35","572,99","582,88","594,50","605,82","74,30","94,40","95,97","96,21","95,07","94,73","94,41","93,47","93,11","92,90","92,91","93,07","93,52","93,44","93,27","93,26","11,01","11,06","11,12","11,16",133.428,134.927,135.773,136.547,136.920,137.174,137.447,137.447,137.428,137.398,137.261,136.829,136.451,135.759,135.279,134.798,133.487,132.965,132.665,132.685,132.917,133.560,133.447,133210,133193,1.429,1.429,1.428,1.428,1.428,1.428,1.428,1.428,1.428,1.428,1.428,1.428,1.428,1.428,1.428,410286.8,183439.22827999998,152749.77563999998,672624.65,173738.94709499998,160555.50395500002
5,1053,Herzogtum Lauenburg,Landkreis,"8,64","8,74","7,01","7,03","7,66","4,24","5,66","3,55","4,62","2,79","3,76","3,14","2,81","2,96","3,67","2,98","2,96","2,75","3,22","4,15","5,14","5,51",3.99,2.47,"4,55","3,12","2,53","3,01","3,19","1,74","0,45","17,46","30,65",0.24359999999999998,0.1765,"21,53",0.1884,0.0626,"343,00","94,00","527,09","533,04","537,13","539,46","540,95","544,75","560,18","560,36","563,90","565,70","567,94","577,32","583,47","521,38","525,12","533,48","541,51","548,61","549,98","557,23","559,47","564,00","571,92","578,31","585,58","36,27","136,29","142,40","147,23","148,05","147,77","147,96","148,30","148,78","149,68","151,00","152,81","154,44","155,24","156,18","156,78","11,48","11,55","11,61","11,67",170.058,172.133,174.127,175.690,177.703,179.848,181.661,183.804,184.896,185.958,186.471,186.911,187.094,186.984,186.629,186.874,187.296,187.905,189.043,190.703,192.999,195.063,196.074,197264,198019,1.263,1.263,1.263,1.263,1.263,1.263,1.263,1.263,1.263,1.263,1.263,1.263,1.263,1.263,1.263,787083.36,148286.505024,191733.506496,489106.93000000005,30618.093818000005,86327.373145
6,1054,Nordfriesland,Landkreis,"9,68","10,61","9,23","9,93","6,56","5,95","6,12","7,76","5,88","4,85","5,26","4,34","4,44","4,92","4,49","5,74","5,73","6,10","7,11","7,84","8,25","8,41",8.23,8.94,"3,99","3,74","4,04","4,40","4,71","3,85","4,07","36,96","48,50",0.5289,0.4439,"46,24",0.4314,0.39270000000000005,"721,00","75,00","523,67","527,12","532,03","535,39","542,51","551,03","570,92","574,76","575,88","581,97","584,20","596,28","601,43","531,09","533,01","542,97","559,27","568,69","574,93","578,21","578,65","583,85","594,61","604,53","613,23","76,18","78,42","80,24","81,33","79,82","79,59","79,45","78,27","77,88","77,72","77,86","78,70","79,16","79,41","79,44","79,65","10,62","10,72","10,75","10,80",159.048,160.725,162.084,163.080,163.974,164.280,165.026,165.678,166.342,166.610,166.956,166.783,166.727,166.270,165.771,165.480,163.029,162.237,161.923,162.203,163.960,164.926,165.462,165507,165951,2.049,2.047,2.049,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.084,2.084,2.084,1362122.61,587619.693954,720426.648429,1483601.94,582610.481838,658570.901166
7,1055,Ostholstein,Landkreis,"7,68","7,07","10,10","6,88","5,48","3,28","3,73","3,58","4,17","5,00","3,79","2,87","2,85","3,21","2,72","4,09","3,35","3,72","4,63","5,07","6,12","4,89",4.31,6.2,"3,17","1,79","1,88","2,64","1,83","1,66","2,43","16,39","24,66",0.2861,0.302,"16,00",0.271,0.233,"528,00","88,00","500,67","514,28","521,69","524,87","526,56","532,27","545,36","550,76","556,72","564,70","570,93","584,68","592,24","524,02","524,23","526,93","552,74","565,77","575,82","580,89","582,48","589,66","601,16","611,09","620,26","33,14","142,49","145,35","147,75","147,40","147,21","146,81","142,15","142,10","142,06","142,44","143,31","144,16","143,99","143,99","143,96","11,83","11,92","12,03","12,10",197.378,198.276,199.229,200.168,201.400,202.247,203.386,204.498,205.140,205.589,206.040,205.952,205.688,205.191,204.948,204.454,197.960,197.882,197.835,198.355,199.574,200.813,200.584,200581,200539,1.392,1.391,1.392,1.392,1.392,1.393,1.393,1.393,1.393,1.393,1.393,1.393,1.393,1.393,1.393,864504.1099999999,234280.61380999998,247334.62587099997,1243341.8,289698.63940000004,375489.2236
8,1056,Pinneberg,Landkreis,"7,84","6,28","7,85","6,53","6,29","4,25","4,20","4,07","5,58","4,50","3,85","3,49","2,71","2,79","3,77","3,23","3,56","3,78","6,00","4,21","5,13","5,78",4.56,4.96,"3,73","2,44","2,07","2,57","2,14","1,77","1,83","19,12","26,42",0.2529,0.2137,"25,49",0.2266,0.2446,"330,00","96,00","508,48","511,86","515,86","518,42","520,89","526,96","537,32","541,98","544,37","546,35","546,77","552,67","556,33","502,15","502,62","507,38","525,78","531,26","533,84","534,02","537,38","540,88","544,73","551,36","553,16","8,21","428,82","439,00","449,06","453,92","455,30","456,88","447,58","449,87","453,48","457,79","462,88","467,67","470,70","473,30","475,88","21,56","21,67","21,78","21,84",282.538,284.854,286.416,288.109,289.557,291.609,293.914,295.643,296.941,298.272,299.392,300.402,301.320,301.518,302.430,303.481,297.307,298.826,301.223,304.087,307.471,310.653,312.662,314391,316103,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,664.0,1433622.96,324858.96273599996,362563.246584,1567870.88,383501.217248,335054.007056
9,1057,Plön,Landkreis,"10,42","9,93","8,22","7,74","6,58","4,77","3,26","4,37","4,69","3,39","3,32","1,68","1,83","1,64","1,48","1,72","2,38","2,35","3,03","3,74","3,81","2,91",3.66,2.7,"4,24","2,28","2,20","2,35","1,81","1,44","1,43","18,12","42,74",0.3724,0.4486,"36,12",0.3182,0.4033,"551,00","86,00","491,91","496,88","501,40","504,20","507,68","510,24","522,92","528,19","531,31","539,50","547,41","562,92","570,06","507,40","510,59","521,06","558,75","566,72","572,23","576,83","578,32","586,65","597,31","608,36","615,33","38,23","117,47","122,74","125,05","124,55","124,24","123,98","117,44","116,99","116,91","117,12","118,45","118,78","118,91","118,73","118,76","9,51","9,55","9,58","9,61",125.391,127.167,129.197,130.838,131.960,132.895,133.624,134.368,135.038,135.446,135.655,135.562,135.422,134.912,134.573,134.291,127.212,126.721,126.643,126.865,128.304,128.703,128.842,128647,128686,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.084,1.084,1.084,1.084,470848.02,149823.83996399998,175343.802648,347452.2,140127.47226,155867.05692
