,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
0,Ahrweiler,2909.0,0.0,0.0,58984.627,6398.62,60.0,15690.0,77643.62700000001,6398.62,92.38642441342627
1,Aichach-Friedberg,48984.6,0.0,0.0,261294.576,2762.6,28680.6,21612.0,360571.77599999995,2762.6,99.2396535581318
2,Alb-Donau-Kreis,58418.65,110.0,0.0,355340.525,24636.285,8495.5,34691.0,457055.67500000005,24636.285,94.88546892084311
3,Altenburger Land,17285.0,0.0,0.0,153066.829,8865.754,261.0,116525.0,287137.829,8865.754,97.00484909333007
4,Altenkirchen (Westerwald),1292.0,140.0,0.0,66616.515,1905.83,1633.0,19300.0,88981.515,1905.83,97.9030854075449
5,Altmarkkreis Salzwedel,46908.0,0.0,0.0,289570.409,31715.6,15.0,409831.4,746324.809,31715.6,95.92365645368427
6,Altötting,26025.5,6841.0,0.0,252422.714,353825.69,226648.8,1.0,511939.01399999997,353825.69,59.131425852167794
7,Alzey-Worms,1256.0,0.0,0.0,107391.637,6095.8,7.0,396610.0,505264.637,6095.8,98.80792498618739
8,Amberg,2882.0,0.0,0.0,37043.906,7894.65,74.1,0.0,40000.006,7894.65,83.51663701269719
9,Amberg-Sulzbach,23814.56,0.0,0.0,255287.3,15382.43,1593.0,66049.9,346744.75999999995,15382.43,95.75220242368434
10,Ammerland,23893.0,100.0,0.0,89911.632,13796.94,0.0,84345.0,198249.63199999998,13796.94,93.49343879041817
11,Anhalt-Bitterfeld,19567.0,0.0,0.0,491321.678,202579.63,4354.0,472235.35,987478.0279999999,202579.63,82.97732646496698
12,Ansbach,6099.0,0.0,0.0,46690.861,3808.81,0.0,8430.0,61219.861,3808.81,94.14287584010444
13,Aschaffenburg,3868.0,0.0,0.0,19178.212,52979.655,0.0,0.0,23046.212,52979.655,30.31364574901855
14,Augsburg,11955.0,0.0,0.0,57679.027,136568.1,23583.1,0.0,93217.12700000001,136568.1,40.56706700296273
