,landkreis_id,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
0,7131,Ahrweiler,2909.0,0.0,0.0,9877.252,847.18,0.0,15690.0,28476.252,847.18,97.11091116483227
1,9771,Aichach-Friedberg,48984.6,0.0,0.0,40123.255,1329.97,169.5,21612.0,110889.355,1329.97,98.81484762094229
2,8425,Alb-Donau-Kreis,58418.65,110.0,0.0,19729.603,3410.57,1356.8,34691.0,114306.053,3410.57,97.10272864351536
3,16077,Altenburger Land,17285.0,0.0,0.0,17145.392,2324.15,136.0,116525.0,151091.392,2324.15,98.48506222400857
4,7132,Altenkirchen (Westerwald),1292.0,140.0,0.0,8268.887,542.2,698.0,19300.0,29698.887000000002,542.2,98.20707503007415
5,15081,Altmarkkreis Salzwedel,46908.0,0.0,0.0,21435.916,1644.8,15.0,409831.4,478190.31600000005,1644.8,99.65721558402991
6,9171,Altötting,26025.5,6841.0,0.0,36007.504,1523.6,154891.5,1.0,223766.50400000002,1523.6,99.32371641144077
7,7331,Alzey-Worms,1256.0,0.0,0.0,11247.378,1850.3,7.0,396610.0,409120.378,1850.3,99.54977323224018
8,9361,Amberg,2882.0,0.0,0.0,3620.755,1509.2,0.0,0.0,6502.755,1509.2,81.16314931873681
9,9371,Amberg-Sulzbach,23814.56,0.0,0.0,36475.778,55.45,667.5,66049.9,127007.73799999998,55.45,99.95636029532015
10,3451,Ammerland,23893.0,100.0,0.0,7408.318,2099.6,0.0,84345.0,115746.318,2099.6,98.21835152576095
11,15082,Anhalt-Bitterfeld,19567.0,0.0,0.0,49580.702,7534.05,3360.0,472235.35,544743.052,7534.05,98.63582068263985
12,9561,Ansbach,6099.0,0.0,0.0,4423.339,2501.05,0.0,8430.0,18952.339,2501.05,88.34193515998801
13,9661,Aschaffenburg,3868.0,0.0,0.0,1015.077,608.95,0.0,0.0,4883.077,608.95,88.91210840733304
14,9761,Augsburg,11955.0,0.0,0.0,4686.937,60555.200000000004,615.0,0.0,17256.936999999998,60555.200000000004,22.177693179150186
15,3452,Aurich,37356.0,1.1,0.0,9565.836,685.7,0.0,1050088.1,1097011.036,685.7,99.9375328378493
16,7332,Bad Dürkheim,1319.0,5940.0,0.0,6970.575,1051.46,222.0,27010.0,41461.575,1051.46,97.52673503550146
