field_1,Unnamed: 0.1,Unnamed: 0,energy,land,bundesland,landkreis,gemeinde,gemeinde_id,landkreis_id,laengengrad,breitengrad,registrierungsdatum,inbetriebnahmedatum,datumEndgueltigeStilllegung,bruttoleistung,nettonennleistung,nameEinheit,betriebsstatus,energietraeger,wind_kraftwerk,wind_nordsee,wind_ostsee
"5117","5117.0","5117.0",solar,"84.0","1407.0",Ludwigslust-Parchim,Dobin am See,13076033id,"13076","11.003495","54.778738",2019-02-02,2011-12-09,,"70.0","70.0",Bergehalle,"35.0","2495.0",,,
"14158","14158.0","14158.0",solar,"84.0","1409.0",Gütersloh,Gütersloh,05754008id,"5754","5.519714","54.204562",2019-02-04,2019-01-31,,"92.34","78.0",Lagerhalle Gütersloh,"35.0","2495.0",,,
"15686","15686.0","15686.0",solar,"84.0","1413.0",Vogtlandkreis,Plauen,14523320id,"14523","12.721049","50.298984",2019-02-05,2011-06-30,,"119.34","102.0",2011_011,"35.0","2495.0",,,
"17263","17263.0","17263.0",solar,"84.0","1413.0",Vogtlandkreis,Plauen,14523320id,"14523","12.17894","65.0",2019-02-05,2019-01-09,,"98.34","98.34",PV-Anlage Lager- und Produktionshallendach,"35.0","2495.0",,,
"18174","18174.0","18174.0",solar,"84.0","1405.0",Werra-Meißner-Kreis,Eschwege,06636003id,"6636","10.028","56.177",2019-02-06,2007-11-09,,"64.8","64.8",Bebraer Str.,"35.0","2495.0",,,
"21156","21156.0","21156.0",solar,"84.0","1413.0",Vogtlandkreis,Neustadt/Vogtl.,14523290id,"14523","12.2016","50.2821",2019-02-07,2010-12-31,,"987.0","987.0",SOLAR 2 - FALKENSTEIN,"35.0","2495.0",,,
"28546","28546.0","28546.0",solar,"84.0","1402.0",Heidenheim,Gerstetten,08135015id,"8135","15.114207","54.033482",2019-02-10,2009-07-23,,"36.75","33.0",ABR961800197089,"35.0","2495.0",,,
"29484","29484.0","29484.0",solar,"84.0","1409.0",Kleve,Emmerich am Rhein,05154008id,"5154","6.118","51.892",2019-02-11,2009-12-17,,"52.65","52.65",Kikuit PV GbR,"35.0","2495.0",,,
"30660","30660.0","30660.0",solar,"84.0","1402.0",Ortenaukreis,Ettenheim,08317026id,"8317","7.481216","48.143696",2019-02-11,2019-01-30,,"99.75","99.75",Ettenheim,"35.0","2495.0",,,
"32561","32561.0","32561.0",solar,"84.0","1414.0",Mansfeld-Südharz,Hettstedt,15087220id,"15087","5.488775","54.809499",2019-02-12,2011-12-30,,"2512.56","2220.0",PV-Freiflächenanlage Walbeck,"35.0","2495.0",,,
"33908","33908.0","33908.0",solar,"84.0","1413.0",Kreis Leipzig,Wurzen,14729410id,"14729","15.0","51.359555",2019-02-12,2005-12-08,,"32.375","31.46",Brennerei 1,"35.0","2495.0",,,
"37543","37543.0","37543.0",solar,"84.0","1412.0",Regionalverband Saarbrücken,Saarbrücken,10041100id,"10041","6.0","49.0",2019-02-14,2010-09-30,,"52.44","52.44",Anlage 7,"35.0","2495.0",,,
"37602","37602.0","37602.0",solar,"84.0","1412.0",Regionalverband Saarbrücken,Saarbrücken,10041100id,"10041","6.0","49.0",2019-02-14,2010-06-30,,"58.5","58.5",Anlage 6,"35.0","2495.0",,,
"37666","37666.0","37666.0",solar,"84.0","1412.0",Regionalverband Saarbrücken,Saarbrücken,10041100id,"10041","6.0","49.0",2019-02-14,2009-12-11,,"42.75","42.75",Anlage 9,"35.0","2495.0",,,
"37691","37691.0","37691.0",solar,"84.0","1412.0",Regionalverband Saarbrücken,Saarbrücken,10041100id,"10041","6.0","49.0",2019-02-14,2012-03-30,,"45.315","45.315",Anlage 8,"35.0","2495.0",,,
"38390","38390.0","38390.0",solar,"84.0","1412.0",Regionalverband Saarbrücken,Saarbrücken,10041100id,"10041","6.0","49.0",2019-02-14,2012-06-09,,"36.72","36.72",Anlage 2,"35.0","2495.0",,,
"38467","38467.0","38467.0",solar,"84.0","1410.0",Cochem-Zell,Ulmen,07135083id,"7135","7.182261","46.983096",2019-02-15,2019-01-29,,"50.96","50.96",lagerdach 3,"35.0","2495.0",,,
"46127","46127.0","46127.0",solar,"84.0","1403.0",Kreis Landshut,Pfeffenhausen,09274172id,"9274","14.131487","47.74212",2019-02-19,2010-06-30,,"146.65","136.8",Stall,"35.0","2495.0",,,
"46375","46375.0","46375.0",solar,"84.0","1400.0",Ostprignitz-Ruppin,Heiligengrabe,12068181id,"12068","-2.148821","51.960786",2019-02-19,2017-10-30,,"9817.5","7860.0",PVA Alt Daber 2,"35.0","2495.0",,,
"47917","47917.0","47917.0",solar,"84.0","1410.0",Trier-Saarburg,Konz,07235068id,"7235","6.352082","49.421973",2019-02-20,2018-11-27,,"471.96","460.0",Conen 2.Energy GmbH ＆ Co. KG,"35.0","2495.0",,,
"49037","49037.0","49037.0",solar,"84.0","1400.0",Dahme-Spreewald,Luckau,12061320id,"12061","-1.660466","50.671571",2019-02-20,2018-01-16,,"1057.54","900.0",Cahnsdorf BA2A,"35.0","2495.0",,,
"49192","49192.0","49192.0",solar,"84.0","1411.0",Schleswig-Flensburg,Böel,01059006id,"1059","1.282581","54.442504",2019-02-20,2018-02-05,,"9324.66","8448.0",PVA Mohrkirch,"35.0","2495.0",,,
"49932","49932.0","49932.0",solar,"84.0","1410.0",Rhein-Hunsrück-Kreis,Bärenbach,07140006id,"7140","-3.496764","49.282057",2019-02-21,2016-11-29,,"2584.0","2400.0",PV Hahn BA-I Bärenbach/Lautzenhausen,"35.0","2495.0",,,
"50045","50045.0","50045.0",solar,"84.0","1410.0",Rhein-Hunsrück-Kreis,Lautzenhausen,07140082id,"7140","-3.490729","49.260115",2019-02-21,2018-04-27,,"296.8","240.0",PV Hahn BA-III Bärenbach/Lautzenhausen,"35.0","2495.0",,,
"50125","50125.0","50125.0",solar,"84.0","1410.0",Trier-Saarburg,Konz,07235068id,"7235","6.351676","49.421922",2019-02-21,2018-11-27,,"67.83","60.0",Conen 2.Energy GmbH ＆ Co.KG,"35.0","2495.0",,,
"50404","50404.0","50404.0",solar,"84.0","1410.0",Rhein-Hunsrück-Kreis,Lautzenhausen,07140082id,"7140","-3.491528","49.261657",2019-02-21,2016-11-29,,"3500.0","3400.0",PV Hahn BA-I (2) Bärenbach/Lautzenhausen,"35.0","2495.0",,,
"53117","53117.0","53117.0",solar,"84.0","1402.0",Esslingen,Plochingen,08116056id,"8116","5.252071","54.377367",2019-02-22,2012-09-27,,"1505.0","1440.0",PV Anlage Deponie Weißer Stein,"35.0","2495.0",,,
"62458","62458.0","62458.0",solar,"84.0","1409.0",Kleve,Emmerich am Rhein,05154008id,"5154","6.118","51.892",2019-02-26,2010-06-29,,"116.28","116.28",Kikuit PV GbR,"35.0","2495.0",,,
"62978","62978.0","62978.0",solar,"84.0","1400.0",Oberspreewald-Lausitz,Lauchhammer,12066176id,"12066","15.0","51.474552",2019-02-27,2019-02-27,,"730.95","665.0",PVA Lauchhammer II,"35.0","2495.0",,,
"65308","65308.0","65308.0",solar,"84.0","1410.0",Trier-Saarburg,Pellingen,07235106id,"7235","6.401074","49.40019",2019-02-28,2019-01-30,,"138.47","110.0","Hof Langenstein 1, Pellingen","35.0","2495.0",,,
"65347","65347.0","65347.0",solar,"84.0","1410.0",Trier-Saarburg,Lampaden,07235072id,"7235","6.41154","49.39339",2019-02-28,2019-01-30,,"144.3","115.0",Wernerhof 1-Lampaden,"35.0","2495.0",,,
"69562","69562.0","69562.0",solar,"84.0","1413.0",Görlitz,Mittelherwigsdorf,14626310id,"14626","15.0","50.937242",2019-03-01,2018-06-27,,"744.15","726.0",PVA Oberseifersdorf 750,"35.0","2495.0",,,
"71363","71363.0","71363.0",solar,"84.0","1413.0",Meißen,Coswig,14627010id,"14627","8.0","47.0",2019-03-02,2018-07-17,,"99.735","99.73",Halle Coswig,"35.0","2495.0",,,
"72923","72923.0","72923.0",solar,"84.0","1402.0",Schwäbisch Hall,Kreßberg,08127101id,"8127","10.23","43.17",2019-03-03,2009-12-03,,"78.06","67.95",PV,"35.0","2495.0",,,
"78892","78892.0","78892.0",solar,"84.0","1402.0",Sigmaringen,Sigmaringen,08437104id,"8437","12.339942","55.314474",2019-03-06,2010-06-04,,"132.3","109.6",Sonnendiesel 2 - Hallen 132,"35.0","2495.0",,,
"81500","81500.0","81500.0",solar,"84.0","1405.0",Werra-Meißner-Kreis,Ringgau,06636010id,"6636","11.187","56.734",2019-03-07,2010-09-30,,"62.1","62.01","687","35.0","2495.0",,,
"91317","91317.0","91317.0",solar,"84.0","1403.0",Kreis Würzburg,Bütthard,09679122id,"9679","14.047799","49.484615",2019-03-13,2010-06-30,,"133.65","124.0",inderHöll,"35.0","2495.0",,,
"92265","92265.0","92265.0",solar,"84.0","1408.0",Vechta,Steinfeld (Oldenburg),03460008id,"3460","5.973094","53.219909",2019-03-13,2019-02-28,,"66.6","60.0",PV Anlage Stall 1,"35.0","2495.0",,,
"92515","92515.0","92515.0",solar,"84.0","1411.0",Nordfriesland,Niebüll,01054088id,"1054","5.329949","53.463248",2019-03-13,2010-06-30,,"91.77","82.5",werkhalle,"35.0","2495.0",,,
"93145","93145.0","93145.0",solar,"84.0","1408.0",Cloppenburg,Barßel,03453001id,"3453","7.0","53.0",2019-03-14,2010-06-29,,"87.12","77.0","PV Tennisverein, Barßel - 87,12kW","35.0","2495.0",,,
