,Jahr,Insgesamt,Steinkohle,Braunkohle,Mineralöle und Mineralöl produkte,Gase,Gesamt Erneuerbare Energieträger,Stromaustauschsaldo,Kernenergie,Andere Energieträger,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse 1),Sonstige erneuerbare Energien 2),Gesamt Nichterneuerbar,Anteil Erneuerbar
62,1990,356207.653228,82829.0,47961.0,150757.0,58873.253228,2251.4,12632.4,0.0,903.6,572.0,0.0,0.0,0.0,1679.4,0.0,353956.25322799996,0.6320470600778847
63,1991,374152.52,92928.0,31076.0,167072.0,69842.0,2578.0,9164.52,0.0,1492.0,263.0,0.0,0.0,0.0,2315.0,0.0,371574.52,0.6890238237604279
64,1992,339349.6068,91427.0,27226.0,137920.0,69001.0,2522.8,9763.6068,0.0,1489.2,215.0,0.0,0.0,0.0,2307.8,0.0,336826.8068,0.7434221078932454
65,1993,357565.0208,92926.0,26160.0,156486.0,68693.0,2117.2,9944.0208,0.0,1238.8,215.0,0.0,0.0,0.0,1902.2,0.0,355447.8208,0.5921160843035125
66,1994,345819.1556,89281.0,25482.0,151460.0,65461.0,2153.4,10720.1556,0.0,1261.6,217.0,0.0,0.0,0.0,1936.4,0.0,343665.7556,0.6226954074489678
67,1995,339262.001397901,83882.0,18226.0,152443.0,68477.0013979012,1837.8,13311.0,0.0,1085.2,193.0,0.0,0.0,0.0,1644.8,0.0,337424.201397901,0.5417052285335514
68,1996,347934.64594993,83823.0,12107.0,156695.0,78990.6459499304,1678.8,13657.0,0.0,983.2,165.0,0.0,0.0,0.0,1513.8,0.0,346255.84594993,0.48250440694589236
69,1997,325627.997297629,85761.0,13847.0,143811.0,68551.9972976293,1305.0,11608.0,0.0,744.0,141.0,0.0,0.0,0.0,1164.0,0.0,324322.997297629,0.4007640653844669
70,1998,317928.488678849,84566.364737,12535.268289,137421.321,68108.7058634487,1921.1598374,12241.1304,0.0,1134.538552,161.6724,0.0,0.0,0.0,1759.4874374,0.0,316007.328841449,0.6042742018443753
71,1999,334726.374023206,81805.275587,12600.702751,138869.099769,84946.9711450055,2140.8879712,13059.6768,0.0,1303.76,141.0984,0.0,0.0,0.0,1999.7895712,0.0,332585.486052006,0.6395934522481267
72,2000,331517.934060633,83967.54834200001,13072.363504,132802.231,85638.9310914332,2454.7493232,12060.0468,0.0,1522.064,139.4028,0.0,0.0,0.0,2315.3465232,0.0,329063.184737433,0.7404574748438914
73,2001,347727.666341666,71817.48938199999,14052.672252,141259.600287,100350.395545266,2242.332075400003,16613.4888,0.0,1391.688,123.134246800003,0.0,0.0,0.0,2119.1978286,0.0,345485.334266266,0.6448529387928424
74,2002,322289.382687082,49518.340042,13410.153834,130351.431766,101923.580418482,2242.5070266,23451.6816,0.0,1391.688,124.2324,0.0,0.0,0.0,2118.2746266,0.0,320046.875660482,0.6958054304808732
75,2003,317687.055348934,49205.75832,13107.8512,127101.5350084,106496.146620534,2367.1286,18166.1328,0.0,1242.5028,1.6884,0.0,0.0,7.2,2296.2266,62.0136,315319.926748934,0.7451133309161893
