,Jahr,variable,value
0,1990,Insgesamt,356207.653228
1,1991,Insgesamt,374152.52
2,1992,Insgesamt,339349.6068
3,1993,Insgesamt,357565.0208
4,1994,Insgesamt,345819.1556
5,1995,Insgesamt,339262.001397901
6,1996,Insgesamt,347934.64594993
7,1997,Insgesamt,325627.997297629
8,1998,Insgesamt,317928.488678849
9,1999,Insgesamt,334726.374023206
10,2000,Insgesamt,331517.934060633
11,2001,Insgesamt,347727.666341666
12,2002,Insgesamt,322289.382687082
13,2003,Insgesamt,317687.055348934
14,2004,Insgesamt,306615.369720446
15,2005,Insgesamt,299067.624091124
16,2006,Insgesamt,304874.916226977
17,2007,Insgesamt,271331.901339704
18,2008,Insgesamt,287334.524482265
19,2009,Insgesamt,283301.553979452
20,2010,Insgesamt,309269.75695687
21,2011,Insgesamt,276789.477959495
22,2012,Insgesamt,280369.843057519
23,2013,Insgesamt,288998.868877938
24,2014,Insgesamt,271832.412281332
25,2015,Insgesamt,264997.795676438
26,2016,Insgesamt,272122.960777807
27,2017,Insgesamt,270556.724739727
28,2018,Insgesamt,266504.013745793
29,2019,Insgesamt,264306.664701133
30,2020,Insgesamt,237633.483830352
31,1990,Steinkohle,82829.0
32,1991,Steinkohle,92928.0
33,1992,Steinkohle,91427.0
34,1993,Steinkohle,92926.0
35,1994,Steinkohle,89281.0
36,1995,Steinkohle,83882.0
37,1996,Steinkohle,83823.0
38,1997,Steinkohle,85761.0
39,1998,Steinkohle,84566.364737
40,1999,Steinkohle,81805.275587
41,2000,Steinkohle,83967.54834200001
42,2001,Steinkohle,71817.48938199999
43,2002,Steinkohle,49518.340042
44,2003,Steinkohle,49205.75832
45,2004,Steinkohle,43825.071276
46,2005,Steinkohle,47843.87083
47,2006,Steinkohle,45233.453566
48,2007,Steinkohle,43902.137861
49,2008,Steinkohle,42900.50464
50,2009,Steinkohle,38054.237349
51,2010,Steinkohle,45085.297808
52,2011,Steinkohle,38499.004138
53,2012,Steinkohle,36266.968188
54,2013,Steinkohle,40535.29703
55,2014,Steinkohle,43245.313974
56,2015,Steinkohle,39810.263
57,2016,Steinkohle,36894.364
58,2017,Steinkohle,37166.84717
59,2018,Steinkohle,30493.983
60,2019,Steinkohle,20744.094
61,2020,Steinkohle,22229.209
62,1990,Braunkohle,47961.0
63,1991,Braunkohle,31076.0
64,1992,Braunkohle,27226.0
65,1993,Braunkohle,26160.0
66,1994,Braunkohle,25482.0
67,1995,Braunkohle,18226.0
68,1996,Braunkohle,12107.0
69,1997,Braunkohle,13847.0
70,1998,Braunkohle,12535.268289
71,1999,Braunkohle,12600.702751
72,2000,Braunkohle,13072.363504
73,2001,Braunkohle,14052.672252
74,2002,Braunkohle,13410.153834
75,2003,Braunkohle,13107.8512
76,2004,Braunkohle,13827.185762
77,2005,Braunkohle,13240.381526
78,2006,Braunkohle,12056.174191
79,2007,Braunkohle,12545.800027
80,2008,Braunkohle,12956.410488
81,2009,Braunkohle,13116.049422
82,2010,Braunkohle,14363.962242
83,2011,Braunkohle,12473.208336
84,2012,Braunkohle,13085.293506999998
85,2013,Braunkohle,12018.319201
86,2014,Braunkohle,12274.44067
87,2015,Braunkohle,12172.618549
88,2016,Braunkohle,12411.651958000002
89,2017,Braunkohle,6046.699191780001
90,2018,Braunkohle,553.217558615
91,2019,Braunkohle,445.35781876
92,2020,Braunkohle,551.107648
93,1990,Mineralöle und Mineralöl produkte,150757.0
94,1991,Mineralöle und Mineralöl produkte,167072.0
95,1992,Mineralöle und Mineralöl produkte,137920.0
96,1993,Mineralöle und Mineralöl produkte,156486.0
97,1994,Mineralöle und Mineralöl produkte,151460.0
98,1995,Mineralöle und Mineralöl produkte,152443.0
99,1996,Mineralöle und Mineralöl produkte,156695.0
100,1997,Mineralöle und Mineralöl produkte,143811.0
101,1998,Mineralöle und Mineralöl produkte,137421.321
102,1999,Mineralöle und Mineralöl produkte,138869.099769
103,2000,Mineralöle und Mineralöl produkte,132802.231
104,2001,Mineralöle und Mineralöl produkte,141259.600287
105,2002,Mineralöle und Mineralöl produkte,130351.431766
106,2003,Mineralöle und Mineralöl produkte,127101.5350084
107,2004,Mineralöle und Mineralöl produkte,118023.492115897
108,2005,Mineralöle und Mineralöl produkte,114814.72333999
109,2006,Mineralöle und Mineralöl produkte,120295.5882005831
110,2007,Mineralöle und Mineralöl produkte,95197.20992859417
111,2008,Mineralöle und Mineralöl produkte,107926.06043454798
112,2009,Mineralöle und Mineralöl produkte,99170.9728001378
113,2010,Mineralöle und Mineralöl produkte,101631.7936136644
114,2011,Mineralöle und Mineralöl produkte,92296.22422044098
115,2012,Mineralöle und Mineralöl produkte,98112.7713523813
116,2013,Mineralöle und Mineralöl produkte,101017.5254004575
117,2014,Mineralöle und Mineralöl produkte,98976.18719709932
118,2015,Mineralöle und Mineralöl produkte,96020.76701156028
119,2016,Mineralöle und Mineralöl produkte,97315.1478746905
120,2017,Mineralöle und Mineralöl produkte,96234.47056484807
121,2018,Mineralöle und Mineralöl produkte,93864.77500681917
122,2019,Mineralöle und Mineralöl produkte,94044.28813547868
123,2020,Mineralöle und Mineralöl produkte,72461.84568930061
124,1990,Gase,58873.253228
125,1991,Gase,69842.0
126,1992,Gase,69001.0
127,1993,Gase,68693.0
128,1994,Gase,65461.0
129,1995,Gase,68477.0013979012
130,1996,Gase,78990.6459499304
131,1997,Gase,68551.9972976293
132,1998,Gase,68108.7058634487
133,1999,Gase,84946.9711450055
134,2000,Gase,85638.9310914332
135,2001,Gase,100350.395545266
136,2002,Gase,101923.580418482
137,2003,Gase,106496.146620534
138,2004,Gase,106879.895902549
139,2005,Gase,103018.599143134
140,2006,Gase,101504.650469394
141,2007,Gase,92485.5937881096
142,2008,Gase,94798.0118
143,2009,Gase,103253.764821264
144,2010,Gase,113941.701588197
145,2011,Gase,98430.9354029662
146,2012,Gase,96274.1780821307
147,2013,Gase,98889.518482951
148,2014,Gase,80313.0948547368
149,2015,Gase,79417.7204728783
150,2016,Gase,88557.4769111738
151,2017,Gase,94794.0131218502
152,2018,Gase,100536.003418255
153,2019,Gase,104747.783450527
154,2020,Gase,104811.555017771
155,1990,Gesamt Erneuerbare Energieträger,2251.4
156,1991,Gesamt Erneuerbare Energieträger,2578.0
157,1992,Gesamt Erneuerbare Energieträger,2522.8
158,1993,Gesamt Erneuerbare Energieträger,2117.2
159,1994,Gesamt Erneuerbare Energieträger,2153.4
160,1995,Gesamt Erneuerbare Energieträger,1837.8
161,1996,Gesamt Erneuerbare Energieträger,1678.8
162,1997,Gesamt Erneuerbare Energieträger,1305.0
163,1998,Gesamt Erneuerbare Energieträger,1921.1598374
164,1999,Gesamt Erneuerbare Energieträger,2140.8879712
165,2000,Gesamt Erneuerbare Energieträger,2454.7493232
166,2001,Gesamt Erneuerbare Energieträger,2242.332075400003
167,2002,Gesamt Erneuerbare Energieträger,2242.5070266
168,2003,Gesamt Erneuerbare Energieträger,2367.1286
169,2004,Gesamt Erneuerbare Energieträger,3211.3866
170,2005,Gesamt Erneuerbare Energieträger,3713.416052
171,2006,Gesamt Erneuerbare Energieträger,5406.7002
172,2007,Gesamt Erneuerbare Energieträger,6247.365735
173,2008,Gesamt Erneuerbare Energieträger,6398.7361123
174,2009,Gesamt Erneuerbare Energieträger,8301.72238830359
175,2010,Gesamt Erneuerbare Energieträger,9676.81500800807
176,2011,Gesamt Erneuerbare Energieträger,9437.112724087858
177,2012,Gesamt Erneuerbare Energieträger,10560.688892006809
178,2013,Gesamt Erneuerbare Energieträger,11330.955001529124
179,2014,Gesamt Erneuerbare Energieträger,11237.840525495869
180,2015,Gesamt Erneuerbare Energieträger,11200.314084999787
181,2016,Gesamt Erneuerbare Energieträger,11221.474028942535
182,2017,Gesamt Erneuerbare Energieträger,11569.63793924856
183,2018,Gesamt Erneuerbare Energieträger,13928.487093703756
184,2019,Gesamt Erneuerbare Energieträger,14795.581513567968
185,2020,Gesamt Erneuerbare Energieträger,14517.497827680469
186,1990,Stromaustauschsaldo,12632.4
187,1991,Stromaustauschsaldo,9164.52
188,1992,Stromaustauschsaldo,9763.6068
189,1993,Stromaustauschsaldo,9944.0208
190,1994,Stromaustauschsaldo,10720.1556
191,1995,Stromaustauschsaldo,13311.0
192,1996,Stromaustauschsaldo,13657.0
193,1997,Stromaustauschsaldo,11608.0
194,1998,Stromaustauschsaldo,12241.1304
195,1999,Stromaustauschsaldo,13059.6768
196,2000,Stromaustauschsaldo,12060.0468
197,2001,Stromaustauschsaldo,16613.4888
198,2002,Stromaustauschsaldo,23451.6816
199,2003,Stromaustauschsaldo,18166.1328
200,2004,Stromaustauschsaldo,19577.739564
201,2005,Stromaustauschsaldo,15544.962
202,2006,Stromaustauschsaldo,19294.038
203,2007,Stromaustauschsaldo,19913.8356
204,2008,Stromaustauschsaldo,19615.5828
205,2009,Stromaustauschsaldo,18289.451844
206,2010,Stromaustauschsaldo,22481.034772
207,2011,Stromaustauschsaldo,23418.651588
208,2012,Stromaustauschsaldo,24027.490336
209,2013,Stromaustauschsaldo,22922.005332
210,2014,Stromaustauschsaldo,23461.84564
211,2015,Stromaustauschsaldo,24300.198908
212,2016,Stromaustauschsaldo,23385.53928
213,2017,Stromaustauschsaldo,22297.601252
214,2018,Stromaustauschsaldo,24566.8716684
215,2019,Stromaustauschsaldo,26389.4152828
216,2020,Stromaustauschsaldo,20580.5116476
217,1990,Kernenergie,0.0
218,1991,Kernenergie,0.0
219,1992,Kernenergie,0.0
220,1993,Kernenergie,0.0
221,1994,Kernenergie,0.0
222,1995,Kernenergie,0.0
223,1996,Kernenergie,0.0
224,1997,Kernenergie,0.0
225,1998,Kernenergie,0.0
226,1999,Kernenergie,0.0
227,2000,Kernenergie,0.0
228,2001,Kernenergie,0.0
229,2002,Kernenergie,0.0
230,2003,Kernenergie,0.0
231,2004,Kernenergie,0.0
232,2005,Kernenergie,0.0
233,2006,Kernenergie,0.0
234,2007,Kernenergie,0.0
235,2008,Kernenergie,0.0
236,2009,Kernenergie,0.0
237,2010,Kernenergie,0.0
